smiles,label,pchembl,year,source
C#CCNC(=O)CCc1c[nH]c2ccc(OC)cc12,1,7.86,2015,ChEMBL
C#CCNC(=O)Cc1c[nH]c2ccc(OC)cc12,1,7.195,2015,ChEMBL
C#CCOc1ccc2cccc(CCNC(C)=O)c2c1,1,8.3,1998,ChEMBL
C#CCOc1ccc2occ(CCNC(C)=O)c2c1,1,7.8,1998,ChEMBL
C/C=C/C(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12,1,9.0,2002,ChEMBL
C/C=C/C(=O)Nc1ccc(Oc2cccc(OC)c2)cc1,1,7.01,2004,ChEMBL
C=CC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12,1,10.7,2002,ChEMBL
C=CC(=O)NCCc1c(Cc2cccc(OC)c2)oc2ccc(OC)cc12,1,7.26,2002,ChEMBL
C=CC(=O)NCCc1c(Cc2ccccc2)oc2ccc(OC)cc12,1,7.27,2002,ChEMBL
C=CC(=O)NCCc1c(Sc2ccc(F)cc2)sc2ccc(F)cc12,1,6.63,2011,ChEMBL
C=CCC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12,1,11.0,2002,ChEMBL
C=CCC(=O)NCCc1c(CN2Cc3ccccc3C2)[nH]c2ccc(OC)cc12,1,7.62,2011,ChEMBL
C=CCC(=O)NCCc1c(Cc2cccc(OC)c2)oc2ccc(OC)cc12,1,7.67,2023,ChEMBL
C=CCC(=O)NCCc1c(Cc2ccccc2)oc2ccc(OC)cc12,1,8.030000000000001,2002,ChEMBL
C=CCC(=O)NCCc1c(Sc2ccc(F)cc2)sc2ccc(F)cc12,1,7.005000000000001,2011,ChEMBL
C=CCC(=O)NCCc1cccc2ccc(OCCCCOc3ccc4cccc(CCNC(=O)CC=C)c4c3)cc12,1,8.415,2010,ChEMBL
C=CCC(=O)NCCc1cccc2ccc(OCCCCOc3ccc4cccc(CCNC(C)=O)c4c3)cc12,1,8.51,2010,ChEMBL
C=CCNC(=O)CCc1c[nH]c2ccc(OC)cc12,1,7.645,2015,ChEMBL
C=CCNC(=O)Cc1c[nH]c2ccc(OC)cc12,1,7.025,2015,ChEMBL
C=CCOc1ccc2cccc(CCNC(=O)C3CC3)c2c1,1,7.9,1998,ChEMBL
C=CCOc1ccc2cccc(CCNC(=O)CC)c2c1,1,8.7,1998,ChEMBL
C=CCOc1ccc2occ(CCNC(C)=O)c2c1,1,7.6,1998,ChEMBL
C=CCc1c(O)ccc2cccc(CCNC(=O)CC)c12,1,8.5,1998,ChEMBL
CC(=O)N/C=C/c1cccc2ccccc12,1,8.17,2013,ChEMBL
CC(=O)NC(C)COc1ccccc1,0,4.92,2010,ChEMBL
CC(=O)NC(C)CSc1ccccc1,0,4.5,2010,ChEMBL
CC(=O)NC/C=C1\CCc2ccc3nc(C)oc3c21,1,9.48,2013,ChEMBL
CC(=O)NC/C=C1\CCc2ccc3nc(C)sc3c21,1,9.72,2013,ChEMBL
CC(=O)NC/C=C1\CCc2ccc3nc(CCCCc4ccccc4)oc3c21,1,10.1,2013,ChEMBL
CC(=O)NCC(=O)N1c2ccccc2C=Cc2ccccc21,0,4.69,2004,ChEMBL
CC(=O)NCC(Cc1ccccc1)c1ccccc1,1,6.15,2006,ChEMBL
CC(=O)NCC1=C(c2ccccc2)Oc2ccccc2O1,0,4.5,1998,ChEMBL
CC(=O)NCC1=Cc2ccccc2Cc2ccccc21,1,6.26,2004,ChEMBL
CC(=O)NCC1CCc2cccc3cccc1c23,1,8.92,2000,ChEMBL
CC(=O)NCC1CCc2ccccc2N1CCc1ccccc1,1,6.77,2015,ChEMBL
CC(=O)NCC1CCc2ccccc2N1Cc1ccccc1,1,7.43,2015,ChEMBL
CC(=O)NCC1CNc2ccccc2C1,1,6.37,2018,ChEMBL
CC(=O)NCC1Cc2cccc3cccc1c23,1,8.37,2000,ChEMBL
CC(=O)NCC1Cc2ccccc2Cc2ccccc21,1,6.62,2004,ChEMBL
CC(=O)NCC1Cc2ccccc2N(C)C1,1,7.08,2018,ChEMBL
CC(=O)NCC1Cc2ccccc2N(CCc2ccccc2)C1,1,6.61,2018,ChEMBL
CC(=O)NCC1Cc2ccccc2N(Cc2ccccc2)C1,1,7.23,2018,ChEMBL
CC(=O)NCC1Cc2ccccc2N(c2ccccc2)C1,1,8.62,2018,ChEMBL
CC(=O)NCC=C(c1ccccc1)c1ccccc1,1,6.29,2006,ChEMBL
CC(=O)NCCC1=C(C(C)C)Cc2ccc3c(c21)CCO3,1,10.62,2011,ChEMBL
CC(=O)NCCC1=C(CC2CCCCC2)Cc2ccc3c(c21)CCO3,1,8.195,2011,ChEMBL
CC(=O)NCCC1=C(Cc2ccccc2)Cc2ccc3c(c21)CCO3,1,8.93,2011,ChEMBL
CC(=O)NCCC1=C(Cc2ccsc2)Cc2ccc3c(c21)CCO3,1,9.06,2011,ChEMBL
CC(=O)NCCC1=C(c2ccc(C(C)(C)C)cc2)Cc2ccc3c(c21)CCO3,1,8.85,2011,ChEMBL
CC(=O)NCCC1=C(c2cccc(C(C)C)c2)Cc2ccc3c(c21)CCO3,1,8.52,2023,ChEMBL
CC(=O)NCCC1=C(c2cccnc2)Cc2ccc3c(c21)CCO3,1,10.16,2022,ChEMBL
CC(=O)NCCC1=C(c2csc3ccccc23)Cc2ccc3c(c21)CCO3,1,8.89,2011,ChEMBL
CC(=O)NCCC1=CCc2ccc3c(c21)CCO3,1,10.35,2011,ChEMBL
CC(=O)NCCC1=CCc2ccc3nc(C)oc3c21,1,10.17,2013,ChEMBL
CC(=O)NCCC1=COc2ccccc2O1,1,6.0,1998,ChEMBL
CC(=O)NCCC1CCCc2ccc3c(c21)CCCO3,1,8.0,1998,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(-c4ccccc4)oc3c21,1,8.89,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(C)oc3c21,1,9.995,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(C)sc3c21,1,10.125,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(C4CC4)oc3c21,1,9.295,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(CCCCc4ccccc4)oc3c21,1,10.66,2013,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(CO)oc3c21,1,8.92,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3nc(Cc4ccccc4)oc3c21,1,8.36,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3ncoc3c21,1,9.205,2021,ChEMBL
CC(=O)NCCC1CCc2ccc3nn(C)cc3c21,1,9.46,2021,ChEMBL
CC(=O)NCCC1CCc2ccn3nc(C)c(C)c3c21,1,8.03,2021,ChEMBL
CC(=O)NCCC1CCc2ccn3nc(C)cc3c21,1,9.7,2021,ChEMBL
CC(=O)NCCC1Cc2cccc3cccc1c23,1,8.19,2000,ChEMBL
CC(=O)NCCC1Cc2ccccc2Cc2ccccc21,1,6.41,2004,ChEMBL
CC(=O)NCCCCc1cccc2c1OCCO2,1,6.8,1998,ChEMBL
CC(=O)NCCCCc1cccc2c1SCCO2,1,6.9,1998,ChEMBL
CC(=O)NCCCOc1cccc2c1OCCO2,1,6.2,1998,ChEMBL
CC(=O)NCCCc1cccc2c1C[C@@H](CCCCc1ccccc1)O2,1,8.4,2005,ChEMBL
CC(=O)NCCCc1cccc2c1OCCO2,1,6.9,1998,ChEMBL
CC(=O)NCCCc1cccc2c1SCCO2,1,6.8,1998,ChEMBL
CC(=O)NCCCc1cccc2nc(-c3ccccc3)oc12,1,7.4,2004,ChEMBL
CC(=O)NCCCc1cccc2nc(C(C)C)oc12,1,6.94,2004,ChEMBL
CC(=O)NCCCc1cccc2nc(C)oc12,1,7.62,2004,ChEMBL
CC(=O)NCCCc1cccc2nc(CCCCc3ccccc3)oc12,1,8.89,2004,ChEMBL
CC(=O)NCCCc1cccc2ncoc12,1,7.52,2004,ChEMBL
CC(=O)NCCCc1cccc2oc(CCCCc3ccccc3)cc12,1,7.72,2004,ChEMBL
CC(=O)NCCCc1cn2c3c(cccc13)CCC2,1,6.72,2007,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCCCCCOc2cccc(N(C)CCNC(C)=O)c2)c1,1,8.4,2011,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCCCNC(=O)Oc2cccc(-c3ccccc3)c2)c1,1,7.5,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCCCOc2cccc(N(C)CCNC(C)=O)c2)c1,1,7.7,2011,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCN)c1,1,6.35,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCNC(=O)Oc2cccc(-c3cccc(C(N)=O)c3)c2)c1,1,7.41,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCNC(=O)Oc2cccc(-c3cccc(O)c3)c2)c1,1,7.53,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCNC(=O)Oc2cccc(-c3ccccc3)c2)c1,1,7.67,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCOc2cccc(N(C)CCNC(C)=O)c2)c1,1,8.47,2011,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCOc2cccc(O)c2)c1,1,7.23,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCOc2cccc(OC(=O)NC3CCCCC3)c2)c1,1,7.56,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCCOc2ccccc2)c1,1,7.84,2011,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCCOc2cccc(N(C)CCNC(C)=O)c2)c1,1,7.24,2011,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCNC(=O)Oc2cccc(-c3ccccc3)c2)c1,1,7.89,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCOc2cccc(N(C)CCNC(C)=O)c2)c1,1,7.37,2011,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCOc2cccc(O)c2)c1,1,6.73,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCOc2cccc(OC(=O)NC3CCCCC3)c2)c1,1,7.46,2018,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCCc2ccccc2)c1,1,8.93,2015,ChEMBL
CC(=O)NCCN(C)c1cccc(OCCCOc2cccc(N(C)CCNC(C)=O)c2)c1,1,7.69,2011,ChEMBL
CC(=O)NCCN(c1ccc(F)cc1)c1cccc(Br)c1,1,6.75,2023,ChEMBL
