smiles,label,pchembl,year,source
c1ccc(Nc2ccc3ccccc3c2)cc1,0,4.262,,NPASS3.0
COC(=O)[C@]1(C)CCC[C@@]2(C)[C@H]1CC=C1C=C(C(C)C)CC[C@@H]12,0,4.31,,NPASS3.0
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,0,4.46,,NPASS3.0
CC(C)=C1CC[C@@H](C)CC1=O,1,8.208,,NPASS3.0
c1ccc(CSCc2ccccc2)cc1,0,4.411,,NPASS3.0
CCCCCCCC/C=C\CCCCCCCC(O)=NCc1ccc(O)c(OC)c1,0,4.571,,NPASS3.0
C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H]([NH+](C)C)CC[C@]5(C)[C@H]4CC[C@]23C[NH+]1C,1,7.021,,NPASS3.0
CC(=O)CCC(=O)O,0,4.66,,NPASS3.0
O=C(Cc1ccccc1)OCCc1ccccc1,1,6.31,,NPASS3.0
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0,4.253,,NPASS3.0
CC(C)CCCCCCCCCCCCCCC(=O)O,0,4.26,,NPASS3.0
CC(C)=CCCC(C)CCO,0,4.21,,NPASS3.0
CCC(C)(C)c1ccc(O)cc1,0,4.21,,NPASS3.0
CC1=C(C=O)C(C)(C)CC=C1,0,4.372,,NPASS3.0
O=C(O)c1cc(O)c2ccccc2c1O,0,4.81,,NPASS3.0
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,0,4.261,,NPASS3.0
O=c1cc(-c2ccccc2)oc2ccccc12,1,8.469,,NPASS3.0
Cc1ccc(C(C)(C)C)c(O)c1,0,4.26,,NPASS3.0
C=C(C)C1CC=C(C)CC1,0,4.195,,NPASS3.0
CCCCOC(=O)C(C)CC,0,4.26,,NPASS3.0
CC/C=C\CCOC(=O)c1ccccc1,0,4.61,,NPASS3.0
CCCCNS(=O)(=O)c1ccccc1,0,4.21,,NPASS3.0
CCCCCC/C=C\CCCCCCCC(=O)O,0,4.21,,NPASS3.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0,4.571,,NPASS3.0
C=CCCCCCCC=C,0,4.259,,NPASS3.0
O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0,4.4,,NPASS3.0
CC1=CC(=O)c2ccccc2C1=O,0,4.61,,NPASS3.0
O=[N+]([O-])c1ccc(O)cc1,1,6.41,,NPASS3.0
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,1,6.033,,NPASS3.0
CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,0,4.31,,NPASS3.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0,4.252,,NPASS3.0
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,4.7,,NPASS3.0
Cc1cc(=O)oc2cc(O)ccc12,0,4.61,,NPASS3.0
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,4.817,,NPASS3.0
N=c1cc[nH]cc1,0,4.306,,NPASS3.0
CC1CCCC1,0,4.617,,NPASS3.0
CC=CC(=O)O,0,4.33,,NPASS3.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,4.213,,NPASS3.0
c1ccc2c(c1)[nH]c1cnccc12,0,4.409,,NPASS3.0
Oc1ccc(O)cc1,0,5.0,,NPASS3.0
Oc1ccc(O)c2c(O)cccc12,0,4.3,,NPASS3.0
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,0,4.871,,NPASS3.0
CC(=O)C=CC1=C(C)CCCC1(C)C,0,4.96,,NPASS3.0
Nc1ccc(O)cc1,0,4.45,,NPASS3.0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1,7.907,,NPASS3.0
O=Cc1ccccc1,1,8.495,,NPASS3.0
BrC(Br)Br,1,7.46,,NPASS3.0
c1ccc(Nc2cccc3ccccc23)cc1,0,4.304,,NPASS3.0
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,1,7.983,,NPASS3.0
c1ccncc1,1,7.917,,NPASS3.0
COc1ccccc1/C=C/C=O,0,4.198,,NPASS3.0
CC1(C)CCC[C@]2(C)[C@H]3CC(=O)O[C@]3(C)CC[C@@H]12,0,4.21,,NPASS3.0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,0,4.217,,NPASS3.0
C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,0,4.21,,NPASS3.0
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0,4.4,,NPASS3.0
ClC(Cl)=C(Cl)Cl,1,8.469,,NPASS3.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0,4.302,,NPASS3.0
Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,0,4.35,,NPASS3.0
CCCOC(=O)c1ccc(O)cc1,0,4.26,,NPASS3.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0,4.204,,NPASS3.0
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0,4.958,,NPASS3.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,4.263,,NPASS3.0
OCc1c[nH]c2ccccc12,0,4.21,,NPASS3.0
Cc1ccc(O)c(O)c1,0,4.222,,NPASS3.0
c1ccsc1,1,8.523,,NPASS3.0
Nc1cccc2ccccc12,0,4.31,,NPASS3.0
CCCCCCCCCCCO,0,4.31,,NPASS3.0
O=C(O)c1ccc(O)nc1,0,4.521,,NPASS3.0
C(=C/c1ccccc1)/c1ccccc1,0,4.203,,NPASS3.0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,4.212,,NPASS3.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0,4.771,,NPASS3.0
Clc1cccc(Cl)c1,1,8.921,,NPASS3.0
CCC(=O)OCCc1ccccc1,0,4.279,,NPASS3.0
CCCCCCCCCc1ccc(O)cc1,0,4.35,,NPASS3.0
O=C(O)CC[N+](=O)[O-],1,6.96,,NPASS3.0
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0,4.414,,NPASS3.0
Cc1ccc2c(C)cccc2c1,0,4.23,,NPASS3.0
C=CC(=C)CCC=C(C)C,0,4.26,,NPASS3.0
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0,4.571,,NPASS3.0
CC=O,0,4.19,,NPASS3.0
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,1,6.76,,NPASS3.0
CCCC(=O)O,1,6.16,,NPASS3.0
