smiles,label,pchembl,year,source
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1,11.097,,NPASS3.0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1,8.943,,NPASS3.0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1,10.0,,NPASS3.0
CNC[C@H](O)c1ccc(O)c(O)c1,0,4.55,,NPASS3.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0,4.35,,NPASS3.0
CC(C=O)=Cc1ccccc1,1,9.155,,NPASS3.0
CCCC(CCC)C(=O)O,0,3.05,,NPASS3.0
CCC(C)(C)c1ccc(O)cc1,0,4.6,,NPASS3.0
COc1cc([C@H]2O[C@@H](c3ccc(O)c(OC)c3)[C@H](C)[C@@H]2C)ccc1O,0,4.569,,NPASS3.0
Oc1ccc(O)cc1,0,4.85,,NPASS3.0
CCCOC(=O)c1ccc(O)cc1,1,9.155,,NPASS3.0
Oc1ncc(F)c(O)n1,1,7.65,,NPASS3.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,0,4.45,,NPASS3.0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,1,7.854,,NPASS3.0
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,0,4.35,,NPASS3.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0,4.3,,NPASS3.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](N=C(C)O)CC2,1,6.15,,NPASS3.0
COc1ccc([C@@H]2[C@@H](C)[C@H](C)[C@H]2c2ccc(OC)c(OC)c2)cc1OC,0,4.886,,NPASS3.0
c1ccc2c(c1)Cc1ccccc1-2,0,4.4,,NPASS3.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1,6.3,,NPASS3.0
OCCO,0,4.45,,NPASS3.0
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0,5.0,,NPASS3.0
O=C(O)c1cc(O)c2ccccc2c1O,0,4.35,,NPASS3.0
CC(=O)/C=C/c1ccccc1,1,6.65,,NPASS3.0
CCCCCCCCO,0,4.9,,NPASS3.0
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](N=C(O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1,6.85,,NPASS3.0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,7.2,,NPASS3.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0,4.35,,NPASS3.0
COC(=O)c1ccccc1C(=O)OC,1,6.35,,NPASS3.0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,0,4.748,,NPASS3.0
CCOC(=O)c1ccccc1C(=O)OCC,1,8.051,,NPASS3.0
COc1cc(C[C@@H](C)[C@H](C)Cc2ccc(O)c(OC)c2)ccc1O,0,4.456,,NPASS3.0
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,0,4.046,,NPASS3.0
Oc1ccccc1O,0,4.45,,NPASS3.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0,4.5,,NPASS3.0
Nc1ccc(O)cc1,0,4.5,,NPASS3.0
COC(O)=Nc1nc2ccccc2[nH]1,0,4.85,,NPASS3.0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1,6.45,,NPASS3.0
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,1,6.45,,NPASS3.0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,1,7.3,,NPASS3.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0,4.55,,NPASS3.0
CCCCN=C(O)NS(=O)(=O)c1ccc(C)cc1,0,4.6,,NPASS3.0
O=c1ccc2ccccc2o1,1,6.85,,NPASS3.0
COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1,0,4.046,,NPASS3.0
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0,4.6,,NPASS3.0
Nc1ccc(S(=O)(=O)O)cc1,0,4.65,,NPASS3.0
Oc1ccccc1-c1ccccc1,0,3.35,,NPASS3.0
COc1ccc(/C=C/c2cc(OC)cc(=O)o2)cc1,1,8.553,,NPASS3.0
c1ccc2occc2c1,1,7.9,,NPASS3.0
CCCCCCN,1,8.347,,NPASS3.0
O=C1C=C2C(=CCOC2O)O1,0,4.5,,NPASS3.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,3.525,,NPASS3.0
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0,4.9,,NPASS3.0
ClC(Br)Br,1,6.3,,NPASS3.0
Cc1cc(=O)n(-c2ccccc2)n1C,1,6.95,,NPASS3.0
CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](N=C(O)c2cccc(N=CO)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,0,4.65,,NPASS3.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1,6.4,,NPASS3.0
c1cc2c3c(cccc3c1)CC2,0,4.4,,NPASS3.0
C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,6.65,,NPASS3.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1,7.9,,NPASS3.0
C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,1,7.9,,NPASS3.0
C=CCc1ccc(OC)c(OC)c1,0,4.6,,NPASS3.0
COc1cc([C@@H]2[C@@H](C)[C@H](C)[C@H]2c2ccc(OC(C)=O)c(OC)c2)ccc1OC(C)=O,0,4.469,,NPASS3.0
Cc1c2oc3c(C)ccc(C(O)=N[C@@H]4C(O)=N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(O)=N[C@@H]2C(O)=N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,1,6.95,,NPASS3.0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0,4.725,,NPASS3.0
CC(=O)OCC(COC(C)=O)OC(C)=O,1,7.05,,NPASS3.0
CCCCCCCCCCCC(=O)OC,0,4.3,,NPASS3.0
CCCCCCCCCCCC[N+](C)(C)[O-],0,4.55,,NPASS3.0
CCCCCCCC(=O)O,1,6.0,,NPASS3.0
COP(=O)(OC)OC=C(Cl)Cl,0,4.8,,NPASS3.0
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,4.95,,NPASS3.0
C=CC(C)(CCC=C(C)C)OC(C)=O,0,5.0,,NPASS3.0
CC(C)=CCC/C(C)=C/CO,0,4.6,,NPASS3.0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1,6.25,,NPASS3.0
CCCCCCCCCCCCCCCC,1,7.05,,NPASS3.0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,7.75,,NPASS3.0
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1,8.495,,NPASS3.0
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1,7.921,,NPASS3.0
