smiles,label,pchembl,year,source
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,0,4.65,,NPASS3.0
c1ccc(Nc2ccc3ccccc3c2)cc1,0,4.775,,NPASS3.0
COC(=O)[C@]1(C)CCC[C@@]2(C)[C@H]1CC=C1C=C(C(C)C)CC[C@@H]12,0,4.214,,NPASS3.0
C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,6.023,,NPASS3.0
CC(=O)/C=C/C1C(C)=CCC(C)C1(C)C,0,4.214,,NPASS3.0
CCCCCCCC/C=C\CCCCCCCC(O)=NCc1ccc(O)c(OC)c1,0,4.475,,NPASS3.0
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,0,4.868,,NPASS3.0
Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,0,4.986,,NPASS3.0
CCCCCOC(=O)CCC,0,4.214,,NPASS3.0
CC1=C(C(=O)O)N2C(=O)[C@@H](N=C(O)[C@H](N)c3ccccc3)[C@H]2SC1,0,4.575,,NPASS3.0
O=CC=Cc1ccccc1,0,4.124,,NPASS3.0
CCC(C)CO,0,4.219,,NPASS3.0
C/C=C(/C(=C/C)c1ccc(O)cc1)c1ccc(O)cc1,0,4.825,,NPASS3.0
CCc1cccc(O)c1,0,4.155,,NPASS3.0
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)C[NH2+][C@H]1[C@H]2C,0,4.875,,NPASS3.0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,0,4.575,,NPASS3.0
COC(=O)CCCCCCCC(=O)OC,0,4.664,,NPASS3.0
Oc1ccc2ccccc2c1,0,4.664,,NPASS3.0
Cc1ccc(C(C)(C)C)c(O)c1,0,4.214,,NPASS3.0
CCC(=O)C(=O)CC,0,4.296,,NPASS3.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,4.312,,NPASS3.0
C(=C\c1ccccc1)/c1ccccc1,0,4.417,,NPASS3.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0,4.764,,NPASS3.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,4.836,,NPASS3.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0,4.975,,NPASS3.0
CCC(C)COC(=O)CC(C)C,0,4.114,,NPASS3.0
O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0,4.814,,NPASS3.0
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,0,4.512,,NPASS3.0
CC1=CC(=O)c2ccccc2C1=O,0,4.614,,NPASS3.0
Oc1ccc(Cc2ccc(O)cc2)cc1,0,4.56,,NPASS3.0
CC1=CCC(C(C)C)C=C1,0,4.264,,NPASS3.0
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,1,6.086,,NPASS3.0
CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,0,4.564,,NPASS3.0
