smiles,label,pchembl,year,source
Br.CNc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,1,9.485,2013.0,ChEMBL
Br.Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,1,9.21,2013.0,ChEMBL
Brc1ccc(CCc2nnc(-c3ccccn3)n2Cc2cccs2)cc1,1,6.92,2024.0,ChEMBL
Brc1ccc(CSc2nnc(-c3ccc(Br)cc3)n2Cc2ccco2)cc1,0,4.95,,ChEMBL
Brc1cccc(CCc2nnc(-c3ccccn3)n2Cc2cccs2)c1,1,6.27,2024.0,ChEMBL
Brc1ccccc1CCc1nnc(-c2ccccn2)n1Cc1cccs1,1,6.45,2024.0,ChEMBL
C#CCCCOC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,1,6.675000000000001,2005.0,ChEMBL
C#CCN1CC[C@]23CCCCC2[C@H]1Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc4c(c2)[C@@]25CCCCC2[C@@H](C4)N(CC#C)CC5)cc13,1,8.0,2006.0,ChEMBL
C#CCOCC1CC23CCC1(OC)C1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5,1,8.23,2013.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0,4.64,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,4.79,,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,4.72,2023.0,ChEMBL
C#Cc1occc1[C@@H]1C[C@@]2(C)[C@@H](CC[C@@]3(C)[C@H](C(=O)OC)C[C@H](OC(C)=O)C(=O)[C@@]32C)C(=O)O1,1,8.6,2022.0,ChEMBL
C#Cc1occc1[C@@H]1C[C@]2(C)[C@H]3C(=O)[C@@H](OC(C)=O)C[C@@H](C(=O)OC)[C@]3(C)CC[C@H]2C(=O)O1,1,10.72,2014.0,ChEMBL
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0,4.88,2023.0,ChEMBL
C/C(N)=C/C(=C(\N)N1CCC(NC2CCCCC2)C(CO)C1)c1nc(C)no1,1,8.15,2017.0,ChEMBL
C/C(N)=C/C(=C(\N)N1CCC(NC2CCCCC2)C1)c1nc(C2CC2)no1,1,6.5,2017.0,ChEMBL
C/C(N)=C/C(=C(\N)N1CCC(NCC(C)C)CC1)c1nc(C2CC2)no1,1,7.52,2017.0,ChEMBL
C/C(N)=C/C(=C(\N)N1CC[C@@H](NC2CCCCC2)[C@H](O)C1)c1nc(C)no1,1,7.34,2017.0,ChEMBL
C/C(N)=C/C(C(=O)OC(C)C)=C(\N)N1CCC(NC2CCCCC2)CC1,1,9.0,2017.0,ChEMBL
C/C(N)=C/C(C(=O)OC(C)C)=C(\N)N1CCC(NC2CCOCC2)CC1,1,6.89,2017.0,ChEMBL
C/C(N)=C/C(C(=O)OC(C)C)=C(\N)N1CCC(NCC(C)(C)O)CC1,1,6.49,2017.0,ChEMBL
C/C(N)=C/C(C(=O)OC(C)C)=C(\N)N1CCC(NCC(C)C)CC1,1,7.11,2017.0,ChEMBL
C/C=C(\C)C(=O)O[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@H](c4ccoc4)C[C@]3(C)[C@H]2C1=O,1,6.57,2014.0,ChEMBL
C/C=C/C(=O)O[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@H](c4ccoc4)C[C@]3(C)[C@H]2C1=O,1,7.779999999999999,2014.0,ChEMBL
C/C=C1/CN2CC[C@@]34c5cc(O)c(Br)cc5N(C)[C@]35OC[C@@]4(C(=O)OC)[C@H]1C[C@H]25,1,6.54,2023.0,ChEMBL
C/C=C1/CN2CC[C@@]34c5cc(O)c(I)cc5N(C)[C@]35OC[C@@]4(C(=O)OC)[C@H]1C[C@H]25,1,6.220000000000001,2023.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(-c2ccccc2)cc14,1,8.31,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(-c2ccoc2)cc14,1,9.08,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(-c2ccsc2)cc14,1,8.105,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(Br)cc14,1,8.705,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(C#N)cc14,1,7.095,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(I)cc14,1,8.620000000000001,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc([N+](=O)[O-])cc14,1,6.8,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccccc14,1,6.35,2024.0,ChEMBL
C/C=C1/CN2CC[C@]34c5cc(Br)ccc5NC3C(C(=O)OC)[C@H]1C[C@H]24,1,7.314999999999999,2024.0,ChEMBL
