smiles,label,pchembl,year,source
C#Cc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,1,6.965,2015.0,ChEMBL
C=C1CC(c2nc3c(Br)cccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.3,2017.0,ChEMBL
C=C1CC(c2nc3c(Br)cccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,9.05,2017.0,ChEMBL
C=C1CC(c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.52,2017.0,ChEMBL
C=C1CC(c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1CC(c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1CC(c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.7,2017.0,ChEMBL
C=C1CC(c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1CC(c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.7,2017.0,ChEMBL
C=C1CC(c2nc3c(C)cccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.7,2017.0,ChEMBL
C=C1CC(c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.7,2017.0,ChEMBL
C=C1CC(c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.1,2017.0,ChEMBL
C=C1CC(c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1CC(c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.72,2017.0,ChEMBL
C=C1CC(c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,6.63,2017.0,ChEMBL
C=C1CC(c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.1,2017.0,ChEMBL
C=C1CC(c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.22,2017.0,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.44,2017.0,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,7.85,2017.0,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.89,2017.0,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.05,2017.0,ChEMBL
C=C1CC(c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.62,2017.0,ChEMBL
C=C1CC(c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,7.66,2017.0,ChEMBL
C=C1CC(c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.0,2017.0,ChEMBL
C=C1CC(c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,7.7,2017.0,ChEMBL
C=C1CC(c2nc3cc4ccccc4cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,6.97,2017.0,ChEMBL
C=C1CC(c2nc3cccc(Cl)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.1,2017.0,ChEMBL
C=C1CC(c2nc3cccc(Cl)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.3,2017.0,ChEMBL
C=C1CC(c2nc3cccc(SC)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1CC(c2nc3cccc(SC)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,9.0,2017.0,ChEMBL
C=C1CN(C(=O)c2cc(C)c(C)cc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.96,2017.0,ChEMBL
C=C1CN(C(=O)c2cc(C)ccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.47,2017.0,ChEMBL
C=C1CN(C(=O)c2cc(Cl)ccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.16,2017.0,ChEMBL
C=C1CN(C(=O)c2cc(OC)ccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.24,2017.0,ChEMBL
C=C1CN(C(=O)c2ccccc2-c2ccc(C)c(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.23,2017.0,ChEMBL
C=C1CN(C(=O)c2ccccc2-c2ccc(F)c(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.34,2017.0,ChEMBL
C=C1CN(C(=O)c2ccccc2-c2ccccc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,6.66,2017.0,ChEMBL
C=C1CN(C(=O)c2ccccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,6.19,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.68,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(C)cc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.72,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(Cl)cc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.8,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(OC)cc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.89,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2cccc(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.89,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,8.1,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(C)sc2-c2ccccc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.5,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(N(C)C)sc2-c2ccc(C)c(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,7.82,2017.0,ChEMBL
C=C1CN(C(=O)c2nc(N(C)C)sc2-c2cccc(Cl)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,1,8.3,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(Br)cccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1,6.85,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(Br)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.3,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1,7.06,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.22,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1,7.92,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.52,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C1,1,9.0,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccccc2)C1,1,8.4,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1,7.36,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C1,1,8.0,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccccc2)C1,1,7.16,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(Cl)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.1,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1,6.12,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.85,2017.0,ChEMBL
C=C1C[C@@H](c2nc3c(SC)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.52,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(C)c2F)C1,1,7.0,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(OC)c2F)C1,1,6.59,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2c(C)cccc2-n2nccn2)C1,1,6.24,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C(F)(F)F)ccc2-n2nccn2)C1,1,6.58,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)c(C)cc2-n2nccn2)C1,1,8.05,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2cccn2)C1,1,6.79,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1,7.24,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(Cl)ccc2-n2nccn2)C1,1,7.29,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(F)ccc2-n2nccn2)C1,1,6.49,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(OC(F)(F)F)ccc2-n2nccn2)C1,1,6.46,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(OC)c(OC)cc2-n2nccn2)C1,1,7.75,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2ccc(C)cc2-n2nccn2)C1,1,7.48,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2ccccc2-n2nccn2)C1,1,6.48,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C)ccc2-n2cccn2)C1,1,6.08,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C)ccc2-n2nccn2)C1,1,6.63,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.96,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C(F)(F)F)c(Cl)cc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.77,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(C)c2F)C1,1,7.23,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(OC)c2F)C1,1,7.37,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2c(C)cccc2-n2nccn2)C1,1,6.84,2017.0,ChEMBL
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2c(F)cccc2-n2nccn2)C1,1,7.095000000000001,2021.0,ChEMBL
