smiles,label,pchembl,year,source
C#Cc1cc(Nc2nc(=O)c(OC)cn2Cc2cc(F)cc(F)c2)c(C)cc1F,1,7.26,2021.0,ChEMBL
C#Cc1cc(Nc2nc(=O)c(OC)cn2Cc2ccc(F)c(Cl)c2)c(C)cc1F,1,7.26,2021.0,ChEMBL
C=C(C)CN1C(=O)CC[C@H]1C(=O)NCc1ccc(F)cc1Cl,1,6.4,,ChEMBL
C=C(C)c1ccc(C)c(Nc2nc(=O)c(OC)cn2Cc2cc(F)cc(Cl)c2)c1,1,7.26,2021.0,ChEMBL
C=C(C)c1ccc(C)c(Nc2nc(=O)c(OC)cn2Cc2cc(F)cc(F)c2)c1,1,7.26,2021.0,ChEMBL
C=C(C)c1ccc(C)c(Nc2nc(=O)c(OC)cn2Cc2ccc(F)c(Cl)c2)c1,1,7.26,2021.0,ChEMBL
C=C(C)c1ccc(C)c(Nc2nc(=O)c(OC)cn2Cc2ccc(F)c(F)c2)c1,1,7.26,2021.0,ChEMBL
C=C(C)c1ccc(C)c(Nc2nc(=O)c(OC)cn2Cc2ccccc2)c1,1,7.26,2021.0,ChEMBL
C=C1C2(C(=O)NNc3ccccc3)CCC(C2)C1(C)C,1,7.3,2009.0,ChEMBL
C=CC1=C(C)C(=O)N/C1=C\c1[nH]c(Cc2[nH]c(/C=C3\NC(=O)C(C)=C3C=C)c(C)c2CCC(=O)O)c(CCC(=O)O)c1C,1,6.15,2021.0,ChEMBL
C=CCc1c2[n+](cc3c(OC)c(OC)ccc13)CCc1cc3c(cc1-2)OCO3.[I-],1,6.36,2009.0,ChEMBL
C=Cc1c2n(c(Nc3ccc(OC)nc3C)nc1=O)C(c1cc(F)cc(F)c1)CC2,1,7.77,2021.0,ChEMBL
C=Cc1cc(Cl)cc(Cl)c1CNC(=O)C1COc2ncccc21,1,7.91,2016.0,ChEMBL
C=Cc1ccccc1Nc1nc(=O)c(F)cn1Cc1cc(F)c(F)c(F)c1,1,8.4,2021.0,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(F)cc1Cl,1,7.0,2010.0,ChEMBL
CC(=O)N1CC[C@H]1Cn1cc(C(=O)NCC2CCC(F)(F)CC2)c2c(Cl)cccc21,1,6.52,2020.0,ChEMBL
CC(=O)NC1(CNC(=O)c2ccc3[nH]ccc3c2Cl)CCCCC1,1,6.68,2017.0,ChEMBL
CC(=O)c1cc(C(=O)NCC2(O)CCC(F)(F)CC2)c(Cl)c2cc[nH]c12,1,7.62,2017.0,ChEMBL
CC(=O)c1cc(C(=O)NCC2(O)CCCCC2)c(Cl)c2cc[nH]c12,1,7.6,2017.0,ChEMBL
CC(=O)c1ccc(N2CCN(C(=O)CNS(=O)(=O)c3cccc4cnccc34)CC2)cc1,1,7.4,2007.0,ChEMBL
CC(=O)c1ccc(N2CCN(C(=O)[C@H](Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)N(C)S(=O)(=O)c3cccc4cnccc34)CC2)cc1,1,7.15,2014.0,ChEMBL
CC(=O)c1cccc(CC(=O)NC2COc3ncccc32)c1Cl,1,6.38,2015.0,ChEMBL
CC(C#N)N1CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)CC1=O,1,6.6,,ChEMBL
CC(C(=O)NC1COc2ncccc21)c1ccc(Cl)cc1,1,6.08,2015.0,ChEMBL
CC(C(=O)NC1COc2ncccc21)c1ccc(Cl)cc1Cl,1,7.65,2015.0,ChEMBL
CC(C(=O)NC1COc2ncccc21)c1cccc(C(F)(F)F)c1Cl,1,7.3,2015.0,ChEMBL
CC(C)(C)C(NC(=O)CCCc1cccnc1)N/C(=N/C#N)Nc1cccc2ncccc12,1,7.0,2009.0,ChEMBL
CC(C)(C)C(NC(=O)Cc1ccc(C#N)cc1)N/C(=N/C#N)Nc1cccc2ncccc12,1,7.4,2009.0,ChEMBL
CC(C)(C)C(NC(=O)Cc1ccc(Cl)cc1)N/C(=N/C#N)Nc1cccc2ncccc12,1,8.0,2009.0,ChEMBL
CC(C)(C)C(NC(=O)Cc1ccc2c(c1)OCCO2)N/C(=N/C#N)Nc1cccc2ncccc12,1,8.0,2009.0,ChEMBL
CC(C)(C)C(NC(=O)Cc1cccc2ccccc12)N/C(=N/C#N)Nc1cccc2ncccc12,1,7.5,2009.0,ChEMBL
CC(C)(C)CN1C(=O)CCCC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,1,7.7,,ChEMBL
CC(C)(C)CN1C(=O)CC[C@@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,1,6.8,,ChEMBL
CC(C)(C)CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,1,7.6,,ChEMBL
CC(C)(C)OC(=O)N1CC(n2cc(C(=O)NCC3(O)CCC(F)(F)CC3)c3c(Cl)cccc32)C1,1,6.12,2019.0,ChEMBL
CC(C)(C)OC(=O)N1CC(n2cc(C(=O)NCC3CCC(F)(F)CC3)c3c(Cl)cccc32)C1,1,6.52,2019.0,ChEMBL
CC(C)(C)OC(=O)N1CCC(CCN2C(=O)NC(=O)C2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,1,6.0,2015.0,ChEMBL
CC(C)(C)OC(=O)N1CCC(CCn2cc3c(n2)C(=O)N[C@@H](Cc2ccccc2)CN3C(=O)C2CC2)CC1,0,4.89,2009.0,ChEMBL
CC(C)(C)OC(=O)N1CCC(CN2C(=O)C(Cc3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)N(Cc3cccc4cnccc34)C2=O)CC1,0,4.92,2015.0,ChEMBL
CC(C)(C)OC(=O)N1CCC(CN2C(=O)NC(=O)C2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,1,6.05,2015.0,ChEMBL
CC(C)(C)OC(=O)N1CCC(N2C(=O)NC(=O)C2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,1,6.45,2015.0,ChEMBL
CC(C)(C)OC(=O)N1CCC(n2cc(C(=O)NCC3CCC(F)(F)CC3)c3c(Cl)cccc32)C1,1,7.26,2019.0,ChEMBL
CC(C)(C)OC(=O)N1CCC[C@H]1Cn1cc(C(=O)NCC2(O)CCC(F)(F)CC2)c2c(Cl)cccc21,1,7.26,2019.0,ChEMBL
CC(C)(C)OC(=O)N1CCN(C(=O)C(Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)NS(=O)(=O)c2cccc3cnccc23)CC1,1,9.0,2003.0,ChEMBL
CC(C)(C)OC(=O)N1CCN(C(=O)[C@H](Cc2ccc(OS(=O)(=O)c3ccc(Br)cc3)cc2)NC(=O)OCc2ccccc2)CC1,1,6.29,2008.0,ChEMBL
CC(C)(C)OC(=O)N1CCN(C(=O)[C@H](Cc2ccc(OS(=O)(=O)c3ccc(C#N)cc3)cc2)NC(=O)OCc2ccccc2)CC1,1,6.11,2008.0,ChEMBL
CC(C)(C)OC(=O)N1CCN(C(=O)[C@H](Cc2ccc(OS(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc2)NC(=O)OCc2ccccc2)CC1,1,6.14,2008.0,ChEMBL
CC(C)(C)OC(=O)N1CCN(C(=O)[C@H](Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)NS(=O)(=O)c2cccc3cnccc23)CC1,1,7.395,2015.0,ChEMBL
CC(C)(C)OC(=O)N1CCOCC1Cn1cc(C(=O)NCC2CCC(F)(F)CC2)c2c(Cl)cccc21,1,6.52,2019.0,ChEMBL
CC(C)(C)OC(=O)N1CC[C@H]1Cn1cc(C(=O)NCC2CCC(F)(F)CC2)c2c(Cl)cccc21,1,7.26,2019.0,ChEMBL
CC(C)(C)OC(=O)NC1(CNC(=O)c2ccc3[nH]ccc3c2Cl)CCCCC1,1,6.38,2017.0,ChEMBL
CC(C)(C)OCCOc1cc(C(=O)NCC2(O)CCC(F)(F)CC2)c(Cl)c2cc[nH]c12,1,7.52,2017.0,ChEMBL
CC(C)(C)OCCOc1cc(C(=O)NCC2(O)CCCCC2)c(Cl)c2cc[nH]c12,1,7.6,2017.0,ChEMBL
CC(C)(C)c1ccc(NC(=O)N2CCN(c3c(Nc4cccc5ncccc45)c(=O)c3=O)CC2)cc1,1,8.69,2021.0,ChEMBL
CC(C)(C)c1ccccc1N1CCN(Cc2ccc(F)cc2Cl)C(=O)C1=O,1,7.7,,ChEMBL
CC(C)(C)c1cn2c(n1)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)CC2,1,6.2,,ChEMBL
CC(C)(C)c1ncc(C(CNC(=O)c2c(F)cccc2Cl)N2CCC(F)(F)CC2)s1,1,6.61,2019.0,ChEMBL
CC(C)(C)c1nnc2n1CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,1,6.7,,ChEMBL
CC(C)(C)c1nnc2n1CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@@H]2c1ccccc1,1,7.96,2016.0,ChEMBL
CC(C)(CC1=N[C@H](c2ccccc2)[C@H](c2ccccc2)N1)c1ccccc1,1,8.0,2009.0,ChEMBL
CC(C)(CNC(=O)c1cn(C2CCOC2)c2cccc(Cl)c12)C1CCCC1,1,6.52,2020.0,ChEMBL
