smiles,label,pchembl,year,source
C#CCOc1cc(/C=C/n2c(C)cc(=O)cc2C)ccc1OC,1,6.57,2022,ChEMBL
C#CCOc1cc(C(=O)Cn2c(C)cc(=O)cc2C)ccc1OC,1,7.04,2022,ChEMBL
C/C=C/C(=O)OC(Cn1c(C)cc(=O)cc1C)c1ccc(OC)c(OCC2CC2)c1,1,7.72,2022,ChEMBL
C=C(C)c1ncc(C(N)=O)c(Nc2ccc(CC(=O)NCC(C)(C)C)cc2)n1,1,8.43,2013,ChEMBL
C=CCOc1cc(/C=C/n2c(C)cc(=O)cc2C)ccc1OC,1,7.37,2022,ChEMBL
C=CCOc1cc(C(=O)Cn2c(C)cc(=O)cc2C)ccc1OC,1,7.41,2022,ChEMBL
C=CCc1c(-c2cccc(NS(=O)(=O)c3ccccc3)c2)oc(=O)c2cc(F)ccc12,1,6.37,2021,ChEMBL
C=CCc1c(-c2cccc(NS(=O)(=O)c3cccs3)c2)oc(=O)c2cc(F)ccc12,1,6.27,2021,ChEMBL
C=CCc1c(C)nc(-c2ccc(C)cc2)nc1Nc1ccc(C(=O)O)cc1,1,6.66,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(C)cc2)nc1Nc1ccc(CC(=O)O)cc1,1,6.03,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(C)s2)nc1Nc1ccc(C(=O)O)cc1,1,6.82,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(C)s2)nc1Nc1ccc(CC(=O)O)cc1,1,6.5,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(OC)cc2)nc1Nc1ccc(C(=O)O)cc1,1,6.66,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(OC)cc2)nc1Nc1ccc(CC(=O)O)cc1,1,6.22,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(OC)s2)nc1Nc1ccc(C(=O)O)cc1,1,7.11,2009,ChEMBL
C=CCc1c(C)nc(-c2ccc(OC)s2)nc1Nc1ccc(CC(=O)O)cc1,1,6.72,2009,ChEMBL
C=CCc1c(C)nc(-c2cccc(C)c2)nc1Nc1ccc(C(=O)O)cc1,1,6.68,2009,ChEMBL
C=CCc1c(C)nc(-c2ccccc2)nc1Nc1ccc(C(=O)O)cc1,1,6.72,2009,ChEMBL
C=CCc1c(C)nc(-c2cccs2)nc1Nc1ccc(C(=O)O)cc1,1,6.92,2009,ChEMBL
C=CCc1c(C)nc(-c2ccsc2)nc1Nc1ccc(C(=O)O)cc1,1,7.17,2009,ChEMBL
C=CCc1c(C)nc(-c2cnccn2)nc1Nc1ccc(C(=O)O)cc1,1,6.07,2009,ChEMBL
C=CCc1c(CC)nc(-c2ccccc2)nc1Nc1ccc(C(=O)O)cc1,1,7.47,2009,ChEMBL
C=CCc1c(CCC)nc(-c2ccccc2)nc1Nc1ccc(C(=O)O)cc1,1,6.16,2009,ChEMBL
C=CCn1cc(-c2nc3ccccc3nc2Cl)c2cc(OC)ccc21,1,7.19,2024,ChEMBL
CC#C/C(=C\n1c(C)cc(=O)cc1C)c1ccc(OC(F)F)c(OCC2CC2)c1,1,8.8,2022,ChEMBL
CC#C/C(=C\n1c(C)cc(=O)cc1C)c1ccc(OC)c(OCC2CC2)c1,1,8.52,2022,ChEMBL
CC#CC(=O)N1CCC(c2ccc(OC)c(OC3CCCC3)c2)C1,1,6.71,1995,ChEMBL
CC#CC(=O)OC(Cn1c(C)cc(=O)cc1C)c1ccc(OC)c(OCC2CC2)c1,1,7.64,2022,ChEMBL
