smiles,label,pchembl,year,source
C#Cc1ccc2c(c1)N(C)C(=O)C(NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,7.72,2022,ChEMBL
C#Cc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1ccn(Cc3ccccc3)n1)CO2,1,7.72,2020,ChEMBL
C#Cc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,7.72,2022,ChEMBL
C#Cc1ccc2c(c1)N(C)C(=S)[C@@H](NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,8.01,2023,ChEMBL
C#Cc1ccc2c(n1)N(C)C(=O)[C@@H](NC(=O)c1cc(Oc3cccc(F)c3)ccn1)CO2,1,7.66,2023,ChEMBL
C#Cc1ccc2c(n1)N(C)C(=O)[C@@H](NC(=O)c1nn(Cc3ccc(F)cc3)cc1F)CO2,1,7.92,2023,ChEMBL
C#Cc1cncc2c1OCCN(C(=O)C(C)(C)C1CC(Cn3nccn3)C1)C2,1,6.26,2021,ChEMBL
C=C(C#Cc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Oc3ccc(F)cc3)ccn1)CO2)CCNC,1,7.11,2022,ChEMBL
C=C(C)C#Cc1ccc2c(c1)N(C)C(=O)C(NC(=O)c1cc(Oc3ccccc3)ccn1)CO2,1,6.9,2022,ChEMBL
C=C(C)C#Cc1ccc2c(c1)N(C)C(=O)C(NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,7.24,2022,ChEMBL
C=C(C)C#Cc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,7.24,2022,ChEMBL
C=C(C)C#Cc1ccc2c(c1)NC(=O)C(NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,7.19,2022,ChEMBL
C=C(C)C#Cc1ccc2c(c1)NC(=O)[C@@H](NC(=O)c1n[nH]c(Cc3ccccc3)n1)CO2,1,7.19,2022,ChEMBL
