smiles,label,pchembl,year,source
Br.Br.O=C1c2cccc3cccc(c23)C(=O)N1CCCNCCCCCCCCCNCCCN1C(=O)c2cccc3cccc(c23)C1=O,0,4.01,2017,ChEMBL
Br.O=C1c2cccc3cccc(c23)C(=O)N1CCNCCCNCCCNCCN1C(=O)c2cccc3cccc(c23)C1=O,0,4.37,2011,ChEMBL
C=CCN1C(=O)/C(=C/c2ccc(OCc3ccccc3)cc2)C(=O)NC1=S,0,4.43,2012,ChEMBL
C=CCOc1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1,0,4.53,2014,ChEMBL
C=CCOc1cccc(-c2nn3c(-c4ccco4)nnc3s2)c1,0,4.73,2014,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O,1,6.43,2011,ChEMBL
CC(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1C(N)=O,0,4.1,2005,ChEMBL
CC(=O)NCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0,4.8,2013,ChEMBL
CC(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,6.96,2013,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCCCSc1nc2c(N)ncnc2[nH]1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.34,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.52,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSCc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.24,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1ccc2ccccc2c1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.84,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1cccc2ccccc12)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.84,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.91,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1ncc(-c2ccccc2)s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.81,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.57,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CI)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.41,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.11,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CSc1ncc(-c2ccccc2)s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.75,2017,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)Nc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.2,2015,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(C)=O)C(N)=O,0,4.9,2015,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1csc2ccccc12)NC(C)=O)C(N)=O,0,4.84,2015,ChEMBL
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(N)=S)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,0,4.3,2015,ChEMBL
CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(N)=O,1,6.19,2015,ChEMBL
CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(N)=S)NC(=O)[C@H](CCCNC(C)=O)NC(C)=O)C(N)=O,0,4.05,2015,ChEMBL
CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(C)=O)C(N)=O,0,4.72,2015,ChEMBL
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)C=C(C)C)C(=O)N[C@@H](C)C(=O)O,0,4.96,2010,ChEMBL
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)CC(C)C)C(=O)N[C@@H](C)C(=O)O,0,4.92,2010,ChEMBL
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=S)CC(C)C)C(=O)N[C@@H](C)C(=O)O,1,6.16,2010,ChEMBL
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O,1,6.62,2011,ChEMBL
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=[Se])C(=O)N[C@@H](C)C(=O)O,1,6.43,2010,ChEMBL
CC(=O)Nc1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,1,6.17,2016,ChEMBL
CC(=O)Nc1ccc(CN2CC(C(N)=O)Oc3ccccc32)cc1,0,4.98,2021,ChEMBL
CC(=O)Nc1ccccc1CN1CC(C(N)=O)Oc2ccccc21,0,4.5,2021,ChEMBL
CC(=O)Nc1nc(CN2CC(C(N)=O)Oc3ccccc32)cs1,1,6.21,2021,ChEMBL
CC(=O)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,0,4.62,2016,ChEMBL
CC(=S)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,7.25,2013,ChEMBL
CC(=S)NCCCCC(NC(=O)Oc1ccccc1)C(=O)Nc1ccccc1,0,4.52,2016,ChEMBL
CC(=S)NCCCC[C@@H]1NC(=O)CNCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,0,4.66,2016,ChEMBL
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,1,6.24,2016,ChEMBL
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCCC[C@@H](C(N)=O)NC1=O,1,6.75,2016,ChEMBL
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NC[C@@H](C(N)=O)NC1=O,1,6.15,2016,ChEMBL
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,1,6.3,2016,ChEMBL
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCCC[C@@H](C(N)=O)NC1=O,1,6.17,2016,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)O,1,6.0,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1O)C(=O)N[C@@H](C)C(=O)O,1,6.0,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NC1CCCCC1,0,4.64,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)O)[C@@H](C)O,0,4.92,2009,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)O,1,6.24,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1)C(=O)N[C@@H](C)C(=O)O,1,6.01,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,1,6.62,2013,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)O,1,6.18,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)O,1,6.11,2011,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)O)[C@@H](C)O,0,4.96,2009,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O,1,6.05,2009,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)O,1,6.32,2009,ChEMBL
CC(=S)NCCCC[C@H](NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,0,4.75,2011,ChEMBL
CC(=S)NCCN1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,6.31,2013,ChEMBL
CC(C(=O)Nc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,0,4.39,2012,ChEMBL
CC(C(=O)Nc1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,0,4.37,2016,ChEMBL
CC(C(=O)Nc1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,0,4.39,2012,ChEMBL
CC(C)(C)C(=O)NCCC1CCN(c2ccnc3cc(C(N)=O)sc23)CC1,1,7.23,2013,ChEMBL
CC(C)(C)C(=O)NCCC1CCN(c2nccc3cc(C(N)=O)sc23)CC1,1,6.31,2013,ChEMBL
CC(C)(C)C(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)oc23)CC1,1,6.33,2013,ChEMBL
CC(C)(C)C(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,7.82,2013,ChEMBL
CC(C)(C)C(=O)NCCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,7.38,2013,ChEMBL
CC(C)(C)C(=O)NCCN1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,6.92,2013,ChEMBL
CC(C)(C)OC(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1,7.77,2013,ChEMBL
CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(Cl)c1)CC(C)(C)O2,0,4.49,2017,ChEMBL
CC(C)(C)OC(=O)c1ccc(C(=O)NCCC2CCN(c3ncnc4cc(C(N)=O)sc34)CC2)s1,1,8.17,2013,ChEMBL
CC(C)(C)OC(=O)c1ccc(CN2CC(C(N)=O)Oc3ccccc32)cc1,0,4.7,2021,ChEMBL
CC(C)(C)c1cc(C=C2C(=O)OC(c3ccccc3)OC2=O)cc(C(C)(C)C)c1O,0,4.72,2021,ChEMBL
CC(C)(C)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,0,4.82,2016,ChEMBL
CC(C)(C)c1ccc(C(=O)c2ccc(O)c(O)c2)cc1,0,4.11,2023,ChEMBL
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O,0,4.82,2016,ChEMBL
CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,0,4.65,2024,ChEMBL
CC(C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(N)=S)NC(=O)OCc1ccccc1,1,6.01,2020,ChEMBL
CC(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(C#N)c1)CC(C)(C)O2,0,4.26,2017,ChEMBL
CC(C)Oc1cccc(C=C2C(=O)OC(c3ccccc3)OC2=O)c1,0,4.85,2021,ChEMBL
CC(C)c1ccc(-c2[nH][nH]c(=O)c2Cc2c(O)ccc3nc(Cl)ccc23)cc1,0,4.68,2014,ChEMBL
CC(C)c1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1,0,4.19,2016,ChEMBL
CC(C)c1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1.Cl,0,4.37,2012,ChEMBL
CC(C)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,0,4.87,2016,ChEMBL
CC(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,0,4.91,2012,ChEMBL
CC(CS(=O)(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,0,4.39,2012,ChEMBL
CC(CS(=O)(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,0,4.39,2012,ChEMBL
CC(CSc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,0,4.39,2012,ChEMBL
CC(CSc1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,0,4.39,2012,ChEMBL
CC(CSc1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,0,4.39,2012,ChEMBL
CC(C[S+]([O-])c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,0,4.39,2012,ChEMBL
CC(C[S+]([O-])c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,0,4.39,2012,ChEMBL
CC(C[S+]([O-])c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,0,4.39,2012,ChEMBL
CC(NC(=O)c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,0,4.605,2010,ChEMBL
CC(NC(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,0,4.23,2010,ChEMBL
CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,0,4.4,2019,ChEMBL
CC(NS(=O)(=O)c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,0,4.375,2012,ChEMBL
CC(NS(=O)(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,0,4.39,2012,ChEMBL
CC(Oc1ccccc1)c1nn2c(-c3ccco3)nnc2s1,0,4.17,2014,ChEMBL
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,0,4.34,2012,ChEMBL
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,0,4.36,2012,ChEMBL
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,0,4.99,2012,ChEMBL
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,0,4.37,2012,ChEMBL
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,0,4.4,2012,ChEMBL
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,0,4.96,2012,ChEMBL
CC1(C)Cc2c(-c3ccc(Cl)cc3)n[nH]c2C(C(N)=O)C1,1,6.1,2015,ChEMBL
CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c54)=CC=C3C)C2)C1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1,6.53,2021,ChEMBL
CC1=NOC(=O)/C1=C/c1c(COCc2ccc(C(F)(F)F)cc2)n(C)c2ccc(F)cc12,0,4.45,2015,ChEMBL
CCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C,1,6.29,2020,ChEMBL
CCC(Sc1nnc2c(n1)[nH]c1ccccc12)C(=O)N1c2ccccc2Sc2ccccc21,1,7.0,2021,ChEMBL
CCC(c1ccccc1)c1nn2c(-c3ccco3)nnc2s1,0,4.02,2014,ChEMBL
CCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C,1,6.27,2020,ChEMBL
CCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,0,4.92,2020,ChEMBL
CCCCCCC(=S)NCCCCC(NC(=O)Oc1ccccc1)C(=O)Nc1ccccc1,1,6.51,2016,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCCC(NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,0,4.01,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1,0,4.43,2020,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1,0,4.39,2020,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCCC[N+](CC)(CC)CC.[Br-],1,6.09,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCCN,1,6.55,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCCN(CC)CC,1,6.58,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCCNC(=N)N,1,6.01,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCC[N+](CC)(CC)CC.[Br-],1,6.23,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCC[N+](CC)(CC)CC.[Br-],1,6.43,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCN1CCNCC1,1,6.24,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCN1CCOCC1,1,6.09,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC[N+](CC)(CC)CC.[Br-],1,6.14,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(CN)c1,1,6.39,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(C[N+](CC)(CC)CC)c1.[Br-],1,6.96,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1,1,6.51,2024,ChEMBL
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,0,4.01,2018,ChEMBL
