smiles,label,pchembl,year,source
Br.C=CCN(C)CC[C@@]12CCCC[C@@H]1C=Cc1ccc(OC)cc12,1,7.31,2004.0,ChEMBL
Br.CC(C1CC1)N1CCC(C2CCc3ccccc3C2=O)CC1,1,7.58,1994.0,ChEMBL
Br.CN(C)C1Cc2cc(O)c(O)cc2C(c2ccccc2)C1,1,7.685,1993.0,ChEMBL
Br.COCCN(C)CC[C@@]12CCCC[C@@H]1C=Cc1ccc(OC)cc12,1,7.31,2004.0,ChEMBL
Br.COc1ccc2c(c1)[C@]1(CCN(C)CC(=O)OC(C)(C)C)CCCC[C@@H]1C=C2,1,7.43,2004.0,ChEMBL
Br.COc1ccc2c(c1)[C@]1(CCN(C)CCOCc3ccccc3)CCCC[C@@H]1C=C2,1,6.62,2004.0,ChEMBL
Br.Clc1ccc(CCN2CCCC2)cc1Cl,1,7.54,1994.0,ChEMBL
Br.N=C(NC1CC2CCC1C2)NC1CC2CCC1C2,1,7.66,1990.0,ChEMBL
Br.N=C(NCc1ccccc1)NCc1ccccc1,1,7.265000000000001,1990.0,ChEMBL
Br.O=C(CC1CCN(CC2CC2)CC1)c1ccc(F)cc1,1,8.0,1994.0,ChEMBL
Br.O=C1c2ccccc2CCC1C1CCN(CC2CC2)CC1,1,7.58,1994.0,ChEMBL
Br.O=C1c2ccccc2CCC1C1CCN(CCc2ccccc2)CC1,1,8.0,1994.0,ChEMBL
Brc1ccc(Cc2cn(C3CCN(Cc4ccccc4)CC3)nn2)cc1,1,8.82,2022.0,ChEMBL
Brc1cccc(CNC2C3C4CC5C6C4C2C6C2(OCCO2)C53)c1.Cl,1,8.16,1996.0,ChEMBL
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1,8.55,2018.0,ChEMBL
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,1,7.19,2018.0,ChEMBL
C#CCN1CCC2(CC1)OC=C(c1ccccc1)C2=O.Cl,0,4.7,1993.0,ChEMBL
C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,1,7.66,1994.0,ChEMBL
C(#Cc1ccccc1)CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,1,8.6,1994.0,ChEMBL
C(#Cc1ccccc1)COC1CCN(CCc2ccccc2)CC1,1,8.4,1994.0,ChEMBL
C(#Cc1ccccc1)COCC1CCN(Cc2ccccc2)CC1,1,8.4,1994.0,ChEMBL
C(#Cc1ccccc1)COCCC1CCN(CC2CC2)CC1,1,9.0,1994.0,ChEMBL
C(#Cc1ccccc1)COCCC1CCN(CCc2ccccc2)CC1,1,8.15,1994.0,ChEMBL
C(/C=C/c1ccc2c(c1)OCO2)=C\CN1CCCCC1,1,9.07,2003.0,ChEMBL
C(/C=C/c1ccccc1)=C\OCC1CCN(Cc2ccccc2)CC1,1,6.67,1994.0,ChEMBL
C(=C/c1ccccc1)\CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,1,8.15,1994.0,ChEMBL
C(=C/c1ccccc1)\CN1C2CCC1c1c([nH]c3ccccc13)C2,1,6.585,1993.0,ChEMBL
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,7.585,,ChEMBL
C(=C/c1ccccc1)\CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,1,7.8,1994.0,ChEMBL
C(=C/c1ccccc1)\COCC1CCN(CC2CC2)CC1,1,8.3,1994.0,ChEMBL
C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1,1,7.75,1994.0,ChEMBL
C(=C/c1ccccc1)\COCC1CCN(CCc2ccccc2)CC1,1,8.3,1994.0,ChEMBL
C(=C/c1ccccc1)\COCC1CCN(Cc2cccc3ccccc23)CC1,1,8.1,1994.0,ChEMBL
C(=C/c1ccccc1)\COCC1CCN(Cc2ccccc2)CC1,1,8.15,1994.0,ChEMBL
C(=C\c1ccccc1)\COCC1CCN(Cc2ccccc2)CC1,1,7.05,1994.0,ChEMBL
C(CCCNCCc1ccccc1)=C(c1ccccc1)c1ccccc1,1,8.89,2004.0,ChEMBL
C(COCC1CCN(Cc2ccccc2)CC1)=C(c1ccccc1)c1ccccc1,1,7.66,1994.0,ChEMBL
C/C(=N\C12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,1,7.8,1993.0,ChEMBL
C/C(=N\C12CC3CC(CC(C3)C1)C2)Nc1ccccc1C.Cl,1,8.22,1993.0,ChEMBL
C/C(=N\C1CC2CCC1C2)Nc1ccccc1C,1,8.05,1993.0,ChEMBL
C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,1,7.14,1993.0,ChEMBL
C/C(=N\C1CCCCC1)Nc1ccccc1C.Cl,1,8.05,1993.0,ChEMBL
C/C(=N\c1ccc(Br)cc1C)Nc1ccc(Br)cc1C,1,7.58,1993.0,ChEMBL
C/C(=N\c1ccccc1C)Nc1ccccc1C.Cl,1,7.82,1993.0,ChEMBL
C/C=C/CN1CCC(COC/C=C/c2ccccc2)CC1,1,8.1,1994.0,ChEMBL
C1=C(CCCN2CCN(Cc3ccccc3)CC2)c2ccccc2CC1,1,7.18,1996.0,ChEMBL
C1=C(c2c[nH]c3ccccc23)CCN(CCCCc2ccncc2)C1,1,7.99,1993.0,ChEMBL
C1=C(c2c[nH]c3ncccc23)CCN(CCCc2ccccc2)C1,1,7.54,2022.0,ChEMBL
C1=C(c2ccc3ccccc3c2)CCN(CCCCc2ccncc2)C1,1,8.51,1993.0,ChEMBL
C1=C(c2ccccc2)CCN(CCCCc2ccncc2)C1,1,8.56,1993.0,ChEMBL
C1=C(c2ccccc2)CCNC1,1,6.0,1993.0,ChEMBL
C1=C(c2ccccn2)CCN(CCCCc2ccncc2)C1,1,7.35,1993.0,ChEMBL
C1=C(c2cccs2)CCN(CCCCc2ccncc2)C1,1,8.67,1993.0,ChEMBL
C1=Cc2ccccc2C2(CCN(Cc3ccccc3)CC2)O1,1,8.73,2002.0,ChEMBL
C1CCC(NC(=NC2CC2)NC2CCCCC2)CC1,1,6.54,1990.0,ChEMBL
C=C(C)CN1CCN(c2ccc3c(c2)CCCN(C(=O)OCc2ccccc2)C3)CC1,1,6.93,2021.0,ChEMBL
C=C(C)CN1CCN(c2ccc3c(c2)CCN(C(=O)OCc2ccccc2)C3)CC1,1,6.73,2021.0,ChEMBL
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)C3)CC1,1,7.04,2021.0,ChEMBL
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)CC3)CC1,1,6.61,2021.0,ChEMBL
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)CCC3)CC1,1,7.32,2021.0,ChEMBL
C=C(C)CN1CCN(c2ccc3c(c2)[C@H]2C[C@H]3CCN2C(=O)OCc2ccccc2)CC1,1,6.375,2021.0,ChEMBL
C=C1CCN2Cc3ccc(OC)cc3[C@H]3CCCC[C@]32C1,1,8.1,2020.0,ChEMBL
C=CCCCCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,1,7.1,2018.0,ChEMBL
C=CCCCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,1,6.75,2018.0,ChEMBL
C=CCCN1CCC2(CCCc3ccccc32)CC1.Cl,1,8.18,1992.0,ChEMBL
C=CCCN1CCN(c2ccc3c(c2)[C@H]2C[C@H]3CCN2C(=O)OCc2ccccc2)CC1,1,6.76,2021.0,ChEMBL
C=CCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,1,8.76,1992.0,ChEMBL
C=CCCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,1,6.21,2018.0,ChEMBL
C=CCN(C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,1,6.93,1993.0,ChEMBL
