smiles,label,pchembl,year,source
C(=NOCCc1ccccc1)c1cccnc1,0,4.945,,ChEMBL
CC(=C1C(=O)c2ccccc2C1=O)N1CCc2ccccc2C1,1,6.52,,ChEMBL
CC(=O)Nc1ccc(NC(=O)Nc2ccccc2)cc1,0,4.65,,ChEMBL
CC(=O)Nc1ccc(S(=O)(=O)NC[C@@H]2CCCN2)cc1,1,7.38,2025.0,ChEMBL
CC(=O)c1ccc(NC(=O)c2ccc(COc3ccccc3[N+](=O)[O-])o2)cc1,1,6.69,,ChEMBL
CC(=O)c1ccsc1C1CNCCO1,0,4.82,2025.0,ChEMBL
CC(C)(C)N(Cc1c[nH]cn1)c1cccc(Cl)c1,1,7.48,2012.0,ChEMBL
CC(C)=C1C2CCC1C(C(=O)NCCc1ccccc1)C2C(=O)O,1,6.17,,ChEMBL
CC(C)CC(N)c1nc2ccccc2[nH]1,1,7.0,2025.0,ChEMBL
CC(C)N(C[C@H]1COC(N)=N1)c1ccccc1,1,6.85,2016.0,ChEMBL
CC(C)N(Cc1c[nH]cn1)c1cccc(F)c1,1,7.92,2012.0,ChEMBL
CC(C)N(Cc1c[nH]cn1)c1cccc(S(C)(=O)=O)c1,1,6.89,2012.0,ChEMBL
CC(C)N(Cc1c[nH]cn1)c1ccccc1Cl,1,7.4,2012.0,ChEMBL
CC(C)N(Cc1c[nH]cn1)c1ccccc1F,1,7.75,2012.0,ChEMBL
CC(C)N(Cc1c[nH]cn1)c1ccccn1,1,6.71,2012.0,ChEMBL
CC(C)N(Cc1c[nH]cn1)c1nccc(Cl)n1,1,7.0,2012.0,ChEMBL
CC(C)N(Cc1cnc[nH]1)c1cc(Cl)cc(Cl)c1,1,8.4,2012.0,ChEMBL
CC(C)N(Cc1cnc[nH]1)c1ccc(Cl)c(Cl)c1,1,8.4,2012.0,ChEMBL
CC(C)N(Cc1cnc[nH]1)c1ccc(Cl)cc1,1,7.93,2012.0,ChEMBL
CC(C)N(Cc1cnc[nH]1)c1ccc(F)cc1,1,7.89,2012.0,ChEMBL
CC(C)N(Cc1cnc[nH]1)c1cccc(Cl)c1,1,8.370000000000001,2012.0,ChEMBL
CC(C)N(Cc1cnc[nH]1)c1ccccc1,1,7.915,2012.0,ChEMBL
CC(C)N(Cc1ncc[nH]1)c1ccc(Cl)cc1,1,6.86,2012.0,ChEMBL
CC(C)N(Cc1ncc[nH]1)c1cccc(Cl)c1,1,6.835,2012.0,ChEMBL
CC(C)N(Cc1ncc[nH]1)c1ccccc1,1,6.33,2012.0,ChEMBL
CC(C)[C@H](NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCCc1ccccc1Cl,1,6.02,,ChEMBL
CC(C)c1cccc(C(C)C)c1CC1=NCCN1,1,6.08,2012.0,ChEMBL
