smiles,label,pchembl,year,source
Brc1cc(N2CC[C@@H]3CN[C@@H]3C2)cnc1Br,1,7.12,2009,ChEMBL
Brc1cc(N2CC[C@H]3CN[C@H]3C2)cnc1Br,1,8.11,2009,ChEMBL
Brc1ccc(N2CCCNCC2)cn1,1,8.095,2009,ChEMBL
Brc1ccc(N2CCCNCCC2)cn1,1,9.12,2009,ChEMBL
Brc1ccc(N2CCNCC2)cn1,1,6.17,2009,ChEMBL
Brc1ccc(OC[C@@H]2C[C@H]3C[C@H]3N2)cn1.Cl,1,7.33,2020,ChEMBL
Brc1cncc(N2CCCNCCC2)c1,1,7.645,2009,ChEMBL
Brc1cncc(N2CC[C@@H]3CN[C@@H]3C2)c1,1,6.0,2009,ChEMBL
Brc1cncc(N2CC[C@H]3CN[C@H]3C2)c1,1,6.82,2009,ChEMBL
Brc1cncc(OC[C@@H]2C[C@@H]3C[C@@H]3N2)c1.Cl,1,8.54,2020,ChEMBL
Brc1cncc(OC[C@@H]2C[C@H]3C[C@H]3N2)c1.O=C(O)C(O)C(O)C(=O)O,1,8.19,2020,ChEMBL
C#CCOc1ccc(C(=O)Nc2cccc(C)n2)cc1,0,4.71,2013,ChEMBL
C#Cc1cc2n(c(=O)c1)CC1CNC[C@@H]2C1,1,9.07,2023,ChEMBL
C#Cc1cncc(N2C[C@@H]3CNC[C@@H]32)c1,0,4.78,2007,ChEMBL
C(#Cc1cncc(OC[C@@H]2CCN2)c1)c1ccccc1,1,8.0,2013,ChEMBL
C(#Cc1cncc(OC[C@H]2CCN2)c1)c1ccccc1,1,9.96,2013,ChEMBL
C(=C/c1ccc(OCC[N+]23CCC(CC2)CC3)cc1)\c1ccccc1.[I-],1,8.72,2022,ChEMBL
C(=C1\CN2CCC1CC2)\c1cccnc1,1,8.46,2013,ChEMBL
C(CN1CCCCC1)=C(c1ccccc1)c1ccccc1,1,6.8,2013,ChEMBL
C/C=C\Oc1cncc(N2CCCNCC2)c1,1,7.285,2009,ChEMBL
C1=C(c2ccc3nccnc3c2)CC2CNCC1C2,1,7.07,2012,ChEMBL
C1=C(c2cccnc2)C2CCC(CC1)N2,1,9.57,2012,ChEMBL
C1=C(c2cccnc2)CC2CCC1N2,1,7.085,2009,ChEMBL
C1=C(c2cccnc2)CC2CCCC1N2,1,7.135,2009,ChEMBL
C1=C(c2cccnc2)CC2CNCC1C2,1,9.7,2012,ChEMBL
C1=C(c2cccnc2)C[C@@H]2CNC[C@H]1C2,1,8.05,2012,ChEMBL
C1=C(c2cccnc2)C[C@H]2CNC[C@@H]1C2,1,8.280000000000001,2012,ChEMBL
C1=C(c2ccncc2)CC2CNCC1C2,1,7.25,2012,ChEMBL
C1=C(c2cncc(-c3ccccc3)c2)CC2CNCC1C2,1,8.085,2012,ChEMBL
C1=C(c2cncc(OCc3ccccc3)c2)CC2CNCC1C2,1,9.15,2012,ChEMBL
C1=C(c2cncc(Oc3ccccc3)c2)CC2CNCC1C2,1,6.720000000000001,2012,ChEMBL
C1=C(c2cnccn2)CC2CNCC1C2,1,8.96,2012,ChEMBL
C1=C(c2cncnc2)CC2CNCC1C2,1,6.79,2012,ChEMBL
C1=CC[C@H](c2cccnc2)NC1,1,6.13,2020,ChEMBL
C1=C[C@@H](c2cccnc2)NCC1,1,6.0,2020,ChEMBL
C1=C[C@H](c2cccnc2)NCC1,1,6.51,2020,ChEMBL
C=C(C)COc1ccc(C(=O)Nc2cccc(C)n2)cc1,0,4.71,2013,ChEMBL
C=C1[C@@H]2CCC[C@@]1(COC(=O)c1ccccc1-c1ccc(NC(C)=O)cn1)CN(CC)C2,0,4.965,2021,ChEMBL
C=C1[C@@H]2CCC[C@@]1(COC(=O)c1ccccc1-c1cccc(NC(C)=O)n1)CN(CC)C2,0,4.935,2021,ChEMBL
C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CCN,1,6.29,2011,ChEMBL
C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CCNC.Cl,1,6.49,2011,ChEMBL
C=CCOc1ccc(C(=O)Nc2cccc(Br)n2)cc1,0,4.15,2013,ChEMBL
C=CCOc1ccc(C(=O)Nc2cccc(CC)n2)cc1,0,4.69,2013,ChEMBL
C=CCOc1ccc(C(=O)Nc2cccc(NCCC)n2)cc1,0,4.83,2013,ChEMBL
C=CCOc1ccc(C(=O)Nc2cccc(NCCCC)n2)cc1,0,4.65,2013,ChEMBL
C=CCOc1ccc(C(=O)Nc2ccccn2)cc1,0,4.71,2013,ChEMBL
C=COc1cc(N2CCCNCC2)cnc1Br,1,8.075,2009,ChEMBL
C=COc1cc(N2CCCNCCC2)cnc1Br,1,8.02,2009,ChEMBL
C=COc1cncc(N2CCCNCC2)c1,1,7.130000000000001,2009,ChEMBL
C=Cc1cc2n(c(=O)c1)CC1CNC[C@@H]2C1,1,7.85,2023,ChEMBL
C=Cc1ccc(OCC[N+](CC)(CC)CC)cc1.[I-],0,4.62,2023,ChEMBL
CC(=O)/C=C1\CN2CCC1CC2,1,7.89,2012,ChEMBL
CC(=O)C1=CCCC2CCC1N2,1,8.96,2012,ChEMBL
CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,1,9.47,2013,ChEMBL
CC(=O)C1=CC[C@@H]2CC[C@H]1N2,1,7.03,2013,ChEMBL
CC(=O)N1CC2CNCC(C2)C1,1,6.35,2013,ChEMBL
CC(=O)N1CC2CNCC2C1,1,6.5,2013,ChEMBL
CC(=O)N1C[C@@H]2CNC[C@@H](C2)C1.O=C(O)/C=C/C(=O)O,1,7.7,2013,ChEMBL
CC(=O)NCc1cc2n(c(=O)c1)CC1CNC[C@@H]2C1,1,7.03,2023,ChEMBL
CC(=O)Nc1cc2n(c(=O)c1)CC1CNC[C@@H]2C1,1,7.98,2023,ChEMBL
CC(=O)Nc1ccc2c(c1)C1CNCC2C1,1,7.12,2005,ChEMBL
CC(=O)c1ccc2c(c1)C1CNCC2C1,1,9.77,2005,ChEMBL
CC(C(=O)c1cccc(Br)c1)N1CCCCC1,1,7.13,2010,ChEMBL
CC(C(=O)c1cccc(Cl)c1)N1CCCCC1,1,7.52,2010,ChEMBL
CC(C(=O)c1cccc(F)c1)N1CCCCC1,1,7.15,2010,ChEMBL
CC(C)(O)c1ccc2c(c1)CC1CNCC2C1,1,6.58,2005,ChEMBL
CC(C)C(=O)N1CC2CC(C1)N2,0,4.72,2014,ChEMBL
CC(C)C(=O)N1C[C@@H]2CNC[C@@H](C2)C1.O=C(O)/C=C/C(=O)O,1,7.35,2013,ChEMBL
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CS)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,1,8.82,2005,ChEMBL
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(C)C)C(=O)N[C@@H](CS)C(N)=O,1,8.1,2005,ChEMBL
CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CS)C(N)=O,1,8.02,2005,ChEMBL
CC(C)Cn1cnc2cc3c(cc21)C1CNCC3C1,1,9.52,2005,ChEMBL
CC(C)N(CCOc1cccnc1)C(C)C,0,4.95,2005,ChEMBL
CC(C)NC(=O)[C@H]1C[C@@H]2CNC[C@@H](C2)C1,1,6.68,2013,ChEMBL
CC(C)Oc1cncc(C2=CC3CC(C2)CN(C)C3)c1,1,7.0600000000000005,2012,ChEMBL
CC(C)Oc1cncc(C2=CC3CNCC(C2)C3)c1,1,6.52,2012,ChEMBL
CC(C)S(=O)(=O)Nc1cncc(-c2ccccc2O[C@H]2C[C@@H]3CNC[C@H]2C3)c1.Cl,1,6.13,2010,ChEMBL
CC(C)c1ccc2c(c1)CC1CNCC2C1,1,7.14,2005,ChEMBL
CC(C)c1nc2cc3c(cc2o1)C1CNCC3C1,1,8.72,2005,ChEMBL
CC(C/C=C/C(=O)N(C)C)N(C)C,1,6.52,2009,ChEMBL
CC(CCNC(=O)N(C)C)N(C)C,0,4.0,2009,ChEMBL
CC(CCOC(=O)N(C)Cc1ccccc1)N(C)C,1,6.895,2009,ChEMBL
CC(CCOC(=O)N(C)c1ccc(C#N)cc1)N(C)C,0,4.619999999999999,2009,ChEMBL
CC(CCOC(=O)N(C)c1ccc(Cl)cc1)N(C)C,0,4.91,2009,ChEMBL
CC(CCOC(=O)NCCCc1ccccc1)N(C)C,1,7.02,2009,ChEMBL
CC(CCOC(=O)NCCO)N(C)C,1,6.7,2009,ChEMBL
CC(CNC(C)(C)C)C(=O)c1cccc(Cl)c1,1,7.46,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1cc(Cl)cc(Cl)c1,1,7.72,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1ccc(Br)cc1,1,7.64,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1,1,7.54,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1ccc(Cl)cc1,1,7.48,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1ccc(F)c(F)c1,1,7.35,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1cccc(Br)c1,1,7.82,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0,4.92,2014,ChEMBL
CC(NC(C)(C)C)C(=O)c1cccc(F)c1,1,7.68,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1cccc([N+](=O)[O-])c1,1,7.44,2010,ChEMBL
CC(NC(C)(C)C)C(=O)c1cccs1,1,7.5,2010,ChEMBL
CC(NC1CCCC1)C(=O)c1cccc(Br)c1,1,7.38,2010,ChEMBL
CC(NC1CCCC1)C(=O)c1cccc(F)c1,1,7.09,2010,ChEMBL
CC1(C)CCC[C@]2(C)[C@@H](C=O)C(C=O)=CC[C@@H]12,0,4.2,2018,ChEMBL
CC1(C)CCC[C@]2(C)[C@H]3C(=O)OCC3=CC[C@@H]12,1,6.01,2018,ChEMBL
CC1(C)OC2C3CC(C2O1)N(CCCc1ccccc1)CC3OC(=O)c1ccccc1-c1ccccc1,0,4.94,2012,ChEMBL
CC1=CC[C@@H]2C[C@H]1[C@H](c1ccc(F)c(C(F)(F)F)c1)NC2(C)C,0,4.91,2024,ChEMBL
CC1=CC[C@@H]2C[C@H]1[C@H](c1cccc3ncccc13)NC2(C)C,0,4.65,2024,ChEMBL
CC1=CC[C@@H]2C[C@H]1[C@H](c1ccnc3ccccc13)NC2(C)C,0,4.96,2024,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OC2CN(CCCc3ccccc3)C3CC2C2OC(C)(C)OC23)C1=O,0,4.96,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCCC3CCCCC3)C2)C1=O,0,4.84,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCCCCCc3ccccc3)C2)C1=O,0,4.53,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCCCCOc3ccc(Cl)c(Cl)c3)C2)C1=O,0,4.76,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCCCCOc3ccccc3)C2)C1=O,0,4.77,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCCCCc3ccccc3)C2)C1=O,0,4.61,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCCCOc3ccc(Cl)c(Cl)c3)C2)C1=O,0,4.91,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCOc3ccc(Cl)c(Cl)c3)C2)C1=O,0,4.82,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OCC2CCCN(CCOc3cccc(Cl)c3)C2)C1=O,0,4.66,2012,ChEMBL
CC1CC(=O)N(c2ccccc2C(=O)OC[C@@H]2C[C@H](C3CCCCC3)CN(CCCc3ccccc3)C2)C1=O,0,4.4,2012,ChEMBL
CC1CN(C(=O)OCCC(C)N(C)C)C1.O=C(O)C(=O)O,0,4.07,2008,ChEMBL
CC1NC(C)(C)COC1(O)c1cc(Cl)cc(Cl)c1,0,4.96,2010,ChEMBL
CC1NC(C)(C)COC1(O)c1ccc(Cl)c(Cl)c1,0,4.7,2010,ChEMBL
CCC(=O)C1=CCCN(C)C1,1,8.24,2012,ChEMBL
CCC(=O)N1CC2CC(C1)N2,1,6.31,2014,ChEMBL
CCC(=O)N1CC2CNCC(C2)C1,1,6.91,2013,ChEMBL
CCC(=O)N1CC2CNCC2C1,1,6.904999999999999,2013,ChEMBL
CCC(=O)N1C[C@@H]2CNC[C@@H](C2)C1.O=C(O)/C=C/C(=O)O,1,7.98,2013,ChEMBL
CCC(C)(C)c1[nH]c2cc(Br)ccc2c1CCNC,1,6.93,2011,ChEMBL
CCC(C)c1[nH]c2ccccc2c1CCNC,0,4.78,2011,ChEMBL
CCC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1,1,8.0,2010,ChEMBL
CCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1,8.07,2010,ChEMBL
CCCC(=O)N1CC2CC(C1)N2,1,6.24,2014,ChEMBL
CCCC(=O)N1C[C@@H]2CNC[C@@H](C2)C1.O=C(O)/C=C/C(=O)O,1,8.54,2013,ChEMBL
CCCC(=O)N[C@@H](CC1CCCCC1)C(=O)NCCCNCCCCNCCCN,1,8.59,2019,ChEMBL
CCCC(=O)N[C@@H](CCc1ccccc1)C(=O)NCCCNCCCCNCCCN,1,7.68,2019,ChEMBL
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCNCCCCNCCCN,1,7.1,2019,ChEMBL
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCNC[C@@H]1C[C@H]1CNCCCN,1,7.35,2019,ChEMBL
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCNC[C@H]1C[C@H]1CNCCCN,1,7.32,2019,ChEMBL
CCCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCNCCCCNCCCN,1,7.56,2019,ChEMBL
CCCC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1,1,8.01,2010,ChEMBL
CCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1,8.11,2010,ChEMBL
CCCCC#Cc1cnc(C)c(OC[C@@H]2CCN2)c1,1,6.665,2016,ChEMBL
CCCCC#Cc1cnc(C)c(OC[C@H]2CCN2)c1,1,6.13,2016,ChEMBL
CCCCCCCCCCCC[n+]1cccc([C@@H]2CCCN2C)c1.[I-],1,9.85,2015,ChEMBL
CCCCCCCCCC[n+]1cccc([C@@H]2CCCN2C)c1.[I-],1,8.375,2015,ChEMBL
CCCCCC[n+]1cccc([C@@H]2CCCN2C)c1.[Br-],1,6.52,2015,ChEMBL
CCCCC[n+]1cccc([C@@H]2CCCN2C)c1.[Br-],1,7.05,2015,ChEMBL
CCCCNc1cccc(NC(=O)c2ccc(OCCC)cc2)n1,0,4.27,2013,ChEMBL
CCCCNc1cncc(OC[C@@H]2CCCN2)c1.Cl,1,6.47,2010,ChEMBL
CCCCn1cnc2cc3c(cc21)C1CNCC3C1,1,9.7,2005,ChEMBL
CCCN1[C@@H](C)[C@](O)(c2cccc(Cl)c2)OCC1(C)C,0,4.92,2011,ChEMBL
CCCNC(=O)OCCC(C)N(C)C,1,7.31,2009,ChEMBL
CCCNC(=O)[C@H]1C[C@@H]2CNC[C@@H](C2)C1,1,6.92,2013,ChEMBL
CCCNc1cccc(NC(=O)c2ccc(OCCC)cc2)n1,0,4.81,2013,ChEMBL
CCCOc1ccc(C(=O)Nc2cccc(Br)n2)cc1,0,4.09,2013,ChEMBL
CCCOc1ccc(C(=O)Nc2cccc(CC)n2)cc1,0,4.42,2013,ChEMBL
CCCOc1ccc(C(=O)Nc2cnccn2)cc1,0,4.63,2013,ChEMBL
CCCc1[nH]c2cc(Br)ccc2c1CCNC,0,4.14,2011,ChEMBL
CCCc1[nH]c2ccccc2c1CCNC,0,4.73,2011,ChEMBL
CCCn1c(C)nc2cc3c(cc21)C1CNCC3C1,1,9.72,2005,ChEMBL
CCCn1cnc2cc3c(cc21)C1CNCC3C1,1,9.44,2005,ChEMBL
CCN(C)C1CCCc2ccncc21.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,1,6.03,2004,ChEMBL
CCN(C)CCOc1cccnc1,1,7.66,2004,ChEMBL
CCN(C)Cc1cccnc1,1,7.55,2006,ChEMBL
CCN(CC)c1cncc(OC[C@@H]2CCCN2)c1.Cl,0,4.79,2010,ChEMBL
CCN1CC(OC(=O)c2ccccc2N2C(=O)CC(C)C2=O)C2CC1C1OC(C)(C)OC21,0,4.92,2012,ChEMBL
CCN1C[C@]2(COC(=O)c3ccccc3N3C(=O)C[C@H](C)C3=O)CC[C@H](OC)[C@]34C1[C@@](O)([C@@H](OC)[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@@H]1[C@H]2OC,1,6.949999999999999,2021,ChEMBL
CCNC(=O)OCCC(C)N(C)C,1,7.42,2009,ChEMBL
CCNC(=O)OCCc1cc(-c2cncc(OC[C@@H]3CCN3)c2)on1,1,7.425,2012,ChEMBL
CCNC1=CC(=O)N2CC3CNC[C@H](C3)[C@@H]2C1,1,7.75,2023,ChEMBL
CCOC(=O)/C=C/c1cc2n(c(=O)c1)CC1CNC[C@@H]2C1,1,8.09,2023,ChEMBL
