smiles,label,pchembl,year,source
Br.C1C[S+]2CCC(CC2)N1.[Br-],0,4.39,2025,ChEMBL
BrC1=NOC2(C1)CN1CCC2C1.O=C(O)/C=C/C(=O)O,0,4.08,2011,ChEMBL
Brc1cc(Br)n2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12,1,6.92,2017,ChEMBL
Brc1cc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn2c1,1,6.6,2017,ChEMBL
Brc1ccc(C[N+]23CC[C@@H]4[C@@H]5[C@@H]6[C@@H](OCC=C(C2)[C@@H]6C[C@@H]43)N2c3ccccc3[C@@]34CC[N+]6(Cc7ccc(Br)cc7)CC7=CCO[C@H]([C@@H]([C@H]23)[C@H]7C[C@@H]46)N5c2ccccc2)cc1.[Br-].[Br-],1,6.195,2007,ChEMBL
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)nccn12,1,7.04,2017,ChEMBL
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,1,7.35,2017,ChEMBL
Brc1ccc2c(N[C@H]3CN4CCC3CC4)noc2c1,1,6.03,2019,ChEMBL
Brc1ccn2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12,1,6.5,2017,ChEMBL
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,1,6.5,2017,ChEMBL
C(#Cc1cc(C#CCCC[n+]2cccc(-c3ccccc3)c2)c(C#CCCC[n+]2cccc(-c3ccccc3)c2)cc1C#CCCC[n+]1cccc(-c2ccccc2)c1)CCC[n+]1cccc(-c2ccccc2)c1.[Br-].[Br-].[Br-].[Br-],1,6.73,2011,ChEMBL
C(=C/c1ccc(OCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1.[I-],1,6.04,2018,ChEMBL
C(=C/c1ccc(OCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1.[I-],1,6.21,2018,ChEMBL
C(=C/c1ccc(OCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1.[I-],1,6.25,2018,ChEMBL
C(=C/c1ccc(OCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)\c1ccccc1.[I-],1,6.01,2018,ChEMBL
C(=C/c1ccc(OCC[N+]23CCC(CC2)CC3)cc1)\c1ccccc1.[I-],1,7.995,2022,ChEMBL
