smiles,label,pchembl,year,source
Brc1cccc(-c2nc(-c3ccccn3)no2)c1,1,6.93,2012,ChEMBL
Brc1cccc2nc(C#Cc3ccccn3)ccc12,1,6.12,2013,ChEMBL
C#Cc1cccc2c1CCN1C(=O)CN=C(c3cccs3)C=C21,1,7.3,2017,ChEMBL
C#Cc1cn(C2=NCC(=O)N3CCc4c(cccc4-c4cscn4)C3=C2)cn1,1,6.91,2017,ChEMBL
C#Cc1cncc(C#Cc2csc(C)n2)c1,1,7.72,2006,ChEMBL
C#Cc1ncccc1C#Cc1csc(C)n1,1,6.72,2006,ChEMBL
C(#CC1CCCCC1)c1ccccn1,1,6.97,2005,ChEMBL
C(#Cc1ccc(C(N2CCOCC2)N2CCOCC2)cc1)c1ccccc1,1,6.01,2009,ChEMBL
C(#Cc1ccc2c(n1)OCCN2)c1ccccc1,0,4.6,2011,ChEMBL
C(#Cc1ccc2ccccc2n1)c1ccccn1,1,6.03,2013,ChEMBL
C(#Cc1ccccn1)C1=CC(N2CCOCC2)CCC1,1,6.79,2005,ChEMBL
C(#Cc1ccccn1)C1=CC(Nc2cccnc2)CCC1,1,8.07,2005,ChEMBL
C(#Cc1ccccn1)C1=CC(Oc2cccnc2)CCC1,1,8.66,2005,ChEMBL
C(#Cc1ccccn1)C1=CC(Oc2ccncc2)CCC1,1,7.8,2005,ChEMBL
C(#Cc1ccccn1)C1=CC(Sc2ccc3ccccc3c2)CCC1,1,6.67,2005,ChEMBL
C(#Cc1ccccn1)C1=CC(Sc2ccncc2)CCC1,1,7.66,2005,ChEMBL
C(#Cc1ccccn1)C1=CCC(NC2CCCC2)CC1,1,6.01,2005,ChEMBL
C(#Cc1ccccn1)C1=CCC(Nc2ccc3ccccc3c2)CC1,1,6.51,2005,ChEMBL
C(#Cc1ccccn1)C1=CCC(Nc2cccnc2)CC1,1,7.9,2005,ChEMBL
C(#Cc1ccccn1)C1=CCCC1,1,8.51,2005,ChEMBL
C(#Cc1ccccn1)C1=CCCCC1,1,8.62,2005,ChEMBL
C(#Cc1ccccn1)C1=CCNCC1,1,6.24,2005,ChEMBL
C(#Cc1cnc2c(c1)CCN2)c1ccccc1,1,7.8,2011,ChEMBL
C(#Cc1cnc2c(c1)OCCN2)c1ccccc1,1,7.69,2011,ChEMBL
C(#Cc1cncnc1)c1ccccc1,1,6.31,2012,ChEMBL
C(#Cc1cscn1)c1ccccc1,1,7.01,2003,ChEMBL
C(#Cc1nccs1)c1ccccc1,1,7.09,2003,ChEMBL
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,1,6.975,2015,ChEMBL
C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1,1,6.5,2015,ChEMBL
C/C=C/C[C@@H](NC(=O)c1nccs1)c1cnc(Nc2ccc(C)nc2)c(Cl)c1,1,8.06,2015,ChEMBL
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,0,4.47,2010,ChEMBL
C=C(C)c1cccc2c1CCN1C(=O)CN=C(n3cnc(COC)c3)C=C21,1,7.85,2017,ChEMBL
C=C(C)c1cccc2c1CCN1C(=O)CN=C(n3cnc([C@@H](C)OC)c3)C=C21,1,7.75,2017,ChEMBL
C=C(C)c1cccc2c1CCN1C(=O)CN=C(n3cnc([C@H](C)OC)c3)C=C21,1,7.62,2017,ChEMBL
C=CC[C@@H](NC(=O)c1nccs1)c1cnc(Nc2ccc(C)nc2)c(Cl)c1,1,8.62,2015,ChEMBL
C=Cc1ccc([N+](=O)[O-])c(N2CCN(C(=O)C#Cc3ccccc3)CC2)n1,1,7.38,2015,ChEMBL
C=Cc1cccc2c1CCN1C(=O)CN=C(n3cnc(COC)c3)C=C21,1,7.41,2017,ChEMBL
C=Cc1cncc(C#Cc2csc(C)n2)c1,1,8.85,2006,ChEMBL
