smiles,label,pchembl,year,source
C#CC1(NCc2cc(-c3ccc4c(N5CCOC[C@@H]5C)nc(N5CCOC[C@@H]5C)nc4n3)ccc2OC)CCCCC1,1,7.22,2015.0,ChEMBL
C#CCN(C)C(=O)c1cc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)ccc1F,1,6.85,2015.0,ChEMBL
C#CCN(C)C(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,1,6.92,2015.0,ChEMBL
C#CCN1CCN(C(=O)c2c(F)cc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,1,8.07,2014.0,ChEMBL
C#CCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,1,8.6,2014.0,ChEMBL
C#CCNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,1,6.82,2011.0,ChEMBL
C(#Cc1n[nH]c2ccccc12)c1ccncc1,0,4.92,2010.0,ChEMBL
C(#Cc1n[nH]c2ncccc12)c1ccncc1,0,4.72,2010.0,ChEMBL
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1,6.28,,ChEMBL
C/C(=N\NC(=O)c1cccc(Br)c1)N1CCOCC1,1,6.02,2021.0,ChEMBL
C/C(=N\NC(=O)c1cccc(Br)c1)c1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,1,6.52,2021.0,ChEMBL
C/C(=N\NC(=O)c1cccc(Br)c1)c1ccc(C(=O)O)cc1,1,6.16,2021.0,ChEMBL
C/C(=N\NC(=O)c1cccc(F)c1)N1CCOCC1,0,4.36,2021.0,ChEMBL
C/C(=N\NC(=O)c1cccc(F)c1)c1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,1,6.08,2021.0,ChEMBL
C/C(=N\NC(=O)c1cccc(I)c1)c1ccc(C(=O)O)cc1,1,6.09,2021.0,ChEMBL
C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,1,7.83,,ChEMBL
C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1,0,4.58,,ChEMBL
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,1,7.28,,ChEMBL
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6ccc(N)nc6)cc5c43)cc21,1,7.01,2018.0,ChEMBL
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6ccc(N7CCN(C)CC7)cc6)cc5c43)cc21,1,6.29,2018.0,ChEMBL
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6ccc(S(=O)(=O)NC(C)(C)C)cc6)cc5c43)cc21,1,6.27,2018.0,ChEMBL
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6cn[nH]c6)cc5c43)cc21,1,6.68,2018.0,ChEMBL
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc21,1,7.23,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(N)nc5)cc4c32)ccc1C,1,7.77,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(NS(C)(=O)=O)cc5)cc4c32)ccc1C,1,6.49,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc6c(c5)OCCO6)cc4c32)ccc1C,1,6.19,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccccc5)cc4c32)ccc1C,1,6.68,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cccnc5)cc4c32)ccc1C,1,9.0,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccsc5)cc4c32)ccc1C,1,6.43,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cn[nH]c5)cc4c32)ccc1C,1,7.66,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)ccc1C,1,7.5,2018.0,ChEMBL
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cnn(C)c5)cc4c32)ccc1C,1,6.76,2018.0,ChEMBL
C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)cc1,1,6.64,2019.0,ChEMBL
C=CC(=O)Nc1cccc(-n2c(=O)ccc3cnc4ccc(-c5ccc(N)nc5)cc4c32)c1,1,7.72,2018.0,ChEMBL
C=CC(=O)Nc1cccc(-n2c(=O)ccc3cnc4ccc(-c5cn[nH]c5)cc4c32)c1,1,7.39,2018.0,ChEMBL
C=CCN(C)C(=O)c1cc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)ccc1F,1,6.47,2015.0,ChEMBL
C=CCN(C)C(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,1,6.25,2015.0,ChEMBL
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2/C(=N/N=C2\CC[C@@]4(O)C6Cc7ccc(O)c8c7[C@@]4(CCN6CC=C)[C@@H]2O8)CC[C@@]3(O)C1C5,0,4.58,,ChEMBL
C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1,0,4.605,,ChEMBL
C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,0,4.73,,ChEMBL
C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,0,4.63,,ChEMBL
C=CCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0,4.855,,ChEMBL
C=CCNc1ncnc2ccc(Br)cc12,0,4.63,,ChEMBL
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)O)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,8.73,2004.0,ChEMBL
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)OC)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,8.84,2004.0,ChEMBL
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,8.76,2004.0,ChEMBL
C=CCc1ccccc1OCC(O)CN[C@]1(C)CCC[C@H](C(C)(C)NC(=O)CBr)C1,0,4.654999999999999,,ChEMBL
C=Cc1cnc(Nc2cnc(Cl)c(NS(C)(=O)=O)c2)c(-c2cc(N)nc(C)n2)c1,1,6.58,2014.0,ChEMBL
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0,4.779999999999999,,ChEMBL
CC(=O)/C=C1\C(=O)N(C)c2ccccc21,0,4.605,,ChEMBL
CC(=O)N(C)Cc1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,1,7.3,2010.0,ChEMBL
CC(=O)N(C)Cc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1,1,6.25,2015.0,ChEMBL
CC(=O)N(C)Cc1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,1,6.72,2015.0,ChEMBL
CC(=O)N(C)Cc1sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2c1C,1,7.52,2010.0,ChEMBL
CC(=O)N(C)c1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cc1,1,6.32,2009.0,ChEMBL
CC(=O)N1CC2(C1)C(=O)N(c1ccc3oc(N)nc3c1)c1c(N)ncnc12,1,6.64,2022.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(-c6cnn(C)c6)nc5)cc4c32)C1,1,6.26,2018.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(C)nc5)nc4c32)CC1,1,8.63,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1,1,8.76,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N)nc5)nc4c32)CC1,1,9.52,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(S(C)(=O)=O)cc5)nc4c32)CC1,1,7.45,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cccc(-n6cccn6)c5)nc4c32)CC1,1,8.32,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cccc6[nH]ncc56)nc4c32)CC1,1,8.84,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccnc6[nH]ncc56)nc4c32)CC1,1,8.33,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccnc6ncccc56)nc4c32)CC1,1,6.36,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,1,9.61,2014.0,ChEMBL
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnn(C)c5)nc4c32)CC1,1,8.11,2014.0,ChEMBL
CC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4cccc(O)c4)nc32)CC1,1,7.31,2009.0,ChEMBL
CC(=O)N1CCCN(c2ncnc(C)c2C#Cc2ccc(N)nc2)CC1,1,7.03,2013.0,ChEMBL
CC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,1,8.27,2010.0,ChEMBL
CC(=O)N1CCN(c2ccc(Nc3c(C(N)=O)cnc4ccc(-c5cnc6ccccc6c5)cc34)cc2C(F)(F)F)CC1,1,7.51,2015.0,ChEMBL
CC(=O)N1CCN(c2ccc(Nc3c(NC(=O)C(C)(C)C)cnc4ccc(-c5cnc6ccccc6c5)cc34)cc2C(F)(F)F)CC1,1,7.44,2016.0,ChEMBL
CC(=O)N1CCN(c2cnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc3n2)CC1,1,8.5,2022.0,ChEMBL
