smiles,pka,year,basic_centre,says_acid,says_base
B.CP(c1ccccc1)c1ccc(O)cc1,8.83,2020.0,False,True,False
B.Oc1ccc(P(c2ccccc2)c2ccccc2)cc1,8.81,2020.0,False,True,False
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,7.0,2010.0,False,False,False
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(F)(F)P(=O)(O)O,7.0,2010.0,False,False,False
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,8.4,2010.0,False,False,False
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,7.0,2010.0,False,False,False
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,8.4,2010.0,False,False,False
Br.C(CCCCCCNC1=NCCN1)CCCCCNC1=NCCN1,13.5,2007.0,True,False,False
Br.Cc1ccc(-c2nn(CCCCCCCCCCCCn3nc(-c4ccc(C)cc4)sc3=N)c(=N)s2)cc1,8.1,2007.0,False,False,False
Br.N=c1c2ccccc2ccn1CCCCCCCCCCCCn1ccc2ccccc2c1=N,11.1,2007.0,True,False,False
Br.N=c1cc2ccc3ccccc3c2nn1CCCCCCCCCCCCn1nc2c(ccc3ccccc32)cc1=N,11.7,2007.0,False,False,False
Br.N=c1ncc(-c2ccccc2)cn1CCCCCCCCCCCCn1cc(-c2ccccc2)cnc1=N,11.3,2007.0,False,False,False
Br.N=c1ncccn1CCCCCCCCCCCCn1cccnc1=N,11.7,2007.0,False,False,False
Br.N=c1sc(-c2cccc(Cl)c2)nn1CCCCCCCCCCCCn1nc(-c2cccc(Cl)c2)sc1=N,7.7,2007.0,False,False,False
Br.N=c1sc(-c2ccccc2)nn1CCCCCCCCCCCCn1nc(-c2ccccc2)sc1=N,8.0,2007.0,False,False,False
Br.N=c1sc(-c2cccs2)nn1CCCCCCCCCCCCn1nc(-c2cccs2)sc1=N,7.8,2007.0,False,False,False
Br.N=c1sccn1CCCCCCCCCCCCn1ccsc1=N,10.1,2007.0,False,False,False
Br.NCCC(=O)NCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,6.91,1977.0,True,False,False
Br.Oc1noc2c1CNCC2,4.3,1986.0,True,False,False
Br.c1ncc(CN2CCCNCCNCCCNCC2)nc1CN1CCCNCCNCCCNCC1,5.25,1996.0,True,False,False
BrC1NC=CN1,3.79,1993.0,True,False,False
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,6.21,2006.0,False,False,False
Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,7.46,1993.0,True,False,False
Brc1ccc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cc1,3.25,2015.0,False,False,False
Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,11.0,1980.0,True,False,False
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1.Cl,7.0,1978.0,True,False,True
Brc1ccc(Cc2nn[nH]n2)cc1,4.62,2011.0,False,False,False
Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,11.2,1980.0,True,False,False
Brc1ccc(N2CCc3ccccc3C2)nc1,3.0,2003.0,True,False,False
Brc1ccc(N=C2NCCN2)cc1,9.65,1976.0,True,False,False
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.0,1981.0,True,False,False
