smiles,pka,year
Br.C(CCCCCCNC1=NCCN1)CCCCCNC1=NCCN1,13.5,2007.0
Br.N=c1c2ccccc2ccn1CCCCCCCCCCCCn1ccc2ccccc2c1=N,11.1,2007.0
Br.NCCC(=O)NCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,6.91,1977.0
Br.Oc1noc2c1CNCC2,4.3,1986.0
Br.c1ncc(CN2CCCNCCNCCCNCC2)nc1CN1CCCNCCNCCCNCC1,5.25,1996.0
BrC1NC=CN1,3.79,1993.0
Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,7.46,1993.0
Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,11.0,1980.0
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1.Cl,7.0,1978.0
Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,11.2,1980.0
Brc1ccc(N2CCc3ccccc3C2)nc1,3.0,2003.0
Brc1ccc(N=C2NCCN2)cc1,9.65,1976.0
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.0,1981.0
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,6.95,2015.0
Brc1ccc2ncccc2c1,3.91,1989.0
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,11.2,1980.0
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,11.3,1980.0
Brc1cccc(Br)c1N(CC1CC1)C1=NCCCN1,12.4,1980.0
Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,10.88,1980.0
Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,10.9,1980.0
Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,10.9,1980.0
Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,11.2,1980.0
Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,10.4,1980.0
Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,10.5,1980.0
Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,10.51,1980.0
