name,smiles,bbb_status,MW,LogP,TPSA,source,split
Sitagliptin,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0,407.32,2.02,77.04,FDA_Curated_KS,test
Metformin,CN(C)C(=N)NC(=N)N,0,129.17,-1.03,88.99,FDA_Curated_KS,train
Diclofenac,O=C(O)Cc1c(Cl)cccc1Nc1ccccc1Cl,0,296.15,4.36,49.33,FDA_Curated_KS,train
Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,0,230.26,3.04,46.53,FDA_Curated_KS,train
Spironolactone,CC(=O)SC1CCC2(C)C(CCC3C2CCC2(C)C3CCC2(O)C(C)=O)C1,0,392.61,5,54.37,FDA_Curated_KS,train
Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,0,435.53,4.16,112.07,FDA_Curated_KS,test
Ramipril,CCOC(=O)C(CCC1CCCCC1)NC(C)C(=O)N1CCCC1C(=O)O,0,382.5,2.33,95.94,FDA_Curated_KS,test
Enalapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0,376.45,1.6,95.94,FDA_Curated_KS,train
Lisinopril,NCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0,391.47,0.85,132.96,FDA_Curated_KS,train
Nadolol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0,309.41,0.63,81.95,FDA_Curated_KS,train
Glipizide,CC(=O)NC1CCN(CCNC(=O)NC(=O)c2ccc(C)cc2)CC1,0,346.43,1.03,90.54,FDA_Curated_KS,test
Sumatriptan,CNS(=O)(=O)Cc1ccc2c(CCN(C)C)c[nH]c2c1,1,295.41,1.32,65.2,FDA_Curated_KS,train
Oxycodone,COc1ccc2c(c1)OC1C(=O)CC3CN(C)CCC3(O)C21,1,303.36,1.2,59,FDA_Curated_KS,test
Tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1,1,263.38,2.63,32.7,FDA_Curated_KS,train
Codeine,COc1ccc2c3c1C1CC(O)C4C2C1(CCN4C)O3,1,273.33,1.48,41.93,FDA_Curated_KS,test
Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,1,285.34,1.2,52.93,FDA_Curated_KS,train
Topiramate,CC1(C)OC2C3OC(CN)C(C)(C)OC3COC2(COS(N)(=O)=O)O1,1,382.44,-1.03,141.56,FDA_Curated_KS,test
Lamotrigine,Nc1nnc(N)c2ncccc12,1,161.17,0.19,90.71,FDA_Curated_KS,test
Pregabalin,CC(C)CC(CN)CC(=O)O,1,159.23,1.08,63.32,FDA_Curated_KS,train
Eszopiclone,CC(c1ccccn1)N1C(c2ccc(Cl)cn2)=NC2C(=O)N(C)C(=O)N=C21,1,382.81,2.31,91.12,FDA_Curated_KS,test
Zolpidem,Cc1ccc(-c2c(CC(=O)N(C)C)c(C)nc3ccccc23)cc1,1,318.42,4.15,33.2,FDA_Curated_KS,test
Modafinil,NC(=O)C(c1ccccc1)S(=O)c1ccccc1,1,259.33,2.02,60.16,FDA_Curated_KS,test
Lorazepam,CN1C(=O)C(=O)Nc2c(Cl)cc(Cl)cc2C1O,1,275.09,1.39,69.64,FDA_Curated_KS,test
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1,326.83,3.72,30.87,FDA_Curated_KS,test
Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,0,369.37,3.52,67.87,FDA_Curated_KS,train
Donepezil,COc1cc2c(cc1OC)CC(CCN1CCc3ccccc31)C2,1,323.44,3.87,21.7,FDA_Curated_KS,test
Memantine,CC1(C)C2CCC1(N)CC2,1,139.24,1.91,26.02,FDA_Curated_KS,test
Rivastigmine,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1,1,250.34,2.76,32.78,FDA_Curated_KS,train
Galantamine,COc1cc2c(cc1OC)C13C=CC(O)CC1C(C2)N(C)CC3,1,315.41,2.14,41.93,FDA_Curated_KS,test
Levodopa,NC(Cc1ccc(O)c(O)c1)C(=O)O,1,197.19,0.05,103.78,FDA_Curated_KS,train
Pramipexole,CCCNC1CCc2nc(N)nc(N)c2C1,1,221.31,0.5,89.85,FDA_Curated_KS,test
Ropinirole,CCCN(CCC)CCc1cccc2ccc(=O)[nH]c12,1,272.39,3.19,36.1,FDA_Curated_KS,test
Selegiline,C#CCN(C)C(C)Cc1ccccc1,1,187.29,2.18,3.24,FDA_Curated_KS,train
Omeprazole,COc1ccc2nc(CS(=O)c3ncc(C)c(OC)c3C)[nH]c2c1,0,345.42,2.9,77.1,FDA_Curated_KS,test
Sertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,1,306.24,5.18,12.03,FDA_Curated_KS,train
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1,312.44,3.44,30.87,FDA_Curated_KS,test
Risperidone,CC1=C(CCN2CCC(c3noc4cc(F)ccc34)CC2)C(=O)N2CCCCC12,1,397.49,4.25,49.58,FDA_Curated_KS,test
Alendronate,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0,249.1,-1.27,161.31,FDA_Curated_KS,train
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0,308.33,3.61,67.51,FDA_Curated_KS,test
Cephalexin,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0,349.41,0.32,112.73,FDA_Curated_KS,train
Amoxicillin,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0,365.41,0.02,132.96,FDA_Curated_KS,train
Famotidine,N=C(N)Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,0,337.46,-0.37,173.33,FDA_Curated_KS,train
Paroxetine,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,1,329.37,3.33,39.72,FDA_Curated_KS,train
Vincristine,CCC1(C(=O)OC)CC2CC(C(=O)OC)c3[nH]c4ccccc4c3CCN(C2)C1,0,398.5,3.26,71.63,Literature,test
Doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)C3,0,384.34,0.27,141.36,Literature,test
Promethazine,CN(C)CC1c2ccccc2Sc2ccccc21,1,255.39,3.84,3.24,Literature,train
Antipyrine,Cc1cc(=O)n(C)n1C,1,126.16,0.03,26.93,Literature,test
Penicillin_G,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0,334.4,0.86,86.71,Literature,train
Ganciclovir,Nc1nc2c(ncn2COCCCO)c(=O)[nH]1,0,239.23,-0.94,119.05,Literature,train
Diazoxide,Cc1cc(Cl)c(Cl)cc1S(=O)(=O)NCN1CCNC1=O,1,338.22,1.56,78.51,Literature,test
Nicotine,CN1CCCC1c1cccnc1,1,162.24,1.85,16.13,Literature,train
Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NCC2,1,339.8,4.37,30.18,Literature,test
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,1,213.66,1.86,63.32,Literature,train
oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,1,252.27,2.64,63.4,MoleculeNet_BBBP,train
pancopride,Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl,1,349.86,2.54,67.59,MoleculeNet_BBBP,test
panamesine,COc1ccc(N2C[C@H](CN3CCC(O)(c4ccc5c(c4)OCO5)CC3)OC2=O)cc1,1,426.47,2.73,80.7,MoleculeNet_BBBP,test
pagoclone,CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,1,407.9,5.38,63.16,MoleculeNet_BBBP,test
oxitriptyline,CN(C)C(=O)COC1c2ccccc2CCc2ccccc21,1,295.38,2.98,29.54,MoleculeNet_BBBP,train
oxisopred,COC(=O)[C@@]1(O)CC[C@H]2C3CCC(=O)C4C(=O)C=CC4(C)[C@H]3C(O)CC21C,1,376.45,1.43,100.9,MoleculeNet_BBBP,test
oxiracetam,NC(=O)CN1CC(O)CC1=O,1,158.16,-1.94,83.63,MoleculeNet_BBBP,train
oxifentorex,CC(Cc1ccccc1)[N+](C)([O-])Cc1ccccc1,1,255.36,3.76,23.06,MoleculeNet_BBBP,test
oxaflozane,CC(C)N1CCOC(c2ccc(C(F)(F)F)cc2)C1,1,273.3,3.49,12.47,MoleculeNet_BBBP,train
noxiptiline,CN(C)CCON=C1c2ccccc2CCc2ccccc21,1,294.4,3.12,24.83,MoleculeNet_BBBP,test
octamoxin,CCCCCCC(C)NN,1,144.26,1.81,38.05,MoleculeNet_BBBP,train
ocinaplon,O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12,1,301.31,2.42,73.04,MoleculeNet_BBBP,test
ocaperidone,Cc1nc2c(C)cccn2c(=O)c1CCN1CCC(c2noc3cc(F)ccc23)CC1,1,420.49,4.01,63.64,MoleculeNet_BBBP,test
panuramine,O=C(NC(=O)c1ccccc1)NC1CCN(Cc2ccc3ccccc3c2)CC1,1,387.48,3.94,61.44,MoleculeNet_BBBP,test
noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,1,413.43,2.88,75.69,MoleculeNet_BBBP,test
nortetrazepam,O=C1CN=C(C2=CCCCC2)c2cc(Cl)ccc2N1,1,274.75,3.58,41.46,MoleculeNet_BBBP,train
normorphine,Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,1,271.32,0.86,61.72,MoleculeNet_BBBP,train
norflurane,FCC(F)(F)F,1,102.03,1.52,0,MoleculeNet_BBBP,train
paraldehyde,CC1OC(C)OC(C)O1,1,132.16,1.09,27.69,MoleculeNet_BBBP,test
pentabamate,CC(OC(N)=O)C(C)C(C)OC(N)=O,1,204.23,0.59,104.64,MoleculeNet_BBBP,train
pargyline,C#CCN(C)Cc1ccccc1,1,159.23,1.75,3.24,MoleculeNet_BBBP,train
piperilate(pipethanate),O=C(OCCN1CCCCC1)C(O)(c1ccccc1)c1ccccc1,1,339.44,2.95,49.77,MoleculeNet_BBBP,test
pipequaline,c1ccc(-c2cc(CCC3CCNCC3)c3ccccc3n2)cc1,1,316.45,4.83,24.92,MoleculeNet_BBBP,test
picenadol,CCC[C@]1(c2cccc(O)c2)CCN(C)C[C@@H]1C,1,247.38,3.4,23.47,MoleculeNet_BBBP,train
piberaline,O=C(c1ccccn1)N1CCN(Cc2ccccc2)CC1,1,281.36,2.04,36.44,MoleculeNet_BBBP,test
phetharbital,CCC1(CC)C(=O)NC(=O)N(c2ccccc2)C1=O,1,260.29,2.08,66.48,MoleculeNet_BBBP,test
phenyl-salicylate,O=C([O-])c1ccccc1Oc1ccccc1,1,213.21,1.84,49.36,MoleculeNet_BBBP,test
phensuximide,CN1C(=O)CC(c2ccccc2)C1=O,1,189.21,1.16,37.38,MoleculeNet_BBBP,train
phenoxypropazine(fenoxypropazine),CC(COc1ccccc1)NN,1,166.22,0.92,47.28,MoleculeNet_BBBP,train
phenmetrazine,CC1NCCOC1c1ccccc1,1,177.25,1.74,21.26,MoleculeNet_BBBP,train
pheneturide,CCC(C(=O)NC(N)=O)c1ccccc1,1,206.25,1.38,72.19,MoleculeNet_BBBP,train
phenazocine,CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1,1,321.46,4.16,23.47,MoleculeNet_BBBP,test
phenacemide,NC(=O)NC(=O)Cc1ccccc1,1,178.19,0.42,72.19,MoleculeNet_BBBP,train
perospirone,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,1,426.59,3.37,56.75,MoleculeNet_BBBP,test
pentiapine,CN1CCN(C2=Nc3ccccc3Sc3nccn32)CC1,1,299.4,2.13,36.66,MoleculeNet_BBBP,test
penthrichloral,OCC1(CO)COC(C(Cl)(Cl)Cl)OC1,1,265.52,0.7,58.92,MoleculeNet_BBBP,test
nonapyrimine,CCCCCCCCCNc1ncnc2[nH]ccc12,1,260.39,4.12,53.6,MoleculeNet_BBBP,test
penfluridol,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,523.97,7.53,23.47,MoleculeNet_BBBP,test
paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1,329.37,3.33,39.72,MoleculeNet_BBBP,train
paramethasone-acetate,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,434.5,2.32,100.9,MoleculeNet_BBBP,train
nomifensine,CN1Cc2c(N)cccc2C(c2ccccc2)C1,1,238.33,2.85,29.26,MoleculeNet_BBBP,train
nikethamide,CCN(CC)C(=O)c1cccnc1,1,178.24,1.56,33.2,MoleculeNet_BBBP,train
nivazol(nivacortol),C#C[C@]1(O)CC[C@H]2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C,1,430.57,5.56,38.05,MoleculeNet_BBBP,test
monometacrine,CNCCCN1c2ccccc2C(C)(C)c2ccccc21,1,280.42,4.07,15.27,MoleculeNet_BBBP,train
mometasone(mometasone-furoate),C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,1,427.37,3.41,74.6,MoleculeNet_BBBP,train
mirisetron,CN1[C@@H]2CC[C@H]1CC(NC(=O)c1cn(C3CCCCC3)c3ccccc3c1=O)C2,1,393.53,3.86,54.34,MoleculeNet_BBBP,val
minaxolone,CCO[C@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2[C@H](N(C)C)C[C@]2(C)[C@@H](C(C)=O)CC[C@@H]32)C[C@@H]1O,1,405.62,4.15,49.77,MoleculeNet_BBBP,train
minaprine,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,1,298.39,2.2,50.28,MoleculeNet_BBBP,train
milameline,CO/N=C/C1=CCCN(C)C1,1,154.21,0.88,24.83,MoleculeNet_BBBP,train
milacemide,CCCCCNCC(N)=O,1,144.22,0.25,55.12,MoleculeNet_BBBP,train
mezilamine,CNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1,1,287.82,1.65,44.29,MoleculeNet_BBBP,train
mevastatin,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,1,390.52,3.95,72.83,MoleculeNet_BBBP,train
metoxepin,COc1ccc2c(c1)C(N1CCN(C)CC1)=Cc1ccccc1O2,1,322.41,3.55,24.94,MoleculeNet_BBBP,val
metoserpate,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC)C1OC,1,428.53,2.93,73.02,MoleculeNet_BBBP,train
metopon,CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@H]3[C@H]1C5,1,299.37,2.02,49.77,MoleculeNet_BBBP,train
metofenazate,COc1cc(C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)cc(OC)c1OC,1,598.17,5.83,63.71,MoleculeNet_BBBP,val
