inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
NGVDGCNFYWLIFO-UHFFFAOYSA-N,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,DrugBank,DB00114,evaluation,False,247.14,0.517,116.95,3,5,4,1,0.25,0.524
MSTNYGQPCMXVAQ-KIYNQFGBSA-N,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,DrugBank,DB00116,evaluation,False,445.44,-0.282,211.56,8,9,9,2,0.316,0.251
HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](Cc1c[nH]cn1)C(=O)O,DrugBank,DB00117,evaluation,False,155.16,-0.636,92.0,3,3,3,1,0.333,0.541
MEFKEPWMEQBLKI-AIRLBKTGSA-N,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,DrugBank,DB00118,evaluation,False,398.45,-3.257,185.46,4,10,7,2,0.6,0.345
LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(=O)O,DrugBank,DB00119,evaluation,False,88.06,-0.34,54.37,1,2,1,0,0.333,0.446
COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](Cc1ccccc1)C(=O)O,DrugBank,DB00120,evaluation,False,165.19,0.641,63.32,2,2,3,1,0.222,0.69
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,DrugBank,DB00121,evaluation,False,244.32,0.797,78.43,3,3,5,0,0.8,0.493
OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO,DrugBank,DB00122,evaluation,False,104.17,-0.315,20.23,1,1,2,0,1.0,0.476
KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(=O)O,DrugBank,DB00123,evaluation,False,146.19,-0.473,89.34,3,3,5,0,0.833,0.457
ODKSFYDXXFIFQN-BYPYZUCNSA-N,N=C(N)NCCC[C@H](N)C(=O)O,DrugBank,DB00125,evaluation,False,174.2,-1.338,125.22,5,3,5,0,0.667,0.2
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,DrugBank,DB00126,evaluation,False,176.12,-1.407,107.22,4,6,2,0,0.5,0.385
PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN,DrugBank,DB00127,evaluation,False,202.35,-0.357,76.1,4,4,11,0,1.0,0.345
