inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
GXLVKSWWJRJBMC-VVSTWUKXSA-N,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(OCCN5CCOCC5)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0074467.1,coverage,True,723.68,-1.682,270.9,9,18,10,3,0.545,0.106
IYVFNTXFRYQLRP-VVSTWUKXSA-N,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0150586.1,coverage,True,742.68,-2.691,297.12,10,19,15,3,0.545,0.076
IKGXIBQEEMLURG-NVPNHPEKSA-N,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0268715.1,coverage,True,610.52,-1.687,269.43,10,16,6,3,0.444,0.14
GZSOSUNBTXMUFQ-YFAPSIMESA-N,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,COCONUT,CNP0188525.1,coverage,True,608.55,-1.09,238.2,8,15,7,3,0.464,0.159
MBHXKZDTQCSVPM-BDAFLREQSA-N,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0290080.1,coverage,True,654.57,-2.022,278.66,10,17,9,3,0.483,0.111
XYFLWVOTXWXNAM-WTNNCJBMSA-N,COc1ccc(-c2cc(=O)c3c(OCCO)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,COCONUT,CNP0074768.1,coverage,True,652.6,-1.424,247.43,8,16,10,3,0.5,0.125
QUQPHWDTPGMPEX-QJBIFVCTSA-N,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,COCONUT,CNP0140888.1,coverage,True,610.57,-1.157,234.29,8,15,7,2,0.536,0.185
DWZAJFZEYZIHPO-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1,COCONUT,CNP0224273.0,coverage,True,344.32,2.897,98.36,2,7,4,3,0.167,0.751
DANYIYRPLHHOCZ-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COCONUT,CNP0248340.0,coverage,True,284.27,2.88,79.9,2,5,2,3,0.062,0.756
MBNGWHIJMBWFHU-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,COCONUT,CNP0246782.0,coverage,True,300.27,2.585,100.13,3,6,2,3,0.062,0.672
DRRWBCNQOKKKOL-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,COCONUT,CNP0156199.0,coverage,True,344.32,2.897,98.36,2,7,4,3,0.167,0.751
GLAAQZFBFGEBPS-UHFFFAOYSA-N,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O,COCONUT,CNP0257120.0,coverage,True,330.29,2.594,109.36,3,7,3,3,0.118,0.677
YUSWMAULDXZHPY-UHFFFAOYSA-N,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,COCONUT,CNP0311925.0,coverage,True,538.46,5.134,181.8,6,10,3,6,0.0,0.177
BORWSEZUWHQTOK-UHFFFAOYSA-N,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,COCONUT,CNP0211621.0,coverage,True,538.46,5.134,181.8,6,10,3,6,0.0,0.177
HHGPYJLEJGNWJA-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,COCONUT,CNP0324505.0,coverage,True,358.35,3.2,87.36,1,7,5,3,0.211,0.749
KQFUXLQBMQGNRT-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(OC)c3)oc2c1,COCONUT,CNP0392086.0,coverage,True,344.32,2.897,98.36,2,7,4,3,0.167,0.751
LLSDPOXYUGFOKC-UHFFFAOYSA-N,COc1cc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)ccc1Oc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC,COCONUT,CNP0080286.0,coverage,True,642.57,5.883,187.49,4,13,8,6,0.118,0.144
PUPKKEQDLNREIM-QNSQPKOQSA-N,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0219489.1,coverage,True,578.52,-0.716,228.97,8,14,5,3,0.444,0.187
SGEWCQFRYRRZDC-VPRICQMDSA-N,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,COCONUT,CNP0190943.1,coverage,True,432.38,0.092,181.05,7,10,3,3,0.286,0.3
