inchikey,canonical_smiles,name,BBB_label,BBB_pchembl,AChE_label,AChE_pchembl,BChE_label,BChE_pchembl,BACE1_label,BACE1_pchembl,GSK3B_label,GSK3B_pchembl,MAO_A_label,MAO_A_pchembl,MAO_B_label,MAO_B_pchembl,D2_label,D2_pchembl,A2A_label,A2A_pchembl,HT2A_label,HT2A_pchembl,SERT_label,SERT_pchembl,hERG_label,hERG_pchembl,antioxidant_pIC50,n_endpoints_measured,role,sources,clinical_max_phase,atc,disease,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AAADQEFQWNJHOZ-UHFFFAOYSA-N,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,,,,,,,,,,,,,,,,,,,,,,1.0,7.155,,,,1,training_label,ChEMBL_37,,,,False,302.74,2.748,35.83,1,3,1,2,0.188,0.879
AAAGFCUDAXPDAA-CIQZPUONSA-N,COC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)C1=O,,,,,,,,1.0,6.36,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,519.59,2.035,100.13,3,6,13,2,0.481,0.375
AAAQFGUYHFJNHI-SFHVURJKSA-N,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,,,,,,,,,,,,0.0,4.6,,,,,,,0.0,4.2,0.0,4.2,,3,training_label,ChEMBL_37,,,,False,423.9,3.656,81.4,1,5,5,3,0.273,0.679
AAAWKNFGNGANRE-UKILVPOCSA-N,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)NS(=O)(=O)CCC2,,,,,,,,1.0,6.31,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,510.66,2.803,112.46,4,5,9,3,0.444,0.354
AABBLHFMQYNECK-NRFANRHFSA-N,Cc1c([C@@H](O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.69,,1,training_label,ChEMBL_37,,,,False,499.59,2.016,117.11,1,8,5,2,0.48,0.621
AABKQBNCAREVSD-UHFFFAOYSA-N,Cc1ccc(C2=C(O)COC2=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,1,training_label,ChEMBL_DPPH,,,,False,190.2,1.821,46.53,1,3,1,1,0.182,0.687
AABLHGPVOULICI-BRJGLHKUSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,303.36,0.537,73.16,3,5,0,1,0.647,0.652
AABLHGPVOULICI-GYRMQKGHSA-N,CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@@]3(O)[C@H]1C5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,303.36,0.537,73.16,3,5,0,1,0.647,0.652
AABLHGPVOULICI-UHFFFAOYSA-N,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,303.36,0.537,73.16,3,5,0,1,0.647,0.652
AABLHGPVOULICI-XFHACQAXSA-N,CN1CCC23c4c5ccc(O)c4O[C@@H]2[C@@H](O)CCC3(O)C1C5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,303.36,0.537,73.16,3,5,0,1,0.647,0.652
AABLHGPVOULICI-XYFLEOOXSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@]3(O)[C@H]1C5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,303.36,0.537,73.16,3,5,0,1,0.647,0.652
AABPPUNQWOHVKN-LLVKDONJSA-N,CC(=O)N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,,,,,,,,,,1.0,7.31,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,328.38,0.294,84.22,0,6,2,2,0.438,0.788
AACMMDHVLIZMQB-UHFFFAOYSA-N,CN1CCC(n2cc(C(=O)Nc3cc4cc(-c5cn(C)nn5)ccc4cn3)cn2)CC1,,,,,,,,,,1.0,6.49,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,416.49,2.746,93.76,1,6,4,4,0.318,0.55
AACQHDBMMHNOQT-KXJQYHRCSA-N,COc1cc(/C=N/N=c2\[nH]ncc3ccccc23)cc(-c2cc(/C=N/N=c3/[nH]ncc4ccccc34)cc(OC)c2O)c1O,,,,,,,,,,,,,,,,,,,,,,,,,,5.013,1,training_label,ChEMBL_DPPH,,,,False,586.61,4.404,165.72,4,10,7,6,0.062,0.16
AACUJFVOHGRMTR-DPXNYUHVSA-N,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,,,,,,,,1.0,7.57,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,437.45,3.097,102.49,2,7,4,2,0.368,0.762
AACVKVMUDUPMQI-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccc2c(c1)OCO2,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,384.44,4.78,51.13,0,4,3,3,0.167,0.653
AACWUFIIMOHGSO-UHFFFAOYSA-N,Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,,,,,,,,,,,,,,,,,,1.0,8.68,,,,,1.0,6.19,,2,training_label,ChEMBL_37,,,,False,368.44,2.738,89.08,1,6,6,3,0.368,0.72
AADCDMQTJNYOSS-LBPRGKRZSA-N,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,,,,,,,,,,,,,,,,1.0,9.93,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,340.85,2.831,61.8,2,4,6,1,0.588,0.836
