smiles,pchembl
Br.CS(=O)(=O)Nc1c(O)ccc2c1CCCC2C1=NCCN1,7.175000000000001
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1,6.5
Brc1c(NC2=NCCN2)ccc2c1NCCN2,8.370000000000001
Brc1c(NC2=NCCN2)ccc2nccnc12,8.48
Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)C(O)C(O)C(=O)O,7.744999999999999
Brc1c(Nc2ncc[nH]2)ccc2nccnc12,6.29
Brc1ccc2c(c1)C(c1c[nH]cn1)CCO2,6.35
Brc1ccc2c(c1)OCCC2c1c[nH]cn1,6.78
Brc1cccc2c1OCC=C2c1c[nH]cn1,9.11
Brc1cccc2c1OCCC2c1c[nH]cn1,9.64
Brc1ccccc1Nc1ncc[nH]1,6.68
Brc1ccccc1OCC1=NCCN1,7.02
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.35
C(=C/c1ccccc1)\CN1CCN(CC2ON=C3c4ccccc4OCC32)CC1,9.05
C(=C/c1ccccc1)\CN1CCN(C[C@@H]2ON=C3c4ccccc4NC[C@H]32)CC1,7.7
C(=C/c1ccccc1)\CN1CCN(C[C@@H]2ON=C3c4ccccc4OC[C@H]32)CC1,9.05
C(=C/c1ccccc1)\C[C@H]1C2CCC(C2)[C@H]1NC1=NCCO1,7.475
C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(O)cc4OC[C@H]32)CC1,9.7
C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C(C)(C)C)cc4OC[C@H]32)CC1,8.33
C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C5CC5)cc4OC[C@H]32)CC1,9.05
C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)c5ccncc5)cc4OC[C@H]32)CC1,9.0
C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC5CCCC5)cc4OC[C@H]32)CC1,8.89
C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OCCN(C)C)cc4OC[C@H]32)CC1,10.0
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(I)cc14,6.13
C1=C(c2c[nH]cn2)c2ccsc2CC1,6.59
C1=C(c2c[nH]cn2)c2sccc2CC1,6.65
C1=C(c2ccc3c(c2)CC3)CNCC1,7.92
C1=C[C@@H]2C(=NO[C@H]2CN2CCN(C/C=C/c3ccccc3)CC2)c2ccccc21,7.37
C1=NCC(CC2=Cc3ccccc3CC2)N1,7.0
C1=NCC(CC2Cc3ccccc3C2)N1,8.4
C1=NCC(Cc2cc3ccccc3o2)N1,7.7
C1=NCC2(CCc3ccccc3C2)N1,7.47
C1=NC[C@@H](C2C[C@@]23CCc2ccccc2C3)N1,8.5
C1=NC[C@H](C[C@]23CCc4ccccc4C2C3)N1,7.2
C1=NC[C@]2(CC[C@@H]3Cc4ccccc4C[C@H]3C2)N1,8.9
C1CCCC(NC2=NCCO2)CC1,7.845
C1COC(NC(C2CC2)C2CC2)=N1,6.539999999999999
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)CC3)CC1,6.06
C=C(C)c1ccccc1OC(C)C1=NCCN1,7.14
C=C1CCN2Cc3ccc(OC)cc3[C@H]3CCCC[C@]32C1,6.28
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,6.05
C=CC(=O)Oc1ccc2c(c1)OC[C@@H]1C2=NO[C@H]1CN1CCN(C/C(C)=C/c2ccccc2)CC1,9.05
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,7.08
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,6.71
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,7.09
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,6.93
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,6.67
C=CCN(CC=C)CCc1c[nH]c2ccccc12,6.91
C=CCN1CCc2nc(N)sc2CC1,6.545
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,6.34
C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,6.48
C=CCc1cccc(CC=C)c1OC(C)C1=NCCN1,7.78
C=CCc1ccccc1C(C)OC1=NCCN1,7.24
C=CCc1ccccc1OC(C)C1=NCCN1,7.24
C=CCc1ccccc1OCC1=NCCN1,6.9
C=CCc1ccccc1O[C@@H](C)C1=NCCN1,7.28
C=CCc1ccccc1O[C@H](C)C1=NCCN1,7.0
C=Cc1c(C)nn(CCCN2CCN(c3ccc(C)cc3)CC2)c(=O)c1N,6.5
C=Cc1sc2ccc(Cl)c3c2c1CN(C)CC3,7.62
CC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1,6.22
CC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc2c(c1)OCO2,6.02
CC(=O)N1C[C@@H]2C(=NO[C@H]2CN2CCN(CCC/C=C/c3ccccc3)CC2)c2ccccc21,7.33
CC(=O)Nc1ccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1,6.71
CC(=O)Nc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1,7.79
CC(=O)Nc1cccc2c1CCCC2c1c[nH]cn1,6.26
CC(=O)Oc1ccc2c(c1)OC[C@@H]1C2=NO[C@H]1CN1CCN(C/C(C)=C/c2ccccc2)CC1,9.4
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,6.38
CC(=O)c1ccccc1OC(C)C1=NCCN1,6.595000000000001
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,6.01
CC(C)(C)Nc1ncccc1C(=O)NCCN1CCCN(CC2COc3ccccc3O2)CC1,6.65
CC(C)(C)OC(=O)N1CCCC1CNC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,6.62
