smiles,pchembl
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,6.96
Br.CCN(CC)CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1cccc2ccccc12,8.2
C#CCCCNC[C@H](O)COc1ccccc1CC=C,7.91
C#CCCNC[C@H](O)COc1ccccc1CC=C,7.1
C#CCNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1,7.685
C/C=C/CNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1,7.385
C=C(C)CNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1,8.82
C=CCNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1,8.66
C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,6.09
C=CCOc1ccccc1OCC(O)CNC(C)C,8.33
C=CCc1ccc(OCCOc2ccc(/C=N/n3cnnc3)cc2OCC)c(OC)c1,6.23
C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)CCCC2=O)CC1,7.1
C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cc(O)cc(c34)C2=O)CC1,6.87
C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cc(OC)cc(c34)C2=O)CC1,7.11
C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CC1,7.1
C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3ccccc3C2=O)CC1,7.3
C=CCc1ccccc1OCC(O)CN1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)CC1,7.4
C=CCc1ccccc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1,6.82
C=CCc1ccccc1OCC(O)CN1CCOCC1,8.15
C=CCc1ccccc1OCC(O)CNC(C)C,8.94
C=CCc1ccccc1OCC(O)CNC1CCN(C)CC1,8.62
C=CCc1ccccc1OCC(O)CNC1CCN(c2ncnc3scc(-c4ccccc4)c23)CC1,8.22
C=CCc1ccccc1OCC(O)CNCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,8.715
C=CCc1ccccc1OCC(O)CNCCOCCOCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,9.06
C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCN,7.495
C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCNC(=O)C1C(C(=O)O)C(C(=O)O)C1C(=O)O,6.29
C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCNC(=O)CCCCCC1(C)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)O)cc21,6.279999999999999
C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCNC(=O)CS(=O)(=O)O,6.6
C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCNC(=O)OC(C)(C)C,8.295
C=CCc1ccccc1OC[C@@H](O)CNC(C)C,9.05
C=CCc1ccccc1OC[C@@H](O)CNCCCc1cn(CCCC)nn1,8.58
C=CCc1ccccc1OC[C@@H](O)CNCCCc1cn(CCCCc2ccc(OC)cc2)nn1,8.78
C=CCc1ccccc1OC[C@@H](O)CNCCCc1cn(CCCCc2ccc(OC[C@@H](O)CNC(C)C)cc2)nn1,9.19
C=CCc1ccccc1OC[C@@H](O)CNCCCc1cn(CCCCc2ccccc2)nn1,8.89
C=CCc1ccccc1OC[C@@H](O)CNCCCc1cn(CCCc2ccc(OC[C@@H](O)CNC(C)C)cc2)nn1,8.33
C=CCc1ccccc1OC[C@@H](O)CNCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,8.64
C=CCc1ccccc1OC[C@@H](O)CNCCOCCOCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,9.2
C=CCc1ccccc1OC[C@@H](O)CNCCc1cn(CCCCc2ccc(OC[C@@H](O)CNC(C)C)cc2)nn1,8.13
C=CCc1ccccc1OC[C@@H](O)CNCCc1cn(CCCc2ccc(OC[C@@H](O)CNC(C)C)cc2)nn1,8.0
C=CCc1ccccc1OC[C@H](O)CNC(C)C,7.74
C=CCn1c(CCNC(=O)c2cccs2)nnc1SCC(=O)c1ccc(Br)cc1,7.465
C=CCn1c(CCNC(=O)c2cccs2)nnc1SCC(=O)c1ccc(Cl)cc1,7.795
C=CCn1c(CCNC(=O)c2cccs2)nnc1SCC(=O)c1cccc([N+](=O)[O-])c1,6.88
C=CCn1c(SCc2ccc(F)cc2)nnc1-c1sc2nc(C)cc(C)c2c1N,7.54
C=CCn1c(SCc2ccccc2Cl)nnc1-c1sc2nc(C)cc(C)c2c1N,7.12
CB1C=Cc2c(cccc2OCC(O)CN(C)C)N1,7.0
CB1C=Cc2cccc(OCC(O)CN(C)C)c2N1,6.3
CC#CCNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1,7.75
CC(=O)N1CCc2cc(C(=O)CN3CCN(c4cccc(Cl)c4)CC3)ccc21,7.33
CC(=O)NCc1ccc(NC[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1,8.5
