smiles,pchembl
Brc1cccc(-c2c[nH]c(-c3cccc(CN4CCOCC4)c3)n2)c1,8.3
C#CCCC1(CCNC(=O)c2nonc2Cn2nc3nc(C(C)(C)C)nc(N4CCC(F)(F)C4)c3n2)N=N1,6.03
C#CCCC1(CCNC(=O)c2nonc2Cn2nnc3c(N4CC[C@H](O)C4)nc(C(C)(C)C)nc32)N=N1,6.7
C#CCCCC(=O)OCC(CO)OCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,7.07
C#CCCCn1c(C)c(C(=O)c2ccc3c(c2)CC(C)(C)C3)c2ccccc21,7.2
C#CCCCn1cc(C(=O)c2ccc3c(c2)CC(C)(C)C3)c2ccccc21,7.62
C#CCCn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)(C)C,7.82
C#CCNC(=O)CCC/C=C\C/C=C\C/C=C\[C@@H](C)/C=C\CCCCC,7.95
C#CCOc1nc(N2CCC(F)(F)C2)c2nnn(Cc3ccccc3Cl)c2n1,7.96
C#CCn1c(C)c(C(C)(C)C)s/c1=N\S(=O)(=O)c1ccccc1,6.68
C#CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(Br)ccc21,7.3
C#Cc1ccc2c(c1)c(=O)c(C(=O)NC13CC4CC(CC(C4)C1)C3)cn2CCCCC,8.06
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nc2nc(C(C)(C)C)nc(N3CCC(F)(F)C3)c2n1,7.09
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nc2nc(C(C)(C)C)nc(N3CC[C@H](O)C3)c2n1,7.0
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nc2nc(C(F)(F)c3ccccc3)nc(N3CC[C@H](O)C3)c2n1,6.45
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nnc2c(N3CCC(F)(F)C3)nc(C(C)(C)C)nc21,8.05
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nnc2c(N3CCC(F)(F)C3)nc(C(F)(F)c3ccccc3)nc21,7.51
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nnc2c(N3CC[C@H](O)C3)nc(C(C)(C)C)nc21,7.92
C#Cc1cccc(C2(C(F)(F)F)N=N2)c1Cn1nnc2c(N3CC[C@H](O)C3)nc(C(F)(F)c3ccccc3)nc21,7.24
C#Cc1cccc(S(=O)(=O)F)c1Cn1nc2nc(C(C)(C)C)nc(N3CCC(F)(F)C3)c2n1,6.38
C#Cc1cccc(S(=O)(=O)F)c1Cn1nnc2c(N3CCC(F)(F)C3)nc(C(C)(C)C)nc21,9.0
C#Cc1ccccc1Cn1nnc2c(N3CCC4(C3)N=N4)nc(C(C)(C)C)nc21,8.25
C#Cc1ccccc1Cn1nnc2c(N3CCC4(C3)N=N4)nc(C(F)(F)c3ccccc3)nc21,7.72
C/C(=C/CC[C@]1(C)[C@H]2C[C@@H]3[C@@H](C2)[C@]31C)CN1CCN(C)CC1,6.0
C/C(=N\Oc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1)C(F)(F)F,8.36
C/C(CN1CCC[C@H]1COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1)=N\O,7.07
C/C(COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1)=N\O,8.74
C/C(N)=N\C(=N\S(=O)(=O)N1CCCCC1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,7.37
