smiles,pchembl
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.6
C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,7.22
C#Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,6.85
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.41
C/C(=C1/SC(N=C(N)N)=NC1=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.23
C/C(=C\c1cc(O)cc(O)c1)c1ccc(C(F)(F)F)cc1,6.01
C/C=C/[S+]([O-])SC1SC(O)C(C)C1C,7.28
C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,6.22
C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(OC)c(C(=O)/C=C/c2ccc(O)cc2O)c1O,6.22
C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,6.92
C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,6.27
C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,6.85
CC(=O)Nc1c(C#N)cnn1-c1ccc(S(=O)(=O)NC(C)=O)cc1,6.06
CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,7.59
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,6.48
CC(=O)c1ccc(-c2ccsc2-c2ccc(F)cc2)cc1,6.12
CC(C(=O)Nc1c(C#N)cnn1-c1ccc(S(N)(=O)=O)cc1)N1CCOCC1,6.79
CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1O,7.29
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,7.8
CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,6.73
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,6.25
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1F,6.22
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,7.215
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,6.235
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,8.274999999999999
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1ccc(C(=O)c2cccs2)cc1,6.32
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1cccc(C(=O)c2ccccc2)c1,6.24
CC(C(=O)OCCO[N+](=O)[O-])c1ccc(C(=O)c2cccs2)cc1,6.24
CC(C(=O)OCCO[N+](=O)[O-])c1cccc(C(=O)c2ccccc2)c1,6.35
CC(C)(C)OC1Oc2ccccc2-c2nc(NN)ncc21,7.27
CC(C)(C)c1cc(-c2cccs2)cc2c1OCC2(C)C,6.7
CC(C)(C)c1cc(-c2cn3ccsc3n2)cc2c1OCC2(C)C,7.12
CC(C)(C)c1cc(-c2nnc(N)s2)cc(C(C)(C)C)c1O,6.28
CC(C)(C)c1cc(-c2nsc(O)n2)cc(C(C)(C)C)c1O,6.37
CC(C)(C)c1cc(/C=C2\CCOC2=O)cc2c1OCC2(C)C,7.35
CC(C)(C)c1cc(/C=C2\NC(=S)NC2=O)cc(C(C)(C)C)c1O,6.0
CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O,6.22
CC(C)(C)c1cc(/C=C2\SC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,6.6
CC(C)(C)c1cc(/C=C\c2cccs2)cc2c1OCC2(C)C,7.7
CC(C)(C)c1cc(C(=O)/C=C/CC2CC2)cc2c1OCC2(C)C,6.1
CC(C)(C)c1cc(C(=O)CSCC2CC2)cc2c1OCC2(C)C,6.19
CC(C)(C)c1cc(C(=O)NC2CC2)cc2c1OCC2(C)C,6.54
CC(C)(C)c1cc(C(=O)c2ccccc2)cc2c1OCC2(C)C,6.82
