smiles,pchembl
Br.C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1,8.3
Br.C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,8.26
Br.CCCN1C[C@H](c2ccc(O)cc2)C[C@@H]2c3cc(O)c(O)cc3CC[C@H]21,6.04
Br.CN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1,8.92
Br.CN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,9.05
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,8.54
Br.CN1CCc2ccccc2Cc2cc(O)c(O)cc2CC1,7.074999999999999
Br.CN1CCc2ccccc2Cc2ccc(O)cc2CC1,8.785
Br.Cc1cccc(-c2c(O)c(O)cc3c2CCN(C)CC3c2cccc(C)c2)c1,8.17
Br.Cc1cccc(-c2c(O)c(O)cc3c2CCNCC3c2ccccc2)c1,7.41
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3-c2ccc3ccccc3c2)c1,8.31
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1,8.93
Br.NCC1OCCc2c1ccc(O)c2O,6.31
Br.Oc1cc2c(c(-c3ccc(Cl)cc3)c1O)CCNCC2c1ccccc1,6.72
Br.Oc1cc2c(c(-c3ccc(F)cc3)c1O)CCNCC2c1ccccc1,6.38
Br.Oc1cc2c(c(-c3ccc4ccccc4c3)c1O)CCNCC2c1ccccc1,7.25
Br.Oc1cc2c(c(-c3ccccc3)c1O)CCNCC2c1ccccc1,6.46
Br.Oc1cc2c(c(Br)c1O)CCNCC2c1ccccc1,7.92
Br.Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1,8.15
Br.Oc1cc2c(cc1Br)CCNCC2c1ccccc1,8.39
Br.Oc1cc2c(cc1Cl)CCNCC2c1ccccc1,8.31
Br.Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,6.72
Br.Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,7.58
Br.Oc1cc2c(cc1O)[C@H]1c3ccccc3CC[C@@H]1NCC2,6.36
Br.Oc1cc2c(cc1O)[C@H]1c3ccccc3OC[C@@H]1NCC2,6.24
Br.Oc1cc2c(cc1O)[C@H]1c3ccccc3SC[C@@H]1NCC2,6.23
Br.Oc1ccc([C@H]2CN[C@@H]3CCc4cc(O)c(O)cc4[C@H]3C2)cc1,6.26
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,6.32
C#CCC1Cc2c(ccc(O)c2O)[C@H](CN)O1,7.17
C#CCN(C)C[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,7.42
C#CCNC[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,7.9
C#CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2,6.15
C#CCOc1c(OC)cc2c3c1-c1cc(NC(C)=O)ccc1CC3N(C)CC2,7.24
