smiles,pchembl
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,6.12
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,6.085
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,7.13
C/C=C/C(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,6.82
C1=C(N2CCNCC2)c2nccn2Cc2ccccc21,9.2
C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,6.01
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)C3)CC1,6.53
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)CC3)CC1,6.06
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(OC)cc(CCCCC)cc1OCCCCOc1cc(CCCCC)cc(OC)c1[C@@H]1C=C(C)CC[C@H]1C(=C)C,6.22
C=C(CN1CCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,7.5
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,7.0
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,6.17
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,7.0
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,7.1
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,6.03
C=CCN(CC=C)CCc1c[nH]c2ccccc12,6.9
CC(=O)Cc1cccc(Cc2ccccc2)c1OC1CCN(C)CC1,7.4
CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.0
CC(=O)N1CCOc2cc3c(cc21)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.0
CC(=O)NCc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2,8.6
CC(=O)NCc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,8.44
CC(=O)NCc1ccc2c(c1)c(C1CCN(CCN3CCNC3=O)CC1)cn2-c1ccc(F)cc1,7.19
CC(=O)Nc1ccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1,7.27
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,7.47
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,7.31
CC(=O)c1ccccc1OCC(O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.68
CC(C#Cc1ccc(CN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)o1)N(O)C(N)=O,6.72
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1CO2,6.89
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1S2,7.14
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,6.0
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.11
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,7.03
CC(C)(C(=O)O)c1ccc(CCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c(F)c1,7.66
CC(C)(C(=O)O)c1ccc(CCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1,7.72
CC(C)(C(=O)O)c1ccc(CCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1,7.47
CC(C)(C(=O)O)c1ccc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1,7.74
CC(C)(C(=O)O)c1cccc(CC(O)CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,7.24
CC(C)(C(=O)O)c1cccc(CCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,7.62
CC(C)(C(=O)O)c1ccccc1CCCN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.36
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,8.77
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,8.015
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.4
CC(C)(CN1CCCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,7.3
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3c(Cl)cnc32)CC1)C(=O)O,7.4
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3cc(Cl)nc32)CC1)C(=O)O,7.1
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3cc(F)nc32)CC1)C(=O)O,7.4
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,7.6
CC(C)(CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1)C(=O)O,7.385
CC(C)C(=O)NCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O.O=C(O)C(F)(F)F,9.14
CC(C)C(=O)NCc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2,8.3
CC(C)C(=O)NCc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,8.35
CC(C)CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,6.54
CC(C)COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,8.12
CC(C)C[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,8.225000000000001
CC(C)N(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(C)C,6.82
CC(C)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,9.0
CC(C)OC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,8.02
CC(C)Oc1cccc(CC(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc4c(c3)OCO4)C2)c1,8.18
CC(C)[C@H](NC(=O)CCN(C)CC/C=C1\c2ccccc2COc2ccccc21)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCn1cc(COc2ccc(/C=C/C3=[N+]4C(=Cc5ccc(-c6cccs6)n5[B-]4(F)F)C=C3)cc2)nn1)C(N)=O,7.72
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H](Cc1ccccc1)C(N)=O,6.3
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](Cc1ccccc1)C(N)=O,6.8
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,8.32
