smiles,pchembl
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,7.51
Br.Cc1ccc2c(c1O)C[C@@H](C1CCCCC1)O[C@H]2CN,7.23
Brc1ccc(OCCc2ccccc2)c(OC2CNC2)c1,7.38
Brc1ccc2[nH]nc(C3=CCCNC3)c2c1,7.235
Brc1ccc2c(c1)OC1(C=C2)CCNCC1,6.305
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(-c5ccccc5)cc43)C[C@H]1c1ccccc1O2,6.74
Brc1ccc2c3c1CCCCN3CCNC2,6.58
Brc1ccc2c3c1CCN3CCNC2,7.615
Brc1ccnc2c1CCC1CNCCN21,6.44
Brc1ccnc2c1CC[C@@H]1CNCCCN21,7.26
Brc1ccnc2c1CC[C@@H]1CNCCN21,7.47
Brc1cn2ccnc2c(N2CCNCC2)n1,6.275
Brc1cncc2c1CC[C@@H]1CNCCN21,8.72
C#CCOCCOCCOc1ccc2c3c1[C@H]1CCC[C@H]1N3CCNC2,6.66
C#CCOCCOc1ccc2c3c1[C@H]1CCC[C@H]1N3CCNC2,7.29
C#CCOc1ccc(Cl)cc1[C@@H]1C[C@H]1CN.Cl,6.44
C#CCOc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,7.2
C#COCCOCCOCCOc1ccc2c3c1[C@H]1CCC[C@H]1N3CCNC2,6.24
C#Cc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,6.48
C#Cc1cccc([C@H]2C[C@@H]2CN)c1.Cl,6.87
C(=C/c1ccccc1)\CN1CCN(c2nc3ccsc3n3cccc23)CC1,6.15
C/C=C/Cc1ccnc2c1CC[C@@H]1CNCCN21,6.26
C/N=C1\NC(=O)/C(=C/c2c[nH]c3c(Br)cccc23)N1,6.17
C/N=C1\NC(=O)/C(=C/c2c[nH]c3cc(Br)ccc23)N1,6.01
C/N=C1\NC(=O)/C(=C/c2c[nH]c3ccc(Br)cc23)N1,6.37
C/N=C1\NC(=O)/C(=C/c2c[nH]c3cccc(Br)c23)N1,7.1
C/N=C1\NC(=O)/C(=C/c2c[nH]c3ccccc23)N1,6.01
C/N=C1\NC(=O)/C(=C\c2c[nH]c3cccc(Br)c23)N1C,6.5
C1=C(N2CCNCC2)c2nccn2Cc2ccccc21,7.7
C1=C(c2c(-c3ccccc3)[nH]c3ccccc23)CCNC1,7.0
C1=C(c2c[nH]c3ccccc23)CCNC1.Cl,6.53
C1=C(c2n[nH]c3ccccc23)CNCC1,7.58
C1=CC2(CCNCC2)Oc2ccccc21,6.8149999999999995
C1=CC2CNCCN3C[C@@H]4CCC[C@@H]4C(=C1)C23,7.86
C1CC2CNCCN3C2C(C1)[C@H]1CCC[C@H]13,7.12
