smiles,pchembl
Brc1ccc2c(N[C@H]3CN4CCC3CC4)noc2c1,7.36
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,6.11
Brc1nc2n(c1Br)CC1(CN3CCC1CC3)O2,7.21
Brc1nc2n(c1Br)C[C@@]1(CN3CCC1CC3)O2,7.37
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(Br)cc14,6.68
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccc(I)cc14,6.42
C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3cccc(Br)c23)N1C,6.23
C=CCn1c(N2CCNCC2)nc2ccccc21,6.62
CC(=O)N1CCc2c(sc3nc(CCCCN4CCN(c5ccc6ccccc6n5)CC4)n(N)c(=O)c23)C1,7.66
CC(=O)N1CCc2c(sc3nc(SCCCN4CCN(c5ccc6ccccc6n5)CC4)n(N)c(=O)c23)C1,7.11
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,8.31
CC(C)(C)c1ccc(Sc2ccccc2N2CCNCC2)cc1.Cl,6.35
CC(C)(C)c1cccc2cc(C(=O)N[C@@H]3C4CCN(CC4)C34CC4)sc12,6.96
CC(C)CN1Nc2cn([C@@H]3CN4CCC3CC4)c(=O)c3cccc1c23,8.7
CC(C)CS(=O)(=O)n1cc(C(=O)OC2CC3COCC(C2)N3)c2ccccc21,7.925
CC(C)C[C@H]1COCCN1c1nc2c(C(=O)N[C@@H]3C[C@H]4CCC[C@@H](C3)N4C)cccc2o1,8.46
CC(C)Cn1nc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,8.62
CC(C)N(C)c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,7.18
CC(C)N1Nc2cn([C@@H]3CN4CCC3CC4)c(=O)c3cccc1c23,8.7
CC(C)N1Nc2cn([C@H]3CN4CCC3CC4)c(=O)c3cccc1c23,8.52
CC(C)Nc1nc(N2CCN(C)CC2)nc2ccc(Cl)cc12,6.78
CC(C)Oc1cccc2cc(C(=O)N[C@@H]3C4CCN(CC4)C34CC4)sc12,6.8
CC(C)S(=O)(=O)n1cc(C(=O)NC2CC3COCC(C2)N3C)c2cc(F)ccc21,8.86
CC(C)S(=O)(=O)n1cc(C(=O)NC2CC3COCC(C2)N3C)c2ccccc21,9.175
CC(C)S(=O)(=O)n1cc(C(=O)OC2CC3COCC(C2)N3)c2cc(F)ccc21,8.25
CC(C)S(=O)(=O)n1cc(C(=O)OC2CC3COCC(C2)N3)c2ccccc21,8.725000000000001
CC(C)[C@H]1COCCN1c1nc2c(C(=O)N[C@@H]3C[C@H]4CCC[C@@H](C3)N4C)cccc2o1,8.3
CC(C)c1cccc2cc(C(=O)N[C@@H]3C4CCN(CC4)C34CC4)sc12,6.49
CC(C)c1ccnc(NC2=NC[C@@]3(CN4CCC3CC4)O2)n1,8.05
