smiles,pchembl
C/N=C1\NC(=O)/C(=C/c2c[nH]c3c(Br)cccc23)N1,6.22
C/N=C1\NC(=O)/C(=C/c2c[nH]c3ccc(Br)cc23)N1,6.65
C/N=C1\NC(=O)/C(=C/c2c[nH]c3cccc(Br)c23)N1,6.33
C/N=C1\NC(=O)/C(=C/c2c[nH]c3ccccc23)N1,6.03
C=CCN1CCC(CCC(=O)c2cc(Cl)c(N)cc2OC)CC1,8.0
CC(=O)N(C)CC(O)CN1CCC(CNC(=O)c2cccc3[nH]c(C(C)C)nc23)CC1,8.600000000000001
CC(=O)N(C)CC(O)CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc3ccccc3n(C(C)C)c1=O)C2,7.65
CC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1,8.9
CC(=O)N1CCN(CCN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1,8.4
CC(=O)N1CCN(CCN2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2nn(C(C)C)c4ccccc24)C3)CC1,8.0
CC(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,9.9
CC(=O)NCC(O)CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc3ccccc3n(C(C)C)c1=O)C2,7.85
CC(=O)Nc1ccc(CCN2CCC(COc3nc4ccccc4c4cn(C)cc34)CC2)cc1,8.7
CC(C(=O)O)c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1,9.5
CC(C)(C(=O)NCCOCCOCCNC(=O)CCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1)C(=O)NCCOCCOCCNC(=O)CCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,8.26
CC(C)(C(=O)O)c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1,9.9
