smiles,pchembl
Br.CN(C)Cc1cc2c([nH]c(=O)c3cccc(O)c32)s1,7.695
Br.Cc1cccc2c(=O)[nH]c(-c3ccc(CN)cc3)nc12,6.58
Br.NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,7.38
C#CCN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CC1=O,7.81
C#CCOc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,7.59
C#CCOc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,7.73
C#Cc1ccc(N2CCN(Cc3cnc4cc(CC)c(=O)[nH]c4c3)CC2)nc1,8.24
C/C(=N/O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2,8.04
C/C(=N\O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2,8.04
C/C(=N\O)c1cn2c3c(cccc13)C(=O)NCC2,7.41
C/C=C/CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@@H]1C,7.61
C/C=C/CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,7.84
C=C(C)CCN1CCN2C(=Nc3cccc4c(=O)[nH]nc2c34)C1,7.41
C=C1C(=O)OC2C[C@@]3(C)CCC=C(CN4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,6.77
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)C4CN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)C4)C3=CC12,6.55
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CC4CCCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)C4)C3=CC12,7.19
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CC4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,7.16
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCC4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,7.1
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCCC4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,6.89
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCN(C)C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,8.66
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCNC(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,6.87
