smiles,pchembl
Brc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl.Cl,8.64
C#Cc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl,9.28
C=C(C)Cn1c(=O)n(C)c(=O)c2[nH]c(Cc3cncc4cc(OC)c(OC)cc34)nc21,7.52
C=CCC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nnc21,6.85
C=CCC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nnc21,6.51
C=CCCC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nnc21,6.85
C=CCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,8.4
C=CCCn1c(=O)n(C)c(=O)c2nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c21,7.0
C=CCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(OC)cc3OC)N2C1=S,6.25
CC(=O)CC(O)(CC(=O)O)C(=O)O.CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,8.31
CC(=O)CCc1nc2c(=O)n(Cc3ccccc3)nc(C)c2c2cc(-c3ccccc3)nn12,8.08
CC(=O)N1CCc2nc3ccc(C#N)cc3c(NCc3cc(F)c(F)c(F)c3)c2C1,8.48
CC(=O)N1CCc2nc3ccc(C#N)cc3c(NCc3ccc(F)c(Cl)c3)c2C1,8.82
CC(=O)N1CCc2nc3ccc(C#N)cc3c(NCc3ccc(OC(F)(F)F)c(Cl)c3)c2C1,6.47
CC(=O)N1CCc2nc3ccc(C#N)cc3c(NCc3ccnc(Cl)c3)c2C1,7.24
CC(=O)Nc1ccc(-c2ccc(C(=O)N3CCc4c([nH]c5ccccc45)C3c3ccc4c(c3)OCO4)o2)cc1,7.19
CC(=O)Nc1cccc(-c2ccc(C(=O)N3CCc4c([nH]c5ccccc45)C3c3ccc4c(c3)OCO4)o2)c1,7.295
CC(C)(C(=O)NO)c1csc(NC(=O)c2cccc(COc3ccccc3)n2)n1,6.28
CC(C)(C)N1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Cl)c(Cl)c3)N2C1=O,7.92
CC(C)(C)N1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Cl)cc3Cl)N2C1=O,7.16
CC(C)(C)N1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Cl)cc3Cl)N2C1=O,6.23
CC(C)(C)N1CC(=O)N2[C@H](c3ccc(Cl)cc3Cl)c3[nH]c4ccccc4c3C[C@@H]2C1=O,6.72
CC(C)(C)N1CC(=O)N2[C@H](c3ccc(Cl)cc3Cl)c3[nH]c4ccccc4c3C[C@H]2C1=O,6.58
CC(C)(C)Oc1ccc(Cc2[nH]c(-c3ccco3)c3c(=O)c4ccccc4oc23)cc1,6.62
CC(C)=CCC1=C(O)c2c(occ(-c3ccc(O[N+](=O)[O-])cc3)c2=O)C2C=CC(C)(C)OC12,6.3
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc12,6.16
CC(C)=C[C@H]1Oc2cc(O)ccc2-c2oc3c4c(cc(O)c3c(=O)c21)OC(C)(C)C=C4,6.39
CC(C)CC(C(=O)NO)c1csc(NC(=O)c2cccc(COc3ccccc3)n2)n1,6.21
CC(C)CCc1nc2c([nH]1)N1C(=N[C@@H]3CCC[C@@H]31)N(C)C2=O,7.3
CC(C)CCc1nc2c(n1Cc1ccccc1)C(=O)N(C)C1=N[C@@H]3CCC[C@@H]3N12,6.25
CC(C)CCn1c2c(c3c(O)cc(O)cc31)CCn1c-2nc2ccccc2c1=O,7.07
CC(C)CCn1c2c(c3ccc(O)cc31)CCn1c-2nc2ccccc2c1=O,6.96
CC(C)CCn1c2c(c3ccccc31)CCn1c-2nc2ccccc2c1=O,6.21
CC(C)CNc1nc(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2)nc2ccccc12,6.44
CC(C)CNc1nc(Nc2cccc(S(=O)(=O)N3CCN(C)CC3)c2)nc2ccccc12,6.37
CC(C)COc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,7.03
CC(C)COc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,6.98
CC(C)Cc1nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc2c1C(C)(C)C(=O)N2,6.38
CC(C)Cn1c(=O)c(NCC2CCOCC2)nc2ccc(-c3ccc(F)cc3)nc21,6.65
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OC(C)C)nc21,7.8
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3ccccc3OC(C)C)nc21,7.11
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(CC3CC4CCC3C4)nc21,7.6
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(Cc3cncc4ccccc34)nc21,7.47
CC(C)N1C(=O)c2[nH]c(Cc3ccccc3)nc2N2C[C@@H](Cc3ccccc3)N=C21,7.66
CC(C)N1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,8.52
CC(C)N1CCC(Nc2nc(Nc3cccc(S(=O)(=O)N4CCN(C)CC4)c3)nc3ccccc23)CC1,6.82
CC(C)OCCn1c(=O)c(NCCN2CCOCC2)nc2ccc(-c3ccc(F)c(F)c3)nc21,7.28
CC(C)Oc1ccccc1-c1nc2c(cnn2-c2ccc(Br)cc2)c(=O)[nH]1,6.55
CC(C)Oc1ccccc1-c1nc2c(cnn2-c2ccccc2)c(=O)[nH]1,6.3
CC(C)c1c(C#N)c(=O)n(Cc2ccccc2)c2c(NC(C)c3ccccn3)cccc12,7.41
CC(C)c1n[nH]c2c(=O)[nH]c(C[C@@H]3CCCC[C@H]3Nc3ncc(C(=O)O)c(C(F)(F)F)n3)nc12,6.43
CC(C)n1ccc(-c2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc3c2C(C)(C)C(=O)N3)n1,6.62
CC(Nc1cccc2c(C3CCCCC3)c(C#N)c(=O)n(Cc3ccccc3)c12)c1ccccn1,7.47
CC(Sc1nc(-c2ccc(Cl)s2)c(C#N)c(=O)[nH]1)c1cccc(Cl)c1,6.45
CC1(C)C(=O)Nc2nc(-c3nn(CCC(F)(F)C(F)(F)F)c4cc(Cl)ccc34)nnc21,7.02
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4c3CCC4)nc(I)c21,6.32
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4cc(Cl)ccc34)nnc21,7.6
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4nc(C(F)(F)F)ccc34)nnc21,7.42
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nc(CCC(F)(F)F)c21,6.18
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nc(CN)c21,6.06
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nc(CN3CCCC3=O)c21,6.84
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nc(CNC(=O)C3CC3)c21,6.24
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nc(CNCC(F)(F)F)c21,6.5
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nc(CNS(=O)(=O)C3CC3)c21,6.72
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(-c3ccn[nH]3)c21,7.4
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(/C=C\C3CC3)c21,6.82
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(C#CC3CC3)c21,6.39
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(CC(N)=O)c21,7.82
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(CCC(F)(F)F)c21,6.58
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(CCC3CC3)c21,6.58
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(CCCC(F)(F)F)c21,6.89
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncccc34)nc(CNS(C)(=O)=O)c21,7.32
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncncc34)nnc21,6.43
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ncccc4F)c4cc(Cl)ccc34)nnc21,6.8
CC1(C)C(=O)Nc2nc(-n3nc(CCC(F)(F)C(F)(F)F)c4cc(F)ccc43)nnc21,6.28
CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4cc(F)ccc43)nc(I)c21,6.16
CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4cc(F)ccc43)ncc21,6.4
CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4cc(F)ccc43)nnc21,7.12
CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4ccccc43)nc(I)c21,6.16
CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4ccccc43)ncc21,6.36
CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4ncc(F)cc43)nnc21,7.07
CC1(CC2CC2)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nnc21,6.58
CCC(C)c1nc2c(=O)n(Cc3cccc(OP(=O)(O)O)c3)nc(C)c2c2cc(-c3ccccc3)nn12,7.23
CCC(C)c1nc2c(=O)n(Cc3ccccc3)nc(C)c2c2cc(-c3ccccc3)nn12,7.47
CCC(C)c1nc2c(=O)n(Cc3ccccc3)nc(C)c2c2cc(-c3ccccn3)nn12,7.41
CCC(CC)c1nc2c(=O)n(Cc3ccccc3)nc(C)c2c2cc(-c3ccccc3)nn12,7.17
CCC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncc(F)cc34)nnc21,6.47
CCCCC(C(=O)NO)c1csc(NC(=O)c2cccc(COc3ccccc3)n2)n1,6.57
CCCCCCC(C(=O)NO)c1csc(NC(=O)c2cccc(COc3ccccc3)n2)n1,6.64
CCCCCCCCc1nc(-c2cc(S(=O)(=O)N3CCN(C)CC3)ccc2OCC)[nH]c(=O)c1Br,7.11
CCCCCCCNS(=O)(=O)c1ccc(OCC)c(-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)c1,8.41
CCCCCCNS(=O)(=O)c1ccc(OCC)c(-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)c1,7.92
CCCCCCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc(C(C)C)c(Br)c(=O)[nH]1,7.24
CCCCCCc1nc2c([nH]1)N1C(=N[C@@H]3CCC[C@@H]31)N(C)C2=O,8.0
CCCCCCc1nc2c(n1Cc1ccccc1)C(=O)N(C)C1=N[C@@H]3CCC[C@@H]3N12,6.1
CCCCCCn1c(=O)n(C)c(=O)c2[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc21,6.89
CCCCCN1C(=O)CN(C)c2ncc(-c3ccc(F)c(F)c3)cc21,7.37
CCCCCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Br)s3)N2C1=O,6.77
CCCCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,7.88
CCCCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,6.26
CCCCCOc1ccccc1-c1nc2cc[nH]cc-2n1.Cl,6.0
CCCCCOc1ccccc1-c1nc2ccc[nH]c-2n1,6.0
CCCCN1C(=O)C2Cc3c([nH]c4ccccc34)C(c3ccc(OC)cc3)N2C1=O,8.52
CCCCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Br)cc3)N2C1=O,7.4
CCCCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(CC)s3)N2C1=O,7.52
CCCCN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@H](c3ccc(OC)cc3)N2C1=O,8.1
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(C#N)cc3)N2C1=O,6.04
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(CC)s3)N2C1=O,7.44
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Cl)cc3)N2C1=O,7.3
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(OC)cc3)N2C1=O,8.1
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cccc(Cl)c3)N2C1=O,7.3
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccccc3)N2C1=O,7.22
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cccnc3)N2C1=O,7.04
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccncc3)N2C1=O,6.52
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccoc3)N2C1=O,7.0
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccsc3)N2C1=O,7.52
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3ccc(C#N)cc3)N2C1=O,6.52
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3ccc(Cl)cc3)N2C1=O,7.7
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3ccc(OC)cc3)N2C1=O,8.3
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3cccc(Cl)c3)N2C1=O,7.3
CCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3ccccc3)N2C1=O,7.7
