smiles,pchembl
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,6.0
C(=Cc1cncc(OC2CCNC2)c1)c1ccncc1,6.3
C=CC(=O)N1CCC(c2cc(-c3ccnc4[nH]ccc34)[nH]n2)CC1,6.1
C=CC(NC(=O)c1ccc(-c2cn[nH]c2)c(OC)c1)c1c(F)cccc1F,7.76
C=S(=O)(O)c1ccc2c(c1)C(C)(C)C1=[N+]2CCC2OC3CCN4C(=C3C=C12)C(C)(C)c1cc(CC(=O)NCCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCCCNCCNS(=O)(=O)c2cccc3cnccc23)C(N)=O)ccc14,8.89
CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,6.3
CC(=NNC(=N)N)c1cc(NC(=O)NCCCN(C)CCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,6.2
CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,6.9
CC(=O)N(c1ccncc1)c1c(NC(C)C(C)(C)C)c(=O)c1=O,6.8
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,6.2
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,6.6
CC(=O)NCC(O)CN1CCN(c2nc(-c3ccncc3)cnc2N2CCCC2)CC1,6.46
CC(=O)NCCCN1CCN(c2nc(-c3ccncc3)cnc2N2CCCC2)CC1,6.46
CC(=O)NC[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(C)c1)c1ccccc1,7.01
CC(=O)N[C@@H]1CCCN(c2ccnc3[nH]cc(-c4ccnnc4)c23)C1,6.95
