smiles,pchembl
Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1,6.96
C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,6.18
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(C(=O)NC)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCN2CCOCC2)c1,6.85
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(C(N)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCN2CCOCC2)c1,6.64
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(C(N)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCCOC)c1,6.88
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(CO)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCCOC)c1,7.05
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCCN2CCOCC2)c1,6.8
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCN2CCOCC2)c1,6.59
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCOCCOC)c1,6.56
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCCOC)c1,6.85
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)N[C@@H](C)COCCOCCOC)c1,6.61
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)N[C@H](C)COCCOCCOC)c1,6.68
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)ccc1C(=O)NCCN1CCOCC1,7.19
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(P(C)(C)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCCOC)c1,7.04
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(N(C)C)cc4)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCCOC)c1,6.12
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(N)=O)cc(C(C)(C)C)c4)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCCOC)c1,7.5
C#Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(NS(C)(=O)=O)cc(C(C)(C)C)c4)c4ccccc34)ccn2)cc(C(=O)NCCN2CCOCC2)c1,6.49
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,6.63
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NC)c4OC)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,6.93
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,6.93
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,6.65
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)N[C@@H](C)CN2CCOCC2)c1,6.54
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)N[C@H](C)CN2CCOCC2)c1,6.47
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,7.31
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOC)c1,6.98
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,7.38
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOCCOC)c1,7.06
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)N[C@@H](C)CN2CCOCC2)c1,6.86
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)N[C@H](C)CN2CCOCC2)c1,6.58
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(N(C)C)cc4)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,6.36
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(N(C)C)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,7.01
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OC)cc4)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,7.66
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OC)cc4)c4ccccc34)n2)cc(C(=O)NCCOC)c1,6.98
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OC)cc4)c4ccccc34)n2)cc(C(=O)N[C@@H](C)COC)c1,6.8
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OC)cc4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,6.43
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OC)nc4)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,7.33
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccc(CP(C)(C)=O)c4)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,7.06
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)C)nn4-c4ccc(C)cc4)c(Cl)c3Cl)n2)cc(C(=O)NCCN2CCOCC2)c1,6.39
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,7.4399999999999995
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)C)nn4-c4ccc(OC)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOC)c1,7.48
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)C)nn4-c4ccc(OC)cc4)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,7.41
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(F)cc(N5CCOCC5)c4)c4ccccc34)n2)cc(C(=O)NCCN2CCOCC2)c1,7.43
C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,6.35
C#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1C,6.14
C#Cn1c(C#CCCO)nc(-c2ccc(F)cc2)c1-c1ccncc1,6.7
