target,n,readacross_recall,frequency_baseline
HT1A,120,0.958,0.0
HT6,120,0.95,0.0
HT7,120,0.808,0.0
H3,120,0.975,0.0
DAT,120,0.983,0.0
NET,120,0.942,0.0
Sigma1,120,0.908,0.0
CB1,120,0.983,0.0
OPRK1,120,0.983,0.0
OPRM1,120,0.992,0.0
D3,120,0.975,0.0
A1,120,0.975,0.0
a7nAChR,86,0.988,0.0
LRRK2,120,0.992,0.0
NLRP3,36,0.944,0.0
P2X7,120,1.0,0.0
COX2,120,0.975,0.0
CSF1R,120,0.958,0.0
PDE10A,120,1.0,0.0
HDAC1,120,0.975,0.0
HDAC6,120,0.983,0.0
GluN2B,120,1.0,0.0
mGluR5,120,1.0,0.0
GABA_A,17,0.941,0.0
OX1,120,1.0,0.0
OX2,120,1.0,0.0
MT1,120,1.0,0.0
mTOR,120,1.0,0.0
SIRT1,28,0.893,0.0
KEAP1,25,1.0,0.0
PDE4B,120,0.975,0.0
Nav1_5,44,0.795,0.0
Nav1_7,120,1.0,0.0
Nav1_1,25,0.96,0.0
GluA2,23,1.0,0.0
D2,120,0.933,1.0
A2A,120,0.992,1.0
HT2A,120,0.942,0.0
SERT,120,0.992,0.0
