target,n_heldout_actives,auroc_vs_random,deployed_threshold,deployed_sensitivity,deployed_fpr_random,background_p5_p95_spread,median_active_p,median_background_p
COX2,237,0.9446,0.9397,0.384,0.0,0.0848,0.5233,0.0121
mGluR5,214,0.9975,0.9969,0.4065,0.0,0.0166,0.9916,0.0013
D2,400,0.9797,0.9798,0.4875,0.0033,0.0225,0.977,0.001
P2X7,400,0.9965,0.999,0.5275,0.0,0.0641,0.9991,0.0031
HT2A,400,0.9779,0.9933,0.5425,0.0,0.036,0.997,0.0007
MT1,126,0.9993,0.9768,0.6111,0.0,0.0368,0.9841,0.0016
GluN2B,162,0.95,0.9902,0.6111,0.0,0.0165,0.9956,0.0042
Sigma1,357,0.9728,0.957,0.6779,0.0117,0.1736,0.9955,0.0006
SIRT1,21,0.9836,0.582,0.7143,0.0,0.0631,0.8111,0.0159
CB1,400,0.9693,0.9908,0.7175,0.0,0.1277,0.9995,0.0049
HT1A,400,0.9874,0.9752,0.735,0.0017,0.0219,0.9993,0.0009
D3,400,0.9822,0.983,0.745,0.0017,0.0204,0.9996,0.0012
HT7,312,0.9691,0.8035,0.7628,0.0033,0.014,0.9957,0.001
OX1,400,0.9924,0.9694,0.795,0.0017,0.0032,0.9997,0.001
a7nAChR,71,0.9843,0.773,0.8169,0.0,0.0282,0.9861,0.002
OPRK1,400,0.9925,0.9505,0.8275,0.0,0.0278,0.9997,0.0013
HDAC1,400,0.9974,0.8941,0.83,0.0,0.0043,0.9853,0.0002
NET,265,0.9933,0.6257,0.834,0.0083,0.0872,0.9874,0.0016
OPRM1,400,0.9883,0.7694,0.84,0.0017,0.0144,0.9987,0.0008
DAT,207,0.9763,0.5368,0.8454,0.005,0.0513,0.9944,0.0012
Nav1_5,48,0.9735,0.5098,0.8542,0.0,0.0468,0.9902,0.0109
SERT,400,0.9882,0.7309,0.8625,0.0167,0.1093,0.9975,0.0005
A1,400,0.9946,0.8556,0.8675,0.0017,0.0186,0.9975,0.0009
HDAC6,400,0.9967,0.9839,0.87,0.0,0.0135,0.9969,0.0018
HT6,400,0.9907,0.8695,0.875,0.0067,0.0672,0.999,0.001
Nav1_7,400,0.9965,0.9651,0.88,0.0,0.0069,0.9956,0.0029
PDE10A,400,0.9989,0.9565,0.8975,0.0,0.0045,0.9999,0.0001
H3,400,0.9862,0.7995,0.9,0.0017,0.0457,0.9997,0.0006
GABA_A,35,0.9892,0.1194,0.9143,0.0383,0.0812,0.3683,0.0031
CSF1R,274,0.9945,0.18,0.927,0.005,0.0086,1.0,0.0004
NLRP3,46,0.9414,0.0967,0.9348,0.0567,0.1026,1.0,0.0059
mTOR,400,0.9977,0.6666,0.9425,0.0017,0.0012,0.9999,0.0002
LRRK2,400,0.9937,0.05,0.9575,0.0117,0.0146,1.0,0.0007
OX2,400,0.9974,0.1641,0.96,0.005,0.0084,0.9999,0.0008
PDE4B,174,0.9941,0.1319,0.9713,0.0317,0.0626,0.9992,0.0009
