Name,Chembl Id,Smiles,Nps,Antioxidant,Anti Inflammatory,Mitochondrial,Aggregation,Cognitive,Neurogenesis,Synaptic,Bbb,Source,Compound Type,Alzheimers,Parkinsons,Als,Huntingtons
Curcumin,,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,75.7,29.21,90.0,70.0,80.0,70.0,60.0,70.0,Medium,Literature-Curated,Polyphenol / Curcuminoid,1,1,1,1
Resveratrol,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,78.6,24.27,80.0,90.0,70.0,80.0,70.0,80.0,High,Literature-Curated,Stilbenoid,1,1,1,1
Vitamin B12,CHEMBL2375172,,62.9,25.21,80.0,70.0,50.0,70.0,50.0,60.0,High,Literature-Curated,Vitamin B-group / Cobalamin,1,0,1,0
Omega-3 (DHA/EPA),,,75.7,24.55,90.0,60.0,60.0,80.0,80.0,90.0,High,Literature-Curated,Polyunsaturated Fatty Acid,1,1,1,1
Metformin,CHEMBL1431,CN(C)C(=N)NC(=N)N,70.0,29.32,70.0,80.0,90.0,60.0,70.0,50.0,Medium,Literature-Curated,Biguanide Drug,1,1,1,0
Coenzyme Q10,CHEMBL454801,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,68.6,41.88,60.0,100.0,70.0,60.0,50.0,50.0,Medium,Literature-Curated,Coenzyme / Mitochondrial Antioxidant,1,1,1,1
Quercetin,CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,68.6,29.86,80.0,60.0,70.0,70.0,60.0,60.0,Medium,Literature-Curated,Flavonol,1,1,0,0
Nicotinamide Riboside,CHEMBL438497,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,72.9,34.34,60.0,90.0,70.0,80.0,70.0,70.0,High,Literature-Curated,NAD+ Precursor / Vitamin B3 Derivative,1,1,1,1
Ashwagandha,CHEMBL4288984,CC1=C(C)C(=O)O[C@@H]([C@](C)(O)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1,75.7,40.73,90.0,70.0,60.0,80.0,70.0,80.0,Medium,Literature-Curated,Adaptogenic Herb / Withanolides,1,1,1,0
Ginkgo Biloba,CHEMBL2108466,,72.9,32.85,70.0,70.0,60.0,90.0,60.0,80.0,High,Literature-Curated,Herbal Extract / Flavonoids + Terpenoids,1,1,0,0
Sulforaphane,CHEMBL48802,C[S+]([O-])CCCCN=C=S,75.7,26.55,90.0,80.0,70.0,70.0,70.0,60.0,Medium,Literature-Curated,Isothiocyanate,1,1,1,1
Vitamin C,CHEMBL196,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,67.1,26.59,70.0,70.0,60.0,70.0,50.0,60.0,High,Literature-Curated,Vitamin / Ascorbic Acid,1,1,1,0
Vitamin E,CHEMBL3989727,,62.9,28.42,60.0,80.0,50.0,60.0,40.0,50.0,High,Literature-Curated,Vitamin / Tocopherol,1,0,0,1
Alpha-Lipoic Acid,CHEMBL134342,O=C(O)CCCC[C@@H]1CCSS1,72.9,21.89,80.0,90.0,70.0,70.0,50.0,60.0,High,Literature-Curated,Antioxidant Cofactor / Dithiol,1,1,1,1
N-Acetylcysteine,CHEMBL600,CC(=O)N[C@@H](CS)C(=O)O,65.7,28.11,70.0,80.0,60.0,60.0,50.0,50.0,Medium,Literature-Curated,Amino Acid Derivative / GSH Precursor,1,1,1,1
Hesperetin,CHEMBL399121,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,65.7,27.57,80.0,60.0,70.0,60.0,50.0,60.0,Medium,Literature-Curated,Flavanone,1,1,0,0
Naringenin,CHEMBL9352,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,65.7,35.1,70.0,70.0,60.0,60.0,60.0,60.0,Medium,Literature-Curated,Flavanone,1,0,0,0
Apigenin,CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,75.7,29.86,90.0,70.0,80.0,70.0,70.0,70.0,High,Literature-Curated,Flavone,1,1,1,0
Allicin,CHEMBL359965,C=CCS[S+]([O-])CC=C,57.1,34.76,80.0,60.0,50.0,50.0,40.0,50.0,Medium,Literature-Curated,Organosulfur Compound,0,1,0,0
Hyperforin,CHEMBL1237210,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O,64.3,33.52,80.0,70.0,60.0,60.0,50.0,60.0,Medium,Literature-Curated,Phloroglucinol Derivative / St. John's Wort,1,0,0,0
Bilobalide,CHEMBL3348958,CC(C)(C)[C@]1(O)C[C@@H]2OC(=O)C[C@@]23C(=O)O[C@@H]2OC(=O)[C@H](O)C213,72.9,37.27,70.0,80.0,70.0,80.0,60.0,70.0,High,Literature-Curated,Terpenoid / Ginkgo Biloba,1,1,0,0
Thiamine,CHEMBL1588,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-],58.6,32.6,60.0,90.0,50.0,60.0,40.0,50.0,High,Literature-Curated,Vitamin B1,1,0,1,0
Riboflavin,CHEMBL1534,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,52.9,26.79,50.0,80.0,40.0,50.0,40.0,40.0,High,Literature-Curated,Vitamin B2,0,0,0,0
Niacin,CHEMBL573,O=C(O)c1cccnc1,64.3,29.51,60.0,90.0,60.0,70.0,50.0,50.0,High,Literature-Curated,Vitamin B3,1,1,1,1
Creatine,CHEMBL283800,CN(CC(=O)O)C(=N)N,61.4,32.86,50.0,100.0,70.0,60.0,40.0,50.0,Low-Med,Literature-Curated,Nitrogenous Organic Acid,1,1,1,1
