target,deployed,threshold,random_fpr,n_trivial_fired,trivial_fired,max_trivial_probability,threshold_for_5pct,verdict
Nav1_1,True,0.5705,0.08,5,"glucose, urea, glycine, lactate, atenolol",0.6407,0.5944,FAILS: fires on trivial molecules
GluA2,True,0.6292,0.0717,2,"glucose, atenolol",0.7189,0.6462,FAILS: fires on trivial molecules
NRF2,True,0.3012,0.0567,0,,0.1943,0.303,FAILS: above 5 percent on random chemistry
NR3C1,True,0.8636,0.0417,0,,0.7531,0.8496,ok
Nav1_5,True,0.2221,0.0383,0,,0.1097,0.1994,ok
SIRT1,True,0.4646,0.0333,0,,0.4016,0.4122,ok
TAAR1,True,0.8305,0.0283,0,,0.5776,0.8098,ok
NFKB1,True,0.4165,0.0267,5,"glucose, urea, acetate, glycine, lactate",0.5885,0.3626,FAILS: fires on trivial molecules
PDE4B,True,0.3472,0.02,0,,0.0168,0.1036,ok
CB1,True,0.2842,0.0167,0,,0.0685,0.0809,ok
a3b4nAChR,True,0.2792,0.0117,0,,0.1927,0.1506,ok
Sigma1,True,0.9526,0.01,0,,0.1911,0.3402,ok
DAT,True,0.2168,0.01,0,,0.0157,0.0911,ok
SERT,True,0.744,0.01,0,,0.0164,0.3063,ok
NET,True,0.5999,0.0083,0,,0.0195,0.2455,ok
H3,True,0.6119,0.0083,0,,0.1526,0.0838,ok
HT6,True,0.5723,0.0067,0,,0.0103,0.068,ok
GBA1,True,0.1869,0.005,0,,0.1653,0.0843,ok
a4b2nAChR,True,0.7822,0.005,0,,0.5891,0.2243,ok
HT1A,True,0.9183,0.0033,0,,0.0437,0.0436,ok
a7nAChR,True,0.5022,0.0033,0,,0.0183,0.0653,ok
DHODH,True,0.1749,0.0033,0,,0.0112,0.0405,ok
LRRK2,True,0.3909,0.0033,0,,0.1179,0.0637,ok
HT7,True,0.8472,0.0033,0,,0.0243,0.0433,ok
D3,True,0.9512,0.0033,0,,0.1307,0.0592,ok
OX1,True,0.7468,0.0017,0,,0.0023,0.0067,ok
OX2,True,0.6773,0.0017,0,,0.0043,0.0227,ok
OPRM1,True,0.6077,0.0017,0,,0.0059,0.0335,ok
mTOR,True,0.2188,0.0017,0,,0.0035,0.0086,ok
RIPK1,True,0.05,0.0017,0,,0.0101,0.0178,ok
D2,True,0.9072,0.0017,0,,0.0257,0.0372,ok
HT2A,True,0.9016,0.0017,0,,0.0167,0.0895,ok
A2A,True,0.8888,0.0,0,,0.0034,0.0255,ok
A1,True,0.8083,0.0,0,,0.032,0.0493,ok
COX2,True,0.7353,0.0,0,,0.1387,0.0901,ok
CGRP,True,0.3414,0.0,0,,0.0026,0.0053,ok
HDAC1,True,0.7473,0.0,0,,0.0076,0.0129,ok
HDAC6,True,0.8341,0.0,0,,0.0113,0.0181,ok
GluN2B,True,0.9645,0.0,0,,0.0224,0.0319,ok
GABA_A,True,0.661,0.0,0,,0.1956,0.1395,ok
Cav3_2,True,0.3697,0.0,0,,0.0479,0.0681,ok
CSF1R,True,0.8466,0.0,0,,0.0076,0.039,ok
NLRP3,True,0.3645,0.0,0,,0.0439,0.091,ok
KEAP1,True,0.7793,0.0,0,,0.0257,0.0665,ok
OPRK1,True,0.917,0.0,0,,0.0085,0.05,ok
Nav1_8,True,0.5971,0.0,0,,0.0368,0.0654,ok
Nav1_7,True,0.8426,0.0,0,,0.0126,0.0172,ok
Nav1_6,True,0.9442,0.0,0,,0.0171,0.0293,ok
MT1,True,0.9509,0.0,0,,0.0178,0.0731,ok
P2X7,True,0.999,0.0,0,,0.2794,0.1189,ok
PDE10A,True,0.8717,0.0,0,,0.0022,0.0223,ok
mGluR5,True,0.8704,0.0,0,,0.0102,0.0361,ok
