pmcid,doi,compound,metric,value,unit,holding_potentials_in_paper,status
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,3.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,8.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,5.1,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,3.3,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,0.8,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,9.5,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,14.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,amitriptyline,IC 50,0.9,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,3.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,8.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,5.1,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,3.3,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,0.8,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,9.5,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,14.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,cannabidiol,IC 50,0.9,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,3.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,8.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,5.1,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,3.3,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,0.8,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,9.5,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,14.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,lidocaine,IC 50,0.9,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,3.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,8.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,5.1,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,3.3,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,0.8,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,9.5,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,14.4,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13125304,10.1038/s41386-026-02355-9,tetrodotoxin,IC 50,0.9,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
