target,smiles,hyperpolarised_mV,depolarised_mV,pchembl_hyperpolarised,pchembl_depolarised,delta_pchembl
Nav1.2,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,-120.0,-60.0,5.02,5.13,0.11
Nav1.2,COc1cccc(-c2cc(N3CC4CC(C3)c3ccccc34)nc(N)n2)c1,-120.0,-40.0,4.67,6.2,1.53
Nav1.2,COc1cccc(-c2cc(N3CCCc4ccc(C)cc4C3)nc(N)n2)c1,-120.0,-40.0,6.8,7.19,0.39
Nav1.2,COc1cccc(-c2cc(N3CCCc4ccccc4C3)nc(N)n2)c1,-120.0,-40.0,4.96,6.92,1.96
Nav1.7,CC(C)(C)OC(=O)N1CC(N2C(=O)c3ccccc3C2C(=O)NCc2ccc(OC(F)(F)F)cc2)C1,-90.0,-65.0,5.66,6.96,1.3
Nav1.7,CC(C)(C)OC(=O)N1CCC(N2C(=O)c3ccccc3C2C(=O)NCc2ccc(OC(F)(F)F)cc2)CC1,-90.0,-65.0,5.66,6.48,0.82
Nav1.7,CC(C)(Cc1ccccn1)N1C(=O)c2ccccc2C1C(=O)NCc1ccc(OC(F)(F)F)cc1,-90.0,-65.0,5.24,7.01,1.77
Nav1.7,CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1,-70.0,-60.0,7.72,7.23,-0.49
Nav1.7,CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cn1,-70.0,-60.0,7.6,7.05,-0.55
Nav1.7,CC(C)COc1ccc(-c2nn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1,-70.0,-60.0,7.37,7.35,-0.02
Nav1.7,CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cc1Cl,-70.0,-60.0,8.48,6.64,-1.84
Nav1.7,CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cc1Cl,-70.0,-60.0,8.96,6.28,-2.68
Nav1.7,CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl,-70.0,-60.0,8.1,7.01,-1.09
Nav1.7,CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl,-70.0,-60.0,7.96,7.18,-0.79
Nav1.7,CC(C)Cc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1,-70.0,-60.0,7.64,6.44,-1.2
Nav1.7,CC(CC#N)N1C(=O)c2ccccc2C1C(=O)NCc1ccc(OC(F)(F)F)cc1,-90.0,-65.0,5.0,6.37,1.37
Nav1.7,CC(NC(=O)C1c2ccccc2C(=O)N1CCc1ccccn1)c1ccc(OCC(F)(F)F)cc1,-90.0,-65.0,5.85,6.26,0.41
Nav1.7,CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1,-90.0,-65.0,4.68,6.06,1.38
Nav1.7,CC1(C)CN2CCC[C@@]2(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)C1,-60.0,-10.0,7.57,5.75,-1.82
Nav1.7,CC1(C)CN2CCC[C@]2(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)C1,-60.0,-10.0,7.92,7.0,-0.92
Nav1.7,CC1(C)CN[C@H](c2cc(Cl)cc(Cl)c2)[C@@H](Oc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)O1,-65.0,-60.0,7.96,7.39,-0.57
Nav1.7,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,-120.0,-65.0,6.7,6.73,0.03
Nav1.7,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O,-140.0,-10.0,6.2,7.88,1.68
Nav1.7,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-90.0,-65.0,5.16,6.0,0.84
Nav1.7,CN1C(C)(C)CC(Nc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC1(C)C,-70.0,-60.0,7.77,7.57,-0.2
Nav1.7,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nccc2cc(S(=O)(=O)Nc3ccon3)ccc12,-140.0,-125.0,5.4,7.44,2.04
Nav1.7,COc1cc(-c2cccc(C(F)(F)F)c2)ccc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ncccn3)ccc21,-125.0,-10.0,7.7,7.64,-0.06
Nav1.7,COc1cc(-c2cccc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12,-125.0,-110.0,6.82,7.7,0.88
Nav1.7,COc1cc(C(=O)NS(C)(=O)=O)c(F)cc1-c1cnc(Oc2cc(F)ccc2F)c(Cl)c1,-140.0,-125.0,7.29,7.16,-0.13
