pmid,pmcid,doi,title,journal,year,open_access_fulltext,named_drugs,holding_potentials,potency_values_in_tables,score,retrieval
38967655,PMC11381486,10.1007/s00424-024-02980-7,Persistent sodium currents in neurons: potential mechanisms and pharmacological blockers.,Pflugers Arch,2024,True,"cannabidiol, carbamazepine, eslicarbazepine, gs-458967, lacosamide, lamotrigine, lidocaine, mexiletine","-120, -100, -90, -80, -70, -65, -62, -60",157,51,read here
38725668,PMC11079311,10.3389/fphar.2024.1378315,Functional effects of drugs and toxins interacting with Na<sub>V</sub>1.4.,Front Pharmacol,2024,True,"bupivacaine, cannabidiol, carbamazepine, flecainide, lacosamide, lamotrigine, lidocaine, mexiletine",,40,40,read here
39045054,PMC11263763,10.3389/fphar.2024.1416705,Therapeutic targeting of voltage-gated sodium channel Na&lt;sub&gt;V&lt;/sub&gt;1.7 for cancer metastasis.,Front Pharmacol,2024,True,"bupivacaine, carbamazepine, lacosamide, lamotrigine, pf-05089771, ranolazine, riluzole, saxitoxin",,10,36,read here
35234610,PMC8903829,10.7554/elife.72468,"NBI-921352, a first-in-class, Na<sub>V</sub>1.6 selective, sodium channel inhibitor that prevents seizures in <i>Scn8a</i> gain-of-function mice, and wild-type mice and rats.",Elife,2022,True,"cannabidiol, carbamazepine, lacosamide, lamotrigine, lidocaine, oxcarbazepine, phenytoin, riluzole","-150, -90, -62, -60, -45",20,35,read here
41683608,PMC12897268,10.3390/ijms27031180,Targeting Na&lt;sub&gt;v&lt;/sub&gt; Channels for Pain Relief: Structural Insights and Therapeutic Opportunities.,Int J Mol Sci,2026,True,"amitriptyline, bupivacaine, cannabidiol, carbamazepine, fosphenytoin, lacosamide, lidocaine, mexiletine",,3,33,read here
22007172,PMC3185237,10.3389/fphar.2011.00054,Recent developments regarding voltage-gated sodium channel blockers for the treatment of inherited and acquired neuropathic pain syndromes.,Front Pharmacol,2011,True,"ambroxol, amitriptyline, bupivacaine, carbamazepine, lacosamide, lamotrigine, lidocaine, mexiletine",,5,33,read here
26646477,PMC4850042,10.1080/19336950.2015.1079674,Voltage gated sodium channels as drug discovery targets.,Channels (Austin),2015,True,"bupivacaine, carbamazepine, flecainide, lacosamide, lamotrigine, lidocaine, mexiletine, pf-05089771",,11,32,read here
37345144,PMC10216335,10.3390/cancers15102806,Voltage-Gated Sodium Channel Na&lt;sub&gt;V&lt;/sub&gt;1.7 Inhibitors with Potent Anticancer Activities in Medullary Thyroid Cancer Cells.,Cancers (Basel),2023,True,"bupivacaine, lidocaine, mexiletine, phenytoin, procaine, ranolazine, riluzole, ropivacaine",,11,30,read here
35860501,PMC9289666,10.3389/fnmol.2022.896320,"Highly Parallelized, Multicolor Optogenetic Recordings of Cellular Activity for Therapeutic Discovery Applications in Ion Channels and Disease-Associated Excitable Cells.",Front Mol Neurosci,2022,True,"amitriptyline, carbamazepine, lacosamide, lamotrigine, lidocaine, mexiletine, pf-05089771, tetracaine",,5,27,read here
32372952,PMC7184885,10.3389/fphar.2020.00413,Late Sodium Current Inhibitors as Potential Antiarrhythmic Agents.,Front Pharmacol,2020,True,"carbamazepine, flecainide, gs-458967, lamotrigine, lidocaine, mexiletine, phenytoin, ranolazine",,5,27,read here
41058528,PMC12504911,10.1111/cts.70378,The Cardiac Sodium Channel Safety Profile of Cenobamate at Therapeutic Concentrations: In Vitro Analyses.,Clin Transl Sci,2025,True,"flecainide, lamotrigine, lidocaine, mexiletine, phenytoin, quinidine, ranolazine, tetrodotoxin",,19,26,read here
36614292,PMC9821513,10.3390/ijms24010857,Blockers of Skeletal Muscle Na<sub>v</sub>1.4 Channels: From Therapy of Myotonic Syndrome to Molecular Determinants of Pharmacological Action and Back.,Int J Mol Sci,2023,True,"cannabidiol, carbamazepine, flecainide, lacosamide, lamotrigine, mexiletine, phenytoin, propafenone",,0,26,read here
26891306,PMC4771989,10.3390/md14020036,"Development of a Rapid Throughput Assay for Identification of hNav1.7 Antagonist Using Unique Efficacious Sodium Channel Agonist, Antillatoxin.",Mar Drugs,2016,True,"carbamazepine, lacosamide, lamotrigine, lidocaine, phenytoin, riluzole, saxitoxin, tetrodotoxin",,8,26,read here
41897389,PMC13023651,10.3390/biom16030454,"Vinpocetine-An ""Old"" Drug with a New Face: Moving Toward a Better Understanding of Its Neuroprotective Mechanism of Action.",Biomolecules,2026,True,"carbamazepine, lamotrigine, oxcarbazepine, phenytoin, riluzole, tetrodotoxin, topiramate, veratridine",,7,25,read here
41331425,PMC12781457,10.1186/s12885-025-15319-x,Pharmacological targeting and characterization of Voltage-Gated Sodium Channels (VGSCs) expressed in the high-grade glioma microenvironment.,BMC Cancer,2025,True,"carbamazepine, eslicarbazepine, gs-458967, lidocaine, mexiletine, oxcarbazepine, phenytoin, ranolazine",,1,25,read here
30402025,PMC6205941,10.4196/kjpp.2018.22.6.649,Effect of carbamazepine on tetrodotoxin-resistant Na<sup>+</sup> channels in trigeminal ganglion neurons innervating to the dura.,Korean J Physiol Pharmacol,2018,True,"amitriptyline, carbamazepine, lamotrigine, lidocaine, mexiletine, oxcarbazepine, phenytoin, tetrodotoxin",-80,3,25,read here
38359277,PMC10958515,10.1021/acschemneuro.3c00757,Molecular Pharmacology of Selective Na<sub>V</sub>1.6 and Dual Na<sub>V</sub>1.6/Na<sub>V</sub>1.2 Channel Inhibitors that Suppress Excitatory Neuronal Activity Ex Vivo.,ACS Chem Neurosci,2024,True,"cannabidiol, carbamazepine, lacosamide, lamotrigine, lidocaine, phenytoin, quinidine, tetracaine",,5,23,read here
36385942,PMC9653037,10.2147/jep.s375349,Local Anesthetic Like Inhibition of the Cardiac Na<sup>+</sup> Channel Nav1.5 by Chloroquine and Hydroxychloroquine.,J Exp Pharmacol,2022,True,"amitriptyline, bupivacaine, flecainide, lidocaine, mexiletine, quinidine, ropivacaine, saxitoxin",,5,23,read here
37330538,PMC10276812,10.1038/s41467-023-39307-6,Cannabidiol inhibits Na<sub>v</sub> channels through two distinct binding sites.,Nat Commun,2023,True,"cannabidiol, carbamazepine, flecainide, lacosamide, lamotrigine, lidocaine, phenytoin, propafenone",,1,23,read here
35579204,PMC9372421,10.1111/cts.13311,Cardiac sodium channel inhibition by lamotrigine: In vitro characterization and clinical implications.,Clin Transl Sci,2022,True,"carbamazepine, flecainide, lamotrigine, lidocaine, mexiletine, phenytoin, quinidine, ranolazine",,2,22,read here
32908170,PMC7481244,10.1038/s41598-020-71135-2,"Discovery of a selective, state-independent inhibitor of Na&lt;sub&gt;V&lt;/sub&gt;1.7 by modification of guanidinium toxins.",Sci Rep,2020,True,"bupivacaine, carbamazepine, lidocaine, pf-05089771, saxitoxin, tetrodotoxin",,13,22,read here
27743929,PMC5154332,10.1016/j.neuropharm.2016.10.013,Increased sodium channel use-dependent inhibition by a new potent analogue of tocainide greatly enhances in vivo antimyotonic activity.,Neuropharmacology,2017,True,"bupivacaine, flecainide, lidocaine, mexiletine, phenobarbital, phenytoin, propafenone, quinidine",,2,22,read here
41092810,PMC13095425,10.1016/j.pharmr.2025.100090,Recent advances in the pharmacology of voltage-gated ion channels.,Pharmacol Rev,2025,True,"amitriptyline, cannabidiol, carbamazepine, flecainide, lamotrigine, lidocaine, pf-05089771, phenytoin",,0,22,read here
28508747,PMC5433841,10.7554/elife.23235,Voltage-gated Na<sup>+</sup> currents in human dorsal root ganglion neurons.,Elife,2017,True,"carbamazepine, lidocaine, pf-05089771, phenytoin, tetrodotoxin","-80, -60, -40, -35",9,22,read here
41915362,PMC13212674,10.1007/s40263-026-01284-x,"The Complexity and Challenges of Developing Effective Epilepsy Therapies: Lessons to be Learned from Comparing Cenobamate, Carisbamate, and Padsevonil.",CNS Drugs,2026,True,"carbamazepine, eslicarbazepine, lacosamide, lamotrigine, phenobarbital, phenytoin, topiramate, valproate",,5,21,read here
34992539,PMC8724789,10.3389/fphar.2021.791740,Lacosamide Inhibition of Na&lt;sub&gt;V&lt;/sub&gt;1.7 Channels Depends on its Interaction With the Voltage Sensor Domain and the Channel Pore.,Front Pharmacol,2021,True,"carbamazepine, lacosamide, lamotrigine, lidocaine, mexiletine, pf-05089771, phenytoin, tetracaine","-130, -120",0,21,read here
38939966,PMC11706276,10.1093/brain/awae213,Nav1.2 channel mutations preventing fast inactivation lead to SCN2A encephalopathy.,Brain,2025,True,"carbamazepine, lacosamide, lamotrigine, oxcarbazepine, phenobarbital, phenytoin, propafenone, ranolazine",,0,20,read here
36361681,PMC9656591,10.3390/ijms232112890,Block of Voltage-Gated Sodium Channels by Aripiprazole in a State-Dependent Manner.,Int J Mol Sci,2022,True,"bupivacaine, flecainide, lacosamide, lamotrigine, lidocaine, phenytoin, ranolazine, riluzole",,0,20,read here
34027742,PMC9344566,10.1177/10738584211017009,"Cannabidiol and Sodium Channel Pharmacology: General Overview, Mechanism, and Clinical Implications.",Neuroscientist,2022,True,"cannabidiol, carbamazepine, flecainide, lidocaine, mexiletine, phenytoin, tetracaine, tetrodotoxin",,4,20,read here
