inventory_date,commit,model,family,predicts,task,algorithm,n_train,n_positive,n_scaffolds,validation,metric,random_split,scaffold_split,calibration,threshold_basis,deployed,fitted
2026-08-19,6dd47bd,A2A,target,"potency, pChEMBL",regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",6756,,2746.0,10-fold random and 10-fold scaffold-grouped,R2,0.7243,0.6118,none,,True,2026-08-13 19:05
2026-08-19,6dd47bd,AChE,target,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",5125,3014.0,2395.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.9655,0.9227,"isotonic, out-of-fold",,True,2026-08-13 18:56
2026-08-19,6dd47bd,antioxidant_DPPH,target,"potency, pChEMBL",regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",2782,,902.0,10-fold random and 10-fold scaffold-grouped,R2,0.6592,0.4161,none,,True,2026-08-13 19:09
2026-08-19,6dd47bd,BACE1,target,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",8213,7102.0,3251.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.9775,0.9652,"isotonic, out-of-fold",,True,2026-08-13 18:57
2026-08-19,6dd47bd,BBB,exposure,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",3901,2473.0,2083.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.899,0.8777,"isotonic, out-of-fold",,True,2026-08-13 18:56
2026-08-19,6dd47bd,BChE,target,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",3278,1760.0,1573.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.9724,0.9451,"isotonic, out-of-fold",,True,2026-08-13 18:57
2026-08-19,6dd47bd,D2,target,"potency, pChEMBL",regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",7907,,3718.0,10-fold random and 10-fold scaffold-grouped,R2,0.6436,0.5237,none,,True,2026-08-13 19:02
2026-08-19,6dd47bd,GSK3B,target,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",5443,4060.0,2664.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.965,0.9389,"isotonic, out-of-fold",,True,2026-08-13 18:58
2026-08-19,6dd47bd,hERG,safety,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",9934,2371.0,5680.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.9572,0.9323,"isotonic, out-of-fold",,True,2026-08-13 18:59
2026-08-19,6dd47bd,HT2A,target,"potency, pChEMBL",regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",6076,,2417.0,10-fold random and 10-fold scaffold-grouped,R2,0.6988,0.5626,none,,True,2026-08-13 19:07
2026-08-19,6dd47bd,MAO_A,target,probability of activity,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",3595,867.0,1403.0,10-fold random and 10-fold scaffold-grouped,AUROC,0.9638,0.899,"isotonic, out-of-fold",,True,2026-08-13 18:58
