target,old_threshold,background_fpr_before,new_threshold,background_fpr_after,sensitivity_after,reliable
A1,0.8083,0.0253,0.8083,0.0253,0.736,True
A2A,0.8888,0.0367,0.8888,0.0367,0.824,True
a7nAChR,0.5022,0.0057,0.5022,0.0057,0.571,True
CB1,0.2842,0.032,0.2842,0.032,0.862,True
COX2,0.7353,0.0063,0.7353,0.0063,0.338,False
CSF1R,0.8466,0.0187,0.8466,0.0187,0.901,True
D2,0.9072,0.046,0.9072,0.046,0.654,True
D3,0.9512,0.0537,0.9715,0.05,0.86,True
DAT,0.2168,0.029,0.2168,0.029,0.864,True
GABA_A,0.661,0.005,0.661,0.005,0.303,False
GBA1,0.1869,0.0057,0.1869,0.0057,0.795,True
GluN2B,0.9645,0.0063,0.9645,0.0063,0.374,False
H3,0.6119,0.0377,0.6119,0.0377,0.953,True
HDAC1,0.7473,0.038,0.7473,0.038,0.9,True
HDAC6,0.8341,0.0423,0.8341,0.0423,0.93,True
HT1A,0.9183,0.052,0.9623,0.05,0.754,True
HT2A,0.9016,0.049,0.9016,0.049,0.67,True
HT6,0.5723,0.033,0.5723,0.033,0.931,True
HT7,0.8472,0.0403,0.8472,0.0403,0.83,True
KEAP1,0.7793,0.003,0.7793,0.003,0.52,True
LRRK2,0.3909,0.0143,0.3909,0.0143,0.919,True
mGluR5,0.8704,0.0067,0.8704,0.0067,0.723,True
MT1,0.9509,0.004,0.9509,0.004,0.678,True
mTOR,0.2188,0.0283,0.2188,0.0283,0.941,True
Nav1_5,0.2221,0.058,0.233,0.05,0.8,True
NET,0.5999,0.0253,0.5999,0.0253,0.732,True
NLRP3,0.3645,0.0023,0.3645,0.0023,0.867,True
OPRK1,0.917,0.03,0.917,0.03,0.801,True
OPRM1,0.6077,0.0413,0.6077,0.0413,0.872,True
OX1,0.7468,0.035,0.7468,0.035,0.922,True
OX2,0.6773,0.038,0.6773,0.038,0.885,True
P2X7,0.999,0.013,0.999,0.013,0.465,False
PDE10A,0.8717,0.027,0.8717,0.027,0.875,True
PDE4B,0.3472,0.0193,0.3472,0.0193,0.867,True
SERT,0.744,0.041,0.744,0.041,0.835,True
Sigma1,0.9526,0.03,0.9526,0.03,0.6,True
SIRT1,0.4646,0.0533,0.4686,0.05,0.378,False
TAAR1,0.8305,0.034,0.8305,0.034,0.355,False
Nav1_7,0.8426,0.025,0.8426,0.025,0.877,True
a4b2nAChR,0.7822,0.001,0.7822,0.001,0.754,True
a3b4nAChR,0.2792,0.013,0.2792,0.013,0.906,True
Nav1_6,0.9442,0.001,0.9442,0.001,0.532,True
Nav1_8,0.5971,0.0007,0.5971,0.0007,0.892,True
Cav3_2,0.3697,0.0003,0.3697,0.0003,0.975,True
CGRP,0.3414,0.0013,0.3414,0.0013,0.993,True
DHODH,0.1749,0.001,0.1749,0.001,0.948,True
RIPK1,0.05,0.005,0.05,0.005,0.938,True
