target,deployed_threshold,background_fpr_disjoint,exceeds_target
HT2A,0.9016,0.0512,True
D2,0.9072,0.0509,True
HT1A,0.9623,0.0497,False
D3,0.9715,0.0491,False
SIRT1,0.4686,0.0484,False
TAAR1,0.8305,0.0435,False
HT7,0.8472,0.043,False
OPRM1,0.6077,0.043,False
Nav1_5,0.233,0.0425,False
SERT,0.744,0.0411,False
OX2,0.6773,0.0393,False
HDAC6,0.8341,0.039,False
H3,0.6119,0.0368,False
HDAC1,0.7473,0.0354,False
A2A,0.8888,0.0353,False
OX1,0.7468,0.0335,False
HT6,0.5723,0.0332,False
mTOR,0.2188,0.0304,False
CB1,0.2842,0.03,False
OPRK1,0.917,0.0292,False
PDE10A,0.8717,0.0288,False
DAT,0.2168,0.0285,False
Sigma1,0.9526,0.0278,False
Nav1_7,0.8426,0.0262,False
NET,0.5999,0.0259,False
A1,0.8083,0.0259,False
P2X7,0.999,0.0166,False
PDE4B,0.3472,0.0161,False
LRRK2,0.3909,0.0145,False
CSF1R,0.8466,0.014,False
a3b4nAChR,0.2792,0.0133,False
COX2,0.7353,0.0086,False
mGluR5,0.8704,0.0081,False
RIPK1,0.05,0.0068,False
GluN2B,0.9645,0.0065,False
a7nAChR,0.5022,0.0064,False
GABA_A,0.661,0.0052,False
MT1,0.9509,0.0046,False
GBA1,0.1869,0.0045,False
KEAP1,0.7793,0.0035,False
NLRP3,0.3645,0.0021,False
DHODH,0.1749,0.0021,False
Nav1_6,0.9442,0.0017,False
a4b2nAChR,0.7822,0.0013,False
CGRP,0.3414,0.0008,False
Nav1_8,0.5971,0.0005,False
Cav3_2,0.3697,0.0001,False
