endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,6994,778,195,,0.9991379689492896,0.9974461919611363,0.9622184491788764,0.9715762273901809,0.9786207503188635,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,6994,778,195,,0.9971588160267406,0.9921016703042395,0.951856857621924,0.9637305699481865,0.9726349122575537,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,6995,777,195,,0.9971363115693013,0.9907682221387895,0.9592884681484103,0.9695431472081218,0.9828707375099128,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,6995,777,194,,0.99679934925996,0.9912867099611766,0.948392568226079,0.9612403100775194,0.9733780127672367,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,6995,777,194,,0.9936605895563297,0.9866706674195358,0.9481287552166505,0.9606299212598425,0.968218952803664,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,6995,777,194,,0.9986737635055083,0.9961495431321745,0.9585868121507123,0.96875,0.9759509115665506,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,6995,777,194,,0.9960654983996746,0.9908082101459846,0.9481287552166505,0.9606299212598425,0.968218952803664,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,6995,777,194,,0.9969938639458189,0.990781660594714,0.9482593896043763,0.961038961038961,0.9716583261127125,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,6995,777,194,,0.9940407773514173,0.9876212539409057,0.9446726286442719,0.9581151832460733,0.9673613198705593,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,6995,777,194,,0.9974271012006861,0.9926290243459307,0.972520379834132,0.979381443298969,0.986260189917066,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,6994,778,134,544.0,0.9806132381570408,0.9522621396364738,0.8846830278885616,0.9027237354085603,0.9274010382868267,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,6994,778,210,545.0,0.9962692823608317,0.9926625250084447,0.9244226270912385,0.9432098765432099,0.9512407780013414,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,6995,777,226,545.0,0.9937683696577422,0.984508943462179,0.9024951008840675,0.9284064665127021,0.9392456193887221,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,6995,777,179,546.0,0.991054913024794,0.9625841130749769,0.9274116701855346,0.9441340782122905,0.9637058350927673,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,6995,777,207,546.0,0.9950504280023731,0.991953665722996,0.9404720742296783,0.955,0.9595982710399187,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,6995,777,193,546.0,0.9991127830222158,0.9975663529267542,0.9758085274707365,0.9816272965879265,0.9835997941656611,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,6995,777,179,546.0,0.9982997328151567,0.9950406497363894,0.9598430691959258,0.9688385269121813,0.9751452700809029,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,6995,777,214,546.0,0.9966966019820388,0.9921930840870075,0.9416619164922622,0.9567307692307693,0.9622889726266164,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,6995,777,198,546.0,0.9969557404790566,0.9910259220977843,0.8558496804780762,0.8833333333333333,0.898924477940022,7772,1943,5720,109
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,6995,777,203,547.0,0.9946619522493606,0.9834584114395537,0.9197457650073373,0.9405940594059405,0.9583984140334014,7772,1943,5720,109
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,14763,1641,411,,0.9986746582794296,0.9965994212137973,0.9657846478281423,0.9742331288343559,0.9801228413743992,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,14763,1641,410,,0.9995185353965643,0.9986456760009031,0.975547629204886,0.9815950920245399,0.9857740088367577,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,14763,1641,410,,0.9991995403300905,0.9976489358518141,0.975547629204886,0.9815950920245399,0.9857740088367577,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,14763,1641,410,,0.9985833448911255,0.9968838727611286,0.9755961510806973,0.9816849816849816,0.9874006855421925,16404,4101,12188,115
