endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,6994,778,195,,0.9959009543915205,0.9824501953800124,0.9353669407758378,0.9516539440203562,0.9700532172230285,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,6994,778,195,,0.9921229713682543,0.9716616669216814,0.9125658696137442,0.9346733668341709,0.9623433170602982,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,6995,777,195,,0.9957705524715834,0.9862266119654651,0.937757073663032,0.9530864197530864,0.9802669838752314,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,6995,777,194,,0.9968612402963697,0.9921549262995697,0.9516156628430119,0.9633507853403142,0.9707962723912928,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,6995,777,194,,0.9902388994005411,0.9781498132743315,0.920865447362737,0.9405684754521964,0.9596382026843027,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,6995,777,194,,0.9935898569432902,0.9764286536984517,0.9182098361284387,0.9387755102040817,0.9622199430602465,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,6995,777,194,,0.9936959558628494,0.9842260589685344,0.9239960580758714,0.9427083333333334,0.958776148962883,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,6995,777,194,,0.993925836855228,0.98208624432914,0.927995287885862,0.9460154241645244,0.9647928418595604,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,6995,777,194,,0.9915474527417729,0.9787648141270067,0.9241921976400935,0.9430051813471503,0.9604958356174074,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,6995,777,194,,0.9954907959187282,0.9872738234244889,0.9348534394455961,0.9511568123393316,0.9682277943802939,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,6994,778,201,542.0,0.9953525267941057,0.9868057338433572,0.9118862632831933,0.9336734693877551,0.9482914715848831,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,6994,778,146,543.0,0.9890866134905496,0.938035321903657,0.879939614545491,0.9014084507042254,0.9304447719784983,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,6995,777,184,543.0,0.9897536476281252,0.9620724443231373,0.893604541649745,0.918918918918919,0.9484657966126548,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,6995,777,168,544.0,0.9850359684103527,0.9484328508651653,0.8151842657042099,0.855457227138643,0.9102011494252874,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,6995,777,184,544.0,0.9847541975218124,0.9587923431697521,0.8777689829456709,0.9060773480662984,0.9338477894273773,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,6995,777,200,544.0,0.9935181975736568,0.9800265185290628,0.9296941352155643,0.9478908188585607,0.9671013864818023,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,6995,777,184,544.0,0.9927780629078378,0.9843117127123564,0.932228230179255,0.9482288828337875,0.9652375540728793,7772,1943,5469,360
A1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,6995,777,244,544.0,0.9847291852489775,0.9588126656620582,0.8947195689598462,0.9269311064718163,0.9427229108356657,7772,1943,5469,360
