endpoint,split,n,folds,n_positive,n_decoy,n_measured_inactive_train,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,f1_mean,balanced_acc_mean,recorded_scaffold_cv_auroc,rerun_minus_recorded
A1,random,7772,10,1943,5720,109,0.9967094039764726,0.001750441411896257,0.9916263153944588,0.0033064801335553682,0.9542053063842083,0.9654635684727696,0.9745173065927784,0.995,
A1,scaffold,7772,10,1943,5720,109,0.9942483041750612,0.005319185105283312,0.9843255807192559,0.015004282837761718,0.9232393458923418,0.9404598142146913,0.951954847065618,0.995,-0.0007516958249388361
A2A,random,17408,10,4352,12941,115,0.99876980003539,0.0008141771544247999,0.9970496598449345,0.0013144273445345133,0.9720566371045087,0.9789604523683562,0.9839935220044229,0.998,
A2A,scaffold,17408,10,4352,12941,115,0.9978891865028918,0.0015013710279917474,0.9949976833222072,0.0026522280416607373,0.9612165435806725,0.9706805118951223,0.976083360749422,0.998,-0.00011081349710817534
CB1,random,10720,10,2680,7936,104,0.9958616432761567,0.0017045010133516522,0.9914183267547635,0.0028731156827291266,0.9476780522552873,0.9600252913673402,0.9662313432835822,0.993,
CB1,scaffold,10720,10,2680,7936,104,0.9927753386827651,0.0024188439262878784,0.9851076279581246,0.0036262220821812697,0.9056157083580982,0.9255737961316555,0.9350089607165684,0.993,-0.00022466131723486438
CGRP,random,2396,10,599,1784,13,0.9999813780260707,5.8887852144686344e-05,0.9999448998178506,0.00017424207508211676,0.9923136212433488,0.9942003030720485,0.9963857852265674,1.0,
CGRP,scaffold,2396,10,599,1784,13,0.9999319665619169,0.0001465535634860059,0.9998329922924564,0.00035234226904321073,0.9912851453341387,0.9934338499498485,0.9962657020007886,1.0,-6.803343808314821e-05
COX2,random,4728,10,1182,3200,346,0.9836006165477468,0.005828655019212339,0.9570002306950027,0.013752271492864713,0.856569679902595,0.8911922234782199,0.9221507476229929,0.966,
COX2,scaffold,4728,10,1182,3200,346,0.963494057627851,0.022654868084708693,0.8972211638909033,0.05900306803410028,0.7394808664839073,0.7814611008447861,0.8422018526761048,0.966,-0.0025059423721489615
CSF1R,random,7136,10,1784,5334,18,0.9978293295152509,0.0010244857230535945,0.9950116264216001,0.0018261461811996183,0.95499852455381,0.9652502100356589,0.9682328021134945,0.996,
CSF1R,scaffold,7136,10,1784,5334,18,0.9964609589152321,0.0016043910159256197,0.9922193184904099,0.0028684749236289066,0.9437998588484975,0.9563853850359323,0.9601119574053376,0.996,0.0004609589152321236
