target,n_positive,n_measured_inactive_holdout,scaffold_cv_auroc,auroc_vs_measured_inactives,threshold,sensitivity_at_threshold,background_fpr_held_out
A1,1523,360.0,0.99,0.914,0.8083,0.871,0.0259
A2A,3333,406.0,0.995,0.949,0.8888,0.928,0.0353
CB1,2158,1616.0,0.985,0.949,0.2842,0.954,0.03
CGRP,454,23.0,1.0,0.985,0.3414,0.997,0.0008
COX2,883,770.0,0.935,0.783,0.7353,0.639,0.0086
CSF1R,1420,101.0,0.995,0.95,0.8466,0.942,0.014
Cav3_2,272,70.0,0.996,0.982,0.3697,0.98,0.0001
D2,2890,572.0,0.989,0.872,0.9072,0.829,0.0564
D3,3450,216.0,0.996,0.956,0.9715,0.893,0.0544
DAT,1102,397.0,0.989,0.959,0.2168,0.963,0.0285
DHODH,730,329.0,0.989,0.966,0.1749,0.981,0.0021
GABA_A,168,37.0,0.965,0.719,0.661,0.826,0.0052
GBA1,81,240.0,0.935,0.932,0.1869,0.908,0.0045
GluN2B,749,34.0,0.993,0.761,0.9645,0.737,0.0065
H3,2659,192.0,0.995,0.978,0.6119,0.976,0.0368
HDAC1,2563,810.0,0.995,0.96,0.7473,0.946,0.0354
HDAC6,3010,568.0,0.998,0.975,0.8341,0.957,0.0406
HT1A,3070,261.0,0.995,0.936,0.9623,0.875,0.0606
HT2A,2918,319.0,0.989,0.925,0.9016,0.846,0.0621
HT6,2309,107.0,0.996,0.96,0.5723,0.975,0.0332
HT7,1189,150.0,0.984,0.947,0.8472,0.917,0.043
KEAP1,97,86.0,0.949,0.88,0.7793,0.639,0.0033
LRRK2,951,55.0,0.997,0.968,0.3909,0.977,0.0145
MT1,579,41.0,0.996,0.896,0.9509,0.858,0.0046
NET,1217,257.0,0.991,0.92,0.5999,0.916,0.0259
NLRP3,177,116.0,0.958,0.93,0.3645,0.923,0.0021
Nav1_5,207,,0.942,0.921,0.233,0.95,
Nav1_6,199,52.0,0.957,0.862,0.9442,0.764,0.0017
Nav1_7,2165,369.0,0.997,0.957,0.8426,0.932,0.0262
Nav1_8,181,33.0,0.985,0.956,0.5971,0.947,0.0005
OPRK1,2465,499.0,0.993,0.945,0.917,0.889,0.0292
OPRM1,2904,672.0,0.995,0.954,0.6077,0.952,0.043
OX1,2788,288.0,0.997,0.964,0.7468,0.976,0.0335
OX2,3123,344.0,0.997,0.964,0.6773,0.959,0.0393
P2X7,2308,85.0,0.998,0.813,0.999,0.677,0.0166
PDE10A,3211,122.0,0.999,0.962,0.8717,0.958,0.0288
PDE4B,948,166.0,0.992,0.966,0.3472,0.969,0.0161
RIPK1,1149,451.0,0.995,0.966,0.05,0.984,0.0068
SERT,2516,281.0,0.992,0.945,0.744,0.947,0.0411
SIRT1,125,,0.896,0.792,0.4686,0.967,
Sigma1,1643,56.0,0.986,0.881,0.9526,0.82,0.0278
TAAR1,162,,0.763,0.78,0.8305,0.763,
a3b4nAChR,166,148.0,0.97,0.974,0.2792,0.97,0.0133
a4b2nAChR,407,177.0,0.974,0.923,0.7822,0.863,0.0013
a7nAChR,274,193.0,0.977,0.763,0.5022,0.875,0.0064
mGluR5,911,264.0,0.988,0.893,0.8704,0.817,0.0081
mTOR,2558,557.0,0.998,0.983,0.2188,0.987,0.0304
