endpoint,chembl_only,chembl_measured_inactive,bindingdb_only,both,total,active,inactive
AChE,2924,689.0,138,1318,5069,3169,1900
BChE,1744,584.0,73,798,3199,1840,1359
BACE1,4459,260.0,388,3642,8749,7726,1023
GSK3B,2545,488.0,527,1505,5065,4232,833
MAO_B,2511,824.0,164,941,4440,2425,2015
MAO_A,1787,1161.0,98,339,3385,903,2482
D2,4080,144.0,172,3419,7815,7405,410
A2A,3126,204.0,875,2420,6625,6190,435
HT2A,2854,85.0,623,2359,5921,5755,166
SERT,2611,91.0,85,1811,4598,4362,236
hERG,5875,3227.0,0,0,9102,2428,6674
BBB,0,,0,0,7807,4956,2851
