endpoint,task,split,n_baseline,n_pooled,n_added,metric,baseline,pooled,delta,mcc_baseline,mcc_pooled,mcc_delta
BBB,classification,random,7805,7805,0,roc_auc,0.9605,0.9605,0.0,0.7572,0.7572,0.0
BBB,classification,scaffold,7805,7805,0,roc_auc,0.9197,0.9197,0.0,0.6583,0.6583,0.0
AChE,classification,random,4324,4387,63,roc_auc,0.9626,0.9626,0.0,0.7791,0.7814,0.0023
AChE,classification,scaffold,4324,4387,63,roc_auc,0.9198,0.9212,0.0014,0.6419,0.6562,0.0143
BChE,classification,random,2580,2621,41,roc_auc,0.9704,0.9684,-0.002,0.7922,0.7814,-0.0108
BChE,classification,scaffold,2580,2621,41,roc_auc,0.9396,0.9372,-0.0024,0.6933,0.6909,-0.0024
BACE1,classification,random,8067,8501,434,roc_auc,0.9658,0.9667,0.0009,0.7358,0.7365,0.0007
BACE1,classification,scaffold,8067,8501,434,roc_auc,0.9572,0.9556,-0.0016,0.6874,0.6718,-0.0156
GSK3B,classification,random,4044,4958,914,roc_auc,0.9665,0.9693,0.0028,0.6591,0.6563,-0.0028
GSK3B,classification,scaffold,4044,4958,914,roc_auc,0.9412,0.9369,-0.0043,0.5797,0.5593,-0.0204
MAO_A,classification,random,2141,2228,87,roc_auc,0.9461,0.9467,0.0006,0.7559,0.7415,-0.0144
MAO_A,classification,scaffold,2141,2228,87,roc_auc,0.8675,0.8678,0.0003,0.569,0.5638,-0.0052
MAO_B,classification,random,3455,3665,210,roc_auc,0.954,0.9545,0.0005,0.7454,0.7403,-0.0051
MAO_B,classification,scaffold,3455,3665,210,roc_auc,0.8798,0.8895,0.0097,0.5799,0.6262,0.0463
hERG,classification,random,5905,5875,-30,roc_auc,0.9552,0.9541,-0.0011,0.7708,0.771,0.0002
hERG,classification,scaffold,5905,5875,-30,roc_auc,0.9207,0.9208,0.0001,0.6751,0.6755,0.0004
D2,regression,random,7511,7734,223,r2,0.6072,0.6012,-0.006,,,
D2,regression,scaffold,7511,7734,223,r2,0.4901,0.4829,-0.0072,,,
A2A,regression,random,5547,6785,1238,r2,0.6618,0.6824,0.0206,,,
A2A,regression,scaffold,5547,6785,1238,r2,0.5633,0.5762,0.0129,,,
HT2A,regression,random,5256,5989,733,r2,0.6418,0.6362,-0.0056,,,
HT2A,regression,scaffold,5256,5989,733,r2,0.5053,0.4902,-0.0151,,,
SERT,regression,random,4471,4572,101,r2,0.6105,0.6016,-0.0089,,,
SERT,regression,scaffold,4471,4572,101,r2,0.385,0.3885,0.0035,,,
antioxidant_DPPH,regression,random,2862,2862,0,r2,0.6689,0.6689,0.0,,,
antioxidant_DPPH,regression,scaffold,2862,2862,0,r2,0.4337,0.4337,0.0,,,
