endpoint,status,added,rows_before,rows_after,pct_active_before,pct_active_after
A1,merged,501,4007,4508,94.5,84.0
A2A,merged,376,6625,7001,93.4,88.4
AChE,merged,249,5069,5318,62.5,59.6
BACE1,merged,213,8749,8962,88.3,86.2
BChE,merged,187,3199,3386,57.5,54.3
CB1,merged,3022,4613,7635,95.5,57.7
CGRP,merged,19,787,806,96.7,94.4
COX2,merged,846,3185,4031,78.2,61.8
CSF1R,merged,166,2432,2598,98.5,92.2
Cav3_2,merged,106,666,772,95.0,82.0
D2,merged,733,7815,8548,94.8,86.6
D3,merged,247,5647,5894,96.7,92.7
DAT,merged,481,2692,3173,88.4,75.0
DHODH,merged,513,1566,2079,90.7,68.4
GABAA_a5,merged,8,676,684,99.4,98.2
GABA_A,merged,51,348,399,93.7,81.7
GBA1,merged,218,554,772,52.7,37.8
GSK3B,merged,575,5065,5640,83.6,75.0
GluA2,merged,51,183,234,53.0,41.5
GluN2B,merged,35,1580,1615,98.0,95.9
H3,merged,207,4198,4405,95.8,91.3
HDAC1,merged,1048,6367,7415,91.0,78.2
HDAC6,merged,889,5612,6501,95.6,82.5
HT1A,merged,328,5414,5742,96.4,90.9
HT2A,merged,472,5921,6393,97.2,90.0
HT6,merged,156,3823,3979,98.5,94.6
HT7,merged,185,2556,2741,95.5,89.1
KEAP1,merged,64,323,387,66.9,55.8
LRRK2,merged,92,1478,1570,98.8,93.0
MAO_A,merged,404,3385,3789,26.7,23.8
MAO_B,merged,366,4440,4806,54.6,50.5
MT1,merged,51,969,1020,96.9,92.1
NET,merged,248,3067,3315,91.3,84.5
NLRP3,merged,173,487,660,87.9,64.8
Nav1_1,merged,94,425,519,15.3,12.5
Nav1_5,merged,1150,833,1983,29.1,12.2
Nav1_6,merged,59,726,785,93.8,86.8
Nav1_7,merged,401,5752,6153,94.1,88.0
Nav1_8,merged,27,540,567,92.8,88.4
OPRK1,merged,688,5167,5855,94.0,83.0
OPRM1,merged,977,6109,7086,94.0,81.0
OX1,merged,462,5273,5735,97.8,90.0
OX2,merged,663,6231,6894,99.6,90.0
P2X7,merged,127,4401,4528,99.0,96.2
PDE10A,merged,183,5112,5295,98.8,95.4
PDE4B,merged,106,1938,2044,88.3,83.8
RIPK1,merged,183,3068,3251,76.6,72.3
SERT,merged,326,4598,4924,94.9,88.6
SIRT1,merged,200,515,715,31.5,22.7
Sigma1,merged,67,2838,2905,98.4,96.1
TAAR1,merged,100,303,403,78.5,59.1
a3b4nAChR,merged,109,585,694,68.0,57.3
a4b2nAChR,merged,208,942,1150,84.5,69.2
a7nAChR,merged,204,1004,1208,82.0,68.1
hERG,merged,1174,9102,10276,26.7,23.6
mGluR5,merged,468,2434,2902,97.6,81.8
mTOR,merged,738,4484,5222,91.6,78.7
