endpoint,split,smiles,measured,probability,called,max_tanimoto_to_training
A2A,cross_source,CC(=O)N1CCN(C(=O)Nc2nc(-c3cccc(C#N)c3)c(-c3cc(C)nc(C)c3)s2)CC1,1,0.1934,False,0.411
A2A,cross_source,CC(=O)N1C[C@H]2C[C@@H]1CN2C(=O)Nc1nc(-c2cccc(C#N)c2)c(-c2cc(C)nc(C)c2)s1,1,0.07678,False,0.3797
A2A,cross_source,CC(=O)Nc1cc2nc(C(C)C)nn2c(-c2cnco2)n1,1,0.43757,False,0.35
A2A,cross_source,CC(=O)Nc1cc2nc(C)nn2c(-c2cccc(F)c2)n1,1,0.25585,False,0.4407
A2A,cross_source,CC(=O)Nc1cc2nc(C3CN(C)C3)nn2c(-c2ccco2)n1,1,0.87645,False,0.4828
A2A,cross_source,CC(=O)c1cc(-c2c(-c3cccc(C#N)c3)nc3ccc(C(=O)NCC(C)(C)O)nn23)cc(C)n1,1,0.16173,False,0.4045
A2A,cross_source,CC(C)(C(=O)N1CCN(C(=O)[C@@H]2CCCN2c2nc(N)n3nc(-c4ccco4)nc3n2)CC1)C(F)(F)F,1,0.98542,True,0.6286
A2A,cross_source,CC(C)(C)C1CCC(N2CCN(C(=O)[C@@H]3CCCN3c3nc(N)n4nc(-c5ccco5)nc4n3)CC2)CC1,1,0.98513,True,0.589
A2A,cross_source,CC(C)(C)OC(=O)C1CCCN1CC(O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,1,0.04551,False,1.0
A2A,cross_source,CC(C)(C)[C@H](Nc1nc(N)n2nc(-c3ccco3)nc2n1)C(=O)N1CCN(c2ccc(F)cc2F)CC1,1,0.99399,True,0.6203
A2A,cross_source,CC(C)(CN1CCN(C(=O)[C@@H]2CCCN2c2nc(N)n3nc(-c4ccco4)nc3n2)CC1)C(F)(F)F,1,0.98384,True,0.56
A2A,cross_source,CC(C)(F)C(=O)N1CCN(C(=O)[C@@H]2CCCN2c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,1,0.98919,True,0.6471
A2A,cross_source,CC(C)(F)CN1CCC(C2CCN(C(=O)[C@@H]3CCCN3c3cc4nc(-c5ccco5)nn4c(N)n3)CC2)CC1,1,0.97266,True,0.4878
A2A,cross_source,CC(C)(F)CN1CCN(C(=O)[C@@H](Nc2nc(N)n3nc(-c4ccco4)nc3n2)C2CC2)CC1,1,0.98872,True,0.5211
A2A,cross_source,CC(C)(F)CN1CCN(C(=O)[C@@H](Nc2nc(N)n3nc(-c4ccco4)nc3n2)c2ccccc2)CC1,1,0.99507,True,0.5584
A2A,cross_source,CC(C)(F)CN1CCN(C(=O)[C@@H]2CC3(CC3)CN2c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,1,0.98036,True,0.5455
A2A,cross_source,CC(C)(F)CN1CCN(C(=O)[C@@H]2CCN2c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,1,0.98883,True,0.5915
A2A,cross_source,CC(C)(F)CN1CCN(C(=O)[C@H](Cc2ccccc2)Nc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,1,0.99494,True,0.5135
A2A,cross_source,CC(C)(O)C(=O)N1CCN(C(=O)[C@@H]2CCN2c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,1,0.99148,True,0.6769
A2A,cross_source,CC(C)(O)CC(=O)N1CCN(C(=O)[C@@H](Nc2nc(N)n3nc(-c4ccco4)nc3n2)C2CC2)CC1,1,0.99127,True,0.5867
A2A,cross_source,CC(C)(O)CC(=O)N1CCN(C(=O)[C@@H]2CCCN2c2cc3nc(-c4ccco4)nn3c(N)n2)CC1,1,0.98963,True,0.5063
A2A,cross_source,CC(C)(O)CC(=O)N1CCN(C(=O)[C@@H]2CCCN2c2nc(N)c3nc(-c4ccco4)sc3n2)CC1,1,0.95246,True,0.4868
