endpoint,n_candidates,removed_as_contaminated,leaked_by_inchikey,leaked_by_feature_vector,estimator,n,n_active,status,auroc,sensitivity,specificity,median_max_tanimoto,n_in_domain,n_near_domain,n_out_of_domain,auroc_near_domain,auroc_out_of_domain
A1,15,14.0,13.0,13.0,binder,1.0,0.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
A2A,15,14.0,14.0,11.0,binder,1.0,1.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
AChE,283,242.0,227.0,223.0,calibrated,41.0,4.0,scored,0.4628,0.25,0.9459,0.5,21.0,16.0,4.0,,
ADRA1A,61,,,,,,,no deployed estimator,,,,,,,,,
ADRA2A,55,,,,,,,no deployed estimator,,,,,,,,,
ADRB2,98,,,,,,,no deployed estimator,,,,,,,,,
BACE1,116,99.0,95.0,95.0,calibrated,17.0,0.0,"not scored: 17 external rows, 1 class(es)",,,,,,,,,
BChE,118,106.0,101.0,91.0,calibrated,12.0,1.0,"not scored: 12 external rows, 2 class(es)",,,,,,,,,
CASP3,18,,,,,,,no deployed estimator,,,,,,,,,
CB1,47,44.0,37.0,32.0,binder,3.0,2.0,"not scored: 3 external rows, 2 class(es)",,,,,,,,,
CB2,255,,,,,,,no deployed estimator,,,,,,,,,
COX1,294,,,,,,,no deployed estimator,,,,,,,,,
COX2,143,121.0,113.0,119.0,binder,22.0,2.0,"not scored: 22 external rows, 2 class(es)",,,,,,,,,
CSF1R,12,12.0,12.0,5.0,binder,0.0,,wholly contained in training,,,,,,,,,
CTSB,26,,,,,,,no deployed estimator,,,,,,,,,
Cav3_2,3,2.0,2.0,2.0,binder,1.0,1.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
D1,140,,,,,,,no deployed estimator,,,,,,,,,
D2,34,30.0,30.0,26.0,binder,4.0,3.0,"not scored: 4 external rows, 2 class(es)",,,,,,,,,
D3,26,22.0,22.0,19.0,binder,4.0,3.0,"not scored: 4 external rows, 2 class(es)",,,,,,,,,
D4,19,,,,,,,no deployed estimator,,,,,,,,,
DAT,19,15.0,14.0,15.0,binder,4.0,1.0,"not scored: 4 external rows, 2 class(es)",,,,,,,,,
DHODH,2,2.0,2.0,1.0,binder,0.0,,wholly contained in training,,,,,,,,,
GABAA_a5,27,,,,,,,no deployed estimator,,,,,,,,,
GABA_A,1,1.0,1.0,1.0,binder,0.0,,wholly contained in training,,,,,,,,,
GBA1,97,8.0,6.0,8.0,binder,89.0,2.0,scored,0.7414,0.0,1.0,0.27,5.0,29.0,55.0,0.75,0.7963
GSK3B,49,39.0,37.0,24.0,calibrated,10.0,3.0,"not scored: 10 external rows, 2 class(es)",,,,,,,,,
GluA2,3,2.0,2.0,1.0,binder,1.0,1.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
GluN2B,5,1.0,1.0,1.0,binder,4.0,1.0,"not scored: 4 external rows, 2 class(es)",,,,,,,,,
H1,51,,,,,,,no deployed estimator,,,,,,,,,
H3,7,5.0,5.0,3.0,binder,2.0,2.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
HDAC1,18,15.0,14.0,7.0,binder,3.0,2.0,"not scored: 3 external rows, 2 class(es)",,,,,,,,,
HDAC6,14,12.0,12.0,6.0,binder,2.0,2.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
HT1A,59,55.0,55.0,50.0,binder,4.0,2.0,"not scored: 4 external rows, 2 class(es)",,,,,,,,,
HT2A,40,37.0,37.0,31.0,binder,3.0,2.0,"not scored: 3 external rows, 2 class(es)",,,,,,,,,
HT2C,102,,,,,,,no deployed estimator,,,,,,,,,
HT3A,17,,,,,,,no deployed estimator,,,,,,,,,
HT4,19,,,,,,,no deployed estimator,,,,,,,,,
HT6,23,21.0,21.0,15.0,binder,2.0,2.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
HT7,34,29.0,29.0,25.0,binder,5.0,0.0,"not scored: 5 external rows, 1 class(es)",,,,,,,,,
JNK3,44,,,,,,,no deployed estimator,,,,,,,,,
LRRK2,14,14.0,14.0,9.0,binder,0.0,,wholly contained in training,,,,,,,,,
M1,63,,,,,,,no deployed estimator,,,,,,,,,
M2,63,,,,,,,no deployed estimator,,,,,,,,,
M3,36,,,,,,,no deployed estimator,,,,,,,,,
MAO_A,82,75.0,73.0,69.0,calibrated,7.0,4.0,"not scored: 7 external rows, 2 class(es)",,,,,,,,,
MAO_B,71,57.0,56.0,49.0,calibrated,14.0,4.0,"not scored: 14 external rows, 2 class(es)",,,,,,,,,
MT1,5,4.0,4.0,3.0,binder,1.0,0.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
NET,24,19.0,18.0,18.0,binder,5.0,3.0,"not scored: 5 external rows, 2 class(es)",,,,,,,,,
NLRP3,5,3.0,3.0,2.0,binder,2.0,0.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
Nav1_1,2,2.0,2.0,0.0,binder,0.0,,wholly contained in training,,,,,,,,,
Nav1_5,11,9.0,8.0,7.0,binder,2.0,0.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
Nav1_6,2,2.0,2.0,0.0,binder,0.0,,wholly contained in training,,,,,,,,,
Nav1_7,4,3.0,3.0,0.0,binder,1.0,1.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
Nav1_8,4,2.0,2.0,0.0,binder,2.0,0.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
OPRD1,200,,,,,,,no deployed estimator,,,,,,,,,
OPRK1,28,22.0,17.0,21.0,binder,6.0,4.0,"not scored: 6 external rows, 2 class(es)",,,,,,,,,
OPRM1,42,35.0,31.0,34.0,binder,7.0,3.0,"not scored: 7 external rows, 2 class(es)",,,,,,,,,
P2X7,4,4.0,3.0,2.0,binder,0.0,,wholly contained in training,,,,,,,,,
PARP1,15,,,,,,,no deployed estimator,,,,,,,,,
PDE10A,4,2.0,2.0,1.0,binder,2.0,0.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
PDE4B,7,7.0,7.0,5.0,binder,0.0,,wholly contained in training,,,,,,,,,
PDE5,19,,,,,,,no deployed estimator,,,,,,,,,
RIPK1,11,11.0,11.0,5.0,binder,0.0,,wholly contained in training,,,,,,,,,
ROCK1,26,,,,,,,no deployed estimator,,,,,,,,,
SERT,30,26.0,25.0,26.0,binder,4.0,1.0,"not scored: 4 external rows, 2 class(es)",,,,,,,,,
SIRT1,6,4.0,4.0,2.0,binder,2.0,2.0,"not scored: 2 external rows, 1 class(es)",,,,,,,,,
Sigma1,28,25.0,23.0,25.0,binder,3.0,3.0,"not scored: 3 external rows, 1 class(es)",,,,,,,,,
TAAR1,3,3.0,3.0,3.0,binder,0.0,,wholly contained in training,,,,,,,,,
a7nAChR,24,17.0,16.0,17.0,binder,7.0,0.0,"not scored: 7 external rows, 1 class(es)",,,,,,,,,
hERG,117,37.0,32.0,28.0,calibrated,80.0,5.0,scored,0.4613,0.0,0.9467,0.309,5.0,39.0,36.0,0.4167,0.1429
mGluR5,5,4.0,4.0,3.0,binder,1.0,0.0,"not scored: 1 external rows, 1 class(es)",,,,,,,,,
mTOR,57,50.0,47.0,41.0,binder,7.0,1.0,"not scored: 7 external rows, 2 class(es)",,,,,,,,,
p38a,126,,,,,,,no deployed estimator,,,,,,,,,
