endpoint,mode,status,cutoff_year,n_actives_total,n_measured_inactives_total,time_n_train_actives,time_n_train_decoys,time_n_train_measured_inactives,time_n_test_actives,time_n_test_measured_inactives,time_auroc_vs_measured_inactives,time_auroc_vs_background,time_threshold,time_threshold_basis,time_sensitivity,time_fpr_measured_inactives,time_fpr_background,time_median_test_novelty,time_test_actives_below_tanimoto_0.4,random_n_train_actives,random_n_train_decoys,random_n_train_measured_inactives,random_n_test_actives,random_n_test_measured_inactives,random_auroc_vs_measured_inactives,random_auroc_vs_background,random_threshold,random_threshold_basis,random_sensitivity,random_fpr_measured_inactives,random_fpr_background,random_median_test_novelty,random_test_actives_below_tanimoto_0.4,auroc_cost_of_prospectivity,sensitivity_cost_of_prospectivity,deployed_auroc_vs_measured_inactives,deployed_sensitivity,deployed_threshold
A1,hybrid_decoys_plus_measured_inactives,ok,2019,1943.0,720.0,1495.0,4172.0,313.0,448.0,93.0,0.8421,0.9424,0.9206,held-out measured inactives from the training side of the split,0.3371,0.0538,0.0208,0.4,223.0,1495.0,4172.0,313.0,448.0,93.0,0.9524,0.9839,0.9501,held-out measured inactives from the training side of the split,0.8371,0.0538,0.0245,0.7754,10.0,0.1103,0.5,0.914,0.871,0.8083
A2A,hybrid_decoys_plus_measured_inactives,ok,2021,4101.0,811.0,3478.0,10060.0,374.0,623.0,62.0,0.6571,0.945,0.9433,held-out measured inactives from the training side of the split,0.4462,0.129,0.0317,0.4773,166.0,3478.0,10060.0,374.0,623.0,62.0,0.9481,0.9778,0.9239,held-out measured inactives from the training side of the split,0.878,0.0806,0.035,0.8,8.0,0.291,0.4318,0.949,0.928,0.8888
CB1,hybrid_decoys_plus_measured_inactives,ok,2017,2680.0,3231.0,2210.0,5367.0,1263.0,470.0,705.0,0.9259,0.9487,0.3367,held-out measured inactives from the training side of the split,0.7681,0.0638,0.0335,0.6613,65.0,2210.0,5367.0,1263.0,470.0,705.0,0.978,0.9829,0.3617,held-out measured inactives from the training side of the split,0.9553,0.1206,0.0327,0.8037,6.0,0.0521,0.1872,0.949,0.954,0.2842
CGRP,,only 1 post-cutoff actives,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COX2,hybrid_decoys_plus_measured_inactives,ok,2019,1182.0,1539.0,903.0,2073.0,636.0,279.0,267.0,0.6574,0.8173,0.7993,held-out measured inactives from the training side of the split,0.086,0.0,0.0077,0.2796,224.0,903.0,2073.0,636.0,279.0,267.0,0.9099,0.9824,0.7323,held-out measured inactives from the training side of the split,0.6989,0.0712,0.0095,0.7708,11.0,0.2525,0.6129,0.783,0.639,0.7353
CSF1R,hybrid_decoys_plus_measured_inactives,ok,2022,1784.0,202.0,1532.0,4503.0,93.0,252.0,15.0,,0.8596,0.483,held-out measured inactives from the training side of the split,0.4484,0.7333,0.0205,0.3478,142.0,1532.0,4503.0,93.0,252.0,15.0,,0.9903,0.7063,held-out measured inactives from the training side of the split,0.9087,0.0667,0.0187,0.8203,6.0,,0.4603,0.95,0.942,0.8466
Cav3_2,,only 3 post-cutoff actives,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,hybrid_decoys_plus_measured_inactives,ok,2017,3657.0,1143.0,2797.0,7994.0,397.0,860.0,349.0,0.8121,0.9261,0.9157,held-out measured inactives from the training side of the split,0.6116,0.1203,0.059,0.5504,102.0,2797.0,7994.0,397.0,860.0,349.0,0.9308,0.9581,0.9509,held-out measured inactives from the training side of the split,0.7663,0.0544,0.0562,0.795,12.0,0.1187,0.1547,0.872,0.829,0.9072
D3,hybrid_decoys_plus_measured_inactives,ok,2020,4127.0,432.0,3270.0,9660.0,150.0,857.0,132.0,0.8756,0.9191,0.9251,held-out measured inactives from the training side of the split,0.5333,0.0985,0.056,0.5632,75.0,3270.0,9660.0,150.0,857.0,132.0,0.9689,0.9698,0.9568,held-out measured inactives from the training side of the split,0.8436,0.0455,0.053,0.8182,10.0,0.0933,0.3103,0.956,0.893,0.9715
DAT,hybrid_decoys_plus_measured_inactives,ok,2018,1337.0,793.0,1235.0,3439.0,266.0,102.0,260.0,0.8119,0.8621,0.3804,held-out measured inactives from the training side of the split,0.6569,0.0154,0.0232,0.4681,33.0,1235.0,3439.0,266.0,102.0,260.0,0.9844,0.9912,0.4082,held-out measured inactives from the training side of the split,0.9804,0.1115,0.0255,0.7901,1.0,0.1725,0.3235,0.959,0.963,0.2168
DHODH,hybrid_decoys_plus_measured_inactives,ok,2022,963.0,658.0,889.0,2366.0,301.0,74.0,56.0,0.9932,0.9988,0.2822,held-out measured inactives from the training side of the split,0.9054,0.0536,0.0022,0.68,0.0,889.0,2366.0,301.0,74.0,56.0,0.9563,0.9982,0.5369,held-out measured inactives from the training side of the split,0.9595,0.0714,0.0007,0.8037,0.0,-0.0369,0.0541,0.966,0.981,0.1749
GABA_A,hybrid_decoys_plus_measured_inactives,ok,2015,201.0,73.0,170.0,479.0,31.0,31.0,10.0,,0.8248,0.3275,held-out measured inactives from the training side of the split,0.2903,0.0,0.0162,0.3889,16.0,170.0,479.0,31.0,31.0,10.0,,0.9867,0.2993,held-out measured inactives from the training side of the split,0.9355,0.1,0.0187,0.7442,1.0,,0.6452,0.719,0.826,0.661
GBA1,,only 19 post-cutoff actives,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GluN2B,hybrid_decoys_plus_measured_inactives,ok,2020,904.0,67.0,820.0,2431.0,29.0,84.0,9.0,,0.9151,0.9853,held-out measured inactives from the training side of the split,0.0119,0.0,0.006,0.4041,40.0,820.0,2431.0,29.0,84.0,9.0,,0.989,0.9919,held-out measured inactives from the training side of the split,0.7024,0.1111,0.007,0.8174,1.0,,0.6905,0.761,0.737,0.9645
H3,hybrid_decoys_plus_measured_inactives,ok,2014,3212.0,383.0,2478.0,7382.0,52.0,734.0,278.0,0.9003,0.9387,0.6986,held-out measured inactives from the training side of the split,0.8038,0.0755,0.0347,0.4688,201.0,2478.0,7382.0,52.0,734.0,278.0,0.9532,0.9802,0.7633,held-out measured inactives from the training side of the split,0.9292,0.1547,0.0347,0.7966,7.0,0.0529,0.1254,0.978,0.976,0.6119
HDAC1,hybrid_decoys_plus_measured_inactives,ok,2022,3055.0,1619.0,2459.0,6667.0,710.0,596.0,198.0,0.9197,0.9747,0.8453,held-out measured inactives from the training side of the split,0.7836,0.0707,0.0325,0.4836,117.0,2459.0,6667.0,710.0,596.0,198.0,0.969,0.9832,0.7796,held-out measured inactives from the training side of the split,0.9077,0.1061,0.033,0.7902,6.0,0.0493,0.1241,0.96,0.946,0.7473
HDAC6,hybrid_decoys_plus_measured_inactives,ok,2022,3715.0,1135.0,2904.0,8246.0,466.0,811.0,203.0,0.8197,0.9703,0.8449,held-out measured inactives from the training side of the split,0.7004,0.1429,0.0347,0.4545,294.0,2904.0,8246.0,466.0,811.0,203.0,0.9816,0.9841,0.8193,held-out measured inactives from the training side of the split,0.9519,0.0788,0.0365,0.78,11.0,0.1619,0.2515,0.975,0.957,0.8341
HT1A,hybrid_decoys_plus_measured_inactives,ok,2019,3703.0,522.0,2989.0,8781.0,186.0,714.0,150.0,0.9035,0.9349,0.927,held-out measured inactives from the training side of the split,0.591,0.0533,0.056,0.5329,179.0,2989.0,8781.0,186.0,714.0,150.0,0.9461,0.9667,0.9006,held-out measured inactives from the training side of the split,0.881,0.1133,0.058,0.8037,8.0,0.0426,0.29,0.936,0.875,0.9623
HT2A,hybrid_decoys_plus_measured_inactives,ok,2020,3817.0,638.0,3255.0,9506.0,259.0,562.0,120.0,0.7501,0.8961,0.7782,held-out measured inactives from the training side of the split,0.452,0.1333,0.0687,0.5485,149.0,3255.0,9506.0,259.0,562.0,120.0,0.9564,0.9677,0.7388,held-out measured inactives from the training side of the split,0.927,0.1333,0.0762,0.8065,8.0,0.2063,0.475,0.925,0.846,0.9016
HT6,hybrid_decoys_plus_measured_inactives,ok,2017,2741.0,213.0,2188.0,6483.0,81.0,553.0,50.0,0.836,0.9347,0.939,held-out measured inactives from the training side of the split,0.5787,0.02,0.021,0.4828,104.0,2188.0,6483.0,81.0,553.0,50.0,0.9837,0.9854,0.1585,held-out measured inactives from the training side of the split,0.9783,0.26,0.0687,0.7931,6.0,0.1477,0.3996,0.96,0.975,0.5723
HT7,hybrid_decoys_plus_measured_inactives,ok,2019,1478.0,300.0,1164.0,3384.0,108.0,314.0,83.0,0.9481,0.9399,0.5911,held-out measured inactives from the training side of the split,0.5287,0.0482,0.0537,0.5,42.0,1164.0,3384.0,108.0,314.0,83.0,0.9557,0.9746,0.9245,held-out measured inactives from the training side of the split,0.8312,0.0843,0.0422,0.8057,9.0,0.0076,0.3025,0.947,0.917,0.8472
KEAP1,,only 99 pre-cutoff actives,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
