endpoint,split,smiles,measured,probability,called,max_tanimoto_to_training
A1,time,C#CCCCCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,1,0.93685,True,0.573
A1,time,C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCC)c4[nH]3)(CC1)CC2,1,0.99338,True,0.7377
A1,time,C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,1,0.91491,False,0.593
A1,time,CC(=O)NC(CC(=O)Nc1nc(C(C)=O)cs1)c1ccc(C)cc1,1,0.03215,False,0.2857
A1,time,CC(=O)Nc1cc(-c2nnc(N)nc2-c2ccccc2)ccc1O,1,0.92769,True,0.434
A1,time,CC(=O)Nc1cccc(-c2cn3c(nc4ccccc43)c(N)n2)c1,1,0.82956,False,0.4
A1,time,CC(C)C(=O)Nc1ncc2c(n1)CC(c1cccs1)CC2=O,1,0.0318,False,0.3333
A1,time,CC(C)CNC(=O)c1cn2c(nc3ccccc32)c(N)n1,1,0.49791,False,0.3175
A1,time,CC(C)N1CC(C(=O)Nc2nc3ccccc3[nH]2)CC1=O,1,0.0256,False,0.2833
A1,time,CC(C)[C@@H](Nc1nc(I)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12)C1CC1,1,0.97381,True,0.6418
A1,time,CC(C)c1c2cnnc(NCc3ccccc3)c2nn1C,1,0.08289,False,0.2903
A1,time,CC(C)n1cc(-c2c(-c3ccc(F)cc3)nc(N)n3nc(Cc4ncccc4F)nc23)ccc1=O,1,0.05881,False,0.4627
A1,time,CC(C)n1cc(-c2c(-c3ncco3)nc(N)n3nc(Cc4c(F)cccc4F)nc23)ccc1=O,1,0.17569,False,0.36
A1,time,CC(C)n1cc(-c2c(-c3ncco3)nc(N)n3nc(Cc4ncccc4F)nc23)ccc1=O,1,0.11016,False,0.3553
A1,time,CC(O)CNC(=O)c1cn2c(nc3ccccc32)c(N)n1,1,0.64095,False,0.3478
A1,time,CC(Sc1nnc(C(C)C)[nH]1)C(=O)c1ccccc1,1,0.00849,False,0.283
A1,time,CC1(C(=O)Nc2nc3cc(Br)ccc3s2)CCCC1,1,0.00768,False,0.3288
A1,time,CC1(CNc2ncc(-c3ccncc3)c(-c3cccs3)n2)CCOC1,1,0.05209,False,0.3016
A1,time,CC1=C(C(=O)OC(C)C)C(c2cn[nH]c2)n2c(nc3ccccc32)N1,1,0.12331,False,0.7119
A1,time,CCCCC#Cc1nc(N)c2nc(-c3ccccc3)n([C@H]3[C@H](O)[C@H](O)[C@@H]4C[C@@H]43)c2n1,1,0.60033,False,0.4286
A1,time,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@H]3[C@H](O)[C@H](O)[C@@H]4C[C@@H]43)c2n1,1,0.56287,False,0.4074
A1,time,CCCCC#Cc1nc2c(N)nc(-c3ccco3)nc2n1[C@@H]1OC[C@@H](O)[C@H]1O,1,0.89174,False,0.3614
A1,time,CCCCC#Cc1nc2c(N)nc(-c3cccs3)nc2n1[C@@H]1OC[C@@H](O)[C@H]1O,1,0.50338,False,0.3571
A1,time,CCCCC#Cc1nc2c(NC)nc(-c3cccs3)nc2[nH]1,1,0.37993,False,0.3385
A1,time,CCCCCCNC(=O)c1cn2c(nc3ccccc32)c(N)n1,1,0.42282,False,0.303
A1,time,CCCCn1c(=O)c2[nH]c(C34CC5CC(CC3C5)C4)nc2n(CCCO)c1=O,1,0.59556,False,0.6552
A1,time,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCCCCCCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,1,0.9282,True,0.5543
A1,time,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,1,0.93493,True,0.5604
A1,time,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCC)c1=O,1,0.99522,True,0.6812
A1,time,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,1,0.94023,True,0.5667
A1,time,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCOCCOCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,1,0.93281,True,0.5258
A1,time,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCOCCOCCOCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,1,0.93281,True,0.5258
