endpoint,task,status,cutoff_year,n_train,n_test,metric,time_split_score,random_control_score,median_test_novelty,test_below_tanimoto_0.4,cost_of_prospectivity,time_split_spearman,random_control_spearman
AChE,classification,ok,2020,4290,1028,auroc,0.7649,0.9691,0.4286,450,0.2042,,
BChE,classification,ok,2021,2769,617,auroc,0.8144,0.9692,0.3797,347,0.1548,,
BACE1,classification,ok,2017,7289,1673,auroc,0.9131,0.9718,0.5638,255,0.0587,,
GSK3B,classification,ok,2021,5094,546,auroc,0.7143,0.969,0.5147,140,0.2547,,
MAO_A,classification,ok,2020,2970,819,auroc,0.7544,0.966,0.4259,356,0.2116,,
MAO_B,classification,ok,2020,3883,923,auroc,0.8429,0.9586,0.5079,242,0.1157,,
hERG,classification,ok,2020,8217,2059,auroc,0.715,0.9621,0.3204,1507,0.2471,,
D2,regression,ok,2019,6992,1556,r2,0.1031,0.6169,0.4925,351,0.5138,0.4083,0.7791
A2A,regression,ok,2020,5485,1516,r2,0.3005,0.7154,0.5125,299,0.4149,0.5617,0.8337
HT2A,regression,ok,2020,5407,986,r2,0.3685,0.6866,0.5263,282,0.3181,0.5944,0.8304
SERT,regression,ok,2015,3777,1147,r2,0.1366,0.6678,0.4545,399,0.5312,0.4266,0.801
antioxidant_DPPH,regression,ok,2016,2340,522,r2,0.0073,0.7105,0.4717,179,0.7032,0.3984,0.8098
