endpoint,split,smiles,measured,probability,max_tanimoto_to_training
AChE,time,CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccc2c(c1)OCO2,1.0,0.45705,0.4384
AChE,time,CN1CCN(c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)CC1,1.0,0.57043,0.5185
AChE,time,CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],1.0,0.7654,0.9245
AChE,time,Cc1cccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)c1,1.0,0.51172,0.5667
AChE,time,Clc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,0.0,0.61397,0.46
AChE,time,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccc(F)cc3)CC1)C2,1.0,0.8737,0.6949
AChE,time,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(F)c(N)c1I,1.0,0.92299,0.6885
AChE,time,COC(=O)c1c(O)cccc1CCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1.0,0.98334,0.629
AChE,time,Nc1ccccc1C(=O)/C=C/c1cccc(Cl)c1Cl,1.0,0.25935,0.3684
AChE,time,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(N)cc3)CC2)nc1-c1ccc(OC)c(OC)c1,1.0,0.43063,0.3256
AChE,time,COc1ccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)cc1,1.0,0.51492,0.4412
AChE,time,N/C(=N\O)c1cccc(NC(=O)Nc2ccc(C(F)(F)F)cc2)c1,0.0,0.25081,0.4386
AChE,time,CCN(C)C(=O)Oc1ccc2c(c1)C=CC(C)N(C)C2CCOc1ccc([N+](=O)[O-])cc1,1.0,0.51667,0.625
AChE,time,CO[C@H]1C[C@H]2C(=C[C@@H]1OC(=O)c1ccccc1[N+](=O)[O-])[C@H]1CN2Cc2cc3c(cc21)OCO3,0.0,0.4891,0.4227
AChE,time,c1ccc2c(c1)[nH]c1cnccc12,0.0,0.15898,0.5938
AChE,time,Cc1ccc(S(=O)(=O)SCc2ccccc2)cc1,1.0,0.27952,0.3714
AChE,time,O=C(COc1ccc(Cl)cc1)NCCN1CCN(Cc2ccccc2)CC1,1.0,0.42257,0.5455
AChE,time,Fc1ccc(Br)cc1CNCCCCCCCCNc1ccnc2cc(Cl)ccc12,1.0,0.74042,0.3372
AChE,time,COc1cc(O)cc(-c2cc3ccc(O)c(C/C=C(\C)CCC=C(C)C)c3o2)c1CC=C(C)C,0.0,0.36066,0.4103
AChE,time,O=C(CN1CCN(Cc2ccccc2)CC1)Nc1n[nH]c2ncccc12,1.0,0.4456,0.4516
AChE,time,COc1cc([C@@H](O)[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Oc2ccc(CCCO)cc2OC)ccc1O,1.0,0.49003,0.2958
AChE,time,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)OCC(C)(C=O)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,0.0,0.25079,0.2222
AChE,time,Cc1cc(O)cc(O)c1C(=O)O,0.0,0.21912,0.3929
AChE,time,CCC(C)(C)NCC(O)c1cc(O)cc(OC(=O)N(C)C)c1,0.0,0.32211,0.8837
AChE,time,Fc1ccc(Br)c(CNCCCCCCCCNc2ccnc3cc(Cl)ccc23)c1,1.0,0.74181,0.3284
AChE,time,COc1cc(-c2cccc3c2N(C)CC3)c(CN2CC[C@@]34C=C[C@H](O)C[C@@H]3Oc3c(OC)ccc(c34)C2)c(OC)c1OC,0.0,0.5106,0.5926
AChE,time,Nc1n[nH]c2nc(-c3ccc(Br)cc3)cc(-c3ccc(Br)cc3)c12,1.0,0.48693,0.2759
AChE,time,FC(F)(F)c1ccc2c(NCCCCCCCCNc3cccc(Cl)c3)ccnc2c1,1.0,0.68911,0.3636
AChE,time,CO[C@H]1C=C2[C@H]3CN(Cc4cc5c(cc43)OCO5)[C@H]2C[C@@H]1OC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.0,0.46494,0.3696
AChE,time,CCOC(=O)C1=C(Nc2ccc(F)cc2)CC(c2ccc(C(F)(F)F)cc2)N(c2ccc(F)cc2)C1c1ccc(C(F)(F)F)cc1,1.0,0.77814,0.8
AChE,time,Cc1cccc2sc(NC(=O)CCN3CCN(C4CCN(C)CC4)CC3)nc12,0.0,0.50525,0.3514
AChE,time,O=C(Cn1nc(-c2ccccc2)c(-c2ccccc2)nc1=O)Nc1ccc(Br)cc1,1.0,0.4645,0.3448
AChE,time,FC(F)(F)c1ccc2c(NCCCCCCCCNc3ccccc3)ccnc2c1,1.0,0.69179,0.4333
AChE,time,CN(CCC1CCN(Cc2ccccc2)CC1)Cc1c[nH]c2ccccc12,0.0,0.7668,0.5179
AChE,time,COc1cc(CNC(=O)CCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O,1.0,0.928,0.6579
AChE,time,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)NC4CCN(Cc5ccccc5)CC4)C=C[C@@]31CCN(C)C2,1.0,0.52642,0.5584
AChE,time,CCCCN1CCN(CCC(=O)Nc2nc3c(C)cccc3s2)CC1,0.0,0.56498,0.3768
AChE,time,C[n+]1ccc2c3ccccc3n(CCc3ccccc3)c2c1,1.0,0.27465,0.3774
AChE,time,CO[C@H]1C[C@H]2C(=C[C@@H]1OC(=O)c1ccc(C)cc1)[C@H]1CN2Cc2cc3c(cc21)OCO3,0.0,0.45111,0.4096
AChE,time,Cn1c2ccccc2c2cc[n+](-c3ccc(Cl)cc3)cc21,1.0,0.33522,0.4348
AChE,time,COc1ccc(-c2oc3cc(Br)c(I)cc3c(=O)c2O)cc1,1.0,0.43103,0.4074
AChE,time,O=C(NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)Oc1ccc2cc[nH]c2c1,1.0,0.98332,0.7089
AChE,time,CCOC(=O)/C(=N\Nc1ccccc1C(=O)OCC)C(=O)C(F)(F)F,1.0,0.35289,0.26
AChE,time,Cc1ccc(S(=O)(=O)NCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,1.0,0.99294,0.6863
AChE,time,N/C(=N\O)c1cccc(NC(=O)Nc2ccc(O)cc2)c1,0.0,0.22943,0.3529
AChE,time,CCN(CCCCCOc1cc(O)c2c(c1)OC(c1ccc(O)cc1)CC2=O)Cc1ccccc1,1.0,0.60037,0.5946
AChE,time,Nc1c2c(nc3ccc(-c4ccsc4)cc13)CCCC2,1.0,0.67103,0.5909
AChE,time,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,1.0,0.18303,0.4231
AChE,time,COc1cccc(CCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1,1.0,0.94008,0.7091
AChE,time,COc1ccc2[nH]c(C(=O)Nc3ccc4nc5n(c(=O)c4c3)CCC5)cc2c1,1.0,0.61578,0.5441
AChE,time,CN(C)CCCN1C(=O)CSC1c1ccccc1F,0.0,0.39883,0.3115
AChE,time,NC(=O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N/O)c(F)c2)cc1,0.0,0.07627,0.7391
AChE,time,CCOC(=O)c1c(O)cc(O)c(Cc2c(O)cc(C)c(C(=O)OCC)c2O)c1C,0.0,0.45139,0.2742
AChE,time,N/C(=N\O)c1cccc(NC(=O)Nc2ccc(Br)cc2)c1,0.0,0.30747,0.3462
AChE,time,O=C(NCCCCCNc1c2c(nc3cc(F)ccc13)CCCC2)Oc1ccc(-c2cc3cccnc3[nH]2)cc1,1.0,0.9675,0.5493
AChE,time,NC(=O)c1cc[n+](C/C=C/C[n+]2cc(F)c(/C=N/O)c(F)c2)cc1,0.0,0.05445,0.7273
AChE,time,O=C(Cn1nc(-c2ccccc2)c(-c2ccccc2)nc1=O)Nc1ccccc1O,1.0,0.40434,0.3
AChE,time,N/C(=N\O)c1cccc(NC(=O)Nc2cccc(O)c2)c1,0.0,0.22285,0.3333
AChE,time,CCN(CC)Cc1ccc(C=C2Cc3cc(OC)c(OC)cc3C2=O)cc1,1.0,0.94937,1.0
AChE,time,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CCN(Cc2ccc(Cl)cc2)CC1,0.0,0.64072,0.5521
AChE,time,CO[C@H]1C[C@H]2C(=C[C@@H]1OC(=O)C1CCCCC1)[C@H]1CN2Cc2cc3c(cc21)OCO3,0.0,0.39992,0.3553
