endpoint,task,block,metric,mean,sd
BBB,classification,fingerprint_only,roc_auc,0.9556,0.0057
BBB,classification,descriptors_only,roc_auc,0.9498,0.0092
BBB,classification,combined,roc_auc,0.9586,0.0068
AChE,classification,fingerprint_only,roc_auc,0.9634,0.0035
AChE,classification,descriptors_only,roc_auc,0.9162,0.007
AChE,classification,combined,roc_auc,0.9644,0.0031
BChE,classification,fingerprint_only,roc_auc,0.969,0.005
BChE,classification,descriptors_only,roc_auc,0.932,0.0079
BChE,classification,combined,roc_auc,0.9718,0.0067
BACE1,classification,fingerprint_only,roc_auc,0.9647,0.0059
BACE1,classification,descriptors_only,roc_auc,0.9098,0.0144
BACE1,classification,combined,roc_auc,0.9656,0.006
GSK3B,classification,fingerprint_only,roc_auc,0.9644,0.0069
GSK3B,classification,descriptors_only,roc_auc,0.8779,0.0062
GSK3B,classification,combined,roc_auc,0.9638,0.007
MAO_A,classification,fingerprint_only,roc_auc,0.9579,0.0099
MAO_A,classification,descriptors_only,roc_auc,0.9079,0.0131
MAO_A,classification,combined,roc_auc,0.9608,0.009
MAO_B,classification,fingerprint_only,roc_auc,0.9599,0.0029
MAO_B,classification,descriptors_only,roc_auc,0.9259,0.009
MAO_B,classification,combined,roc_auc,0.9636,0.0023
hERG,classification,fingerprint_only,roc_auc,0.9495,0.0026
hERG,classification,descriptors_only,roc_auc,0.9024,0.0056
hERG,classification,combined,roc_auc,0.9567,0.0024
D2,regression,fingerprint_only,r2,0.6446,0.0195
D2,regression,descriptors_only,r2,0.4017,0.0182
D2,regression,combined,r2,0.6342,0.0232
A2A,regression,fingerprint_only,r2,0.7176,0.0095
A2A,regression,descriptors_only,r2,0.5131,0.0154
A2A,regression,combined,r2,0.7111,0.0126
HT2A,regression,fingerprint_only,r2,0.6748,0.0106
HT2A,regression,descriptors_only,r2,0.5273,0.0247
HT2A,regression,combined,r2,0.6897,0.0158
SERT,regression,fingerprint_only,r2,0.6706,0.0236
SERT,regression,descriptors_only,r2,0.5245,0.0145
SERT,regression,combined,r2,0.6724,0.0169
antioxidant_DPPH,regression,fingerprint_only,r2,0.6561,0.0553
antioxidant_DPPH,regression,descriptors_only,r2,0.414,0.0417
antioxidant_DPPH,regression,combined,r2,0.6541,0.0511
