endpoint,descriptor,importance_mean,importance_sd,informative
BBB,mw,0.00139,0.00049,True
BBB,clogp,0.00192,0.00048,True
BBB,tpsa,0.00731,0.00114,True
BBB,hbd,0.00228,0.00061,True
BBB,hba,0.00074,0.00077,False
BBB,rotatable_bonds,0.00058,0.00039,False
BBB,aromatic_rings,-0.0,0.00016,False
BBB,fraction_csp3,-0.00013,0.00029,False
BBB,ring_count,0.00013,0.00023,False
BBB,heavy_atoms,0.00119,0.00044,True
BBB,formal_charge,0.00083,9e-05,True
BBB,qed,0.00339,0.00083,True
AChE,mw,0.00134,0.00065,True
AChE,clogp,0.00182,0.00051,True
AChE,tpsa,0.00087,9e-05,True
AChE,hbd,0.00049,9e-05,True
AChE,hba,0.00045,0.00012,True
AChE,rotatable_bonds,0.00177,0.00077,True
AChE,aromatic_rings,0.00076,0.00018,True
AChE,fraction_csp3,0.00117,0.00033,True
AChE,ring_count,0.00094,0.0004,True
AChE,heavy_atoms,0.00096,0.00036,True
AChE,formal_charge,0.00037,8e-05,True
AChE,qed,0.00105,0.00035,True
BChE,mw,0.00091,0.0004,True
BChE,clogp,0.00216,0.00047,True
BChE,tpsa,0.00072,0.00017,True
BChE,hbd,0.00096,0.00024,True
BChE,hba,0.00057,0.00015,True
BChE,rotatable_bonds,0.00022,0.00078,False
BChE,aromatic_rings,0.00051,0.00025,True
BChE,fraction_csp3,5e-05,0.00035,False
BChE,ring_count,0.00082,0.00022,True
BChE,heavy_atoms,0.00091,0.00035,True
BChE,formal_charge,1e-05,6e-05,False
BChE,qed,0.00047,0.00023,True
BACE1,mw,0.00036,0.00087,False
BACE1,clogp,0.00012,0.00031,False
BACE1,tpsa,-0.0004,0.00113,False
BACE1,hbd,0.00028,0.00027,False
BACE1,hba,-0.00056,0.00062,False
BACE1,rotatable_bonds,-1e-05,0.0004,False
BACE1,aromatic_rings,-0.00016,0.00068,False
BACE1,fraction_csp3,-7e-05,0.0005,False
BACE1,ring_count,0.00086,0.00018,True
BACE1,heavy_atoms,8e-05,0.0008,False
BACE1,formal_charge,0.0,0.0,False
BACE1,qed,0.00041,0.00061,False
GSK3B,mw,0.00045,0.00048,False
GSK3B,clogp,0.0004,0.00036,False
GSK3B,tpsa,0.00115,0.0004,True
GSK3B,hbd,0.0002,8e-05,True
GSK3B,hba,0.00021,0.00014,False
GSK3B,rotatable_bonds,0.00022,0.00033,False
GSK3B,aromatic_rings,5e-05,0.0002,False
GSK3B,fraction_csp3,0.00081,0.00045,False
GSK3B,ring_count,-0.00031,0.00027,False
GSK3B,heavy_atoms,0.00029,0.00054,False
GSK3B,formal_charge,0.0,0.0,False
GSK3B,qed,0.00101,0.00063,False
MAO_A,mw,3e-05,0.00058,False
MAO_A,clogp,0.00329,0.00059,True
MAO_A,tpsa,0.0011,0.00054,True
MAO_A,hbd,0.00088,0.00064,False
MAO_A,hba,0.00107,0.00022,True
MAO_A,rotatable_bonds,0.00065,0.00083,False
MAO_A,aromatic_rings,0.00075,0.00055,False
MAO_A,fraction_csp3,0.00407,0.00095,True
MAO_A,ring_count,6e-05,0.00035,False
MAO_A,heavy_atoms,0.00075,0.00041,False
MAO_A,formal_charge,-1e-05,0.0,False
MAO_A,qed,0.0005,0.0005,False
MAO_B,mw,0.00294,0.00122,True
MAO_B,clogp,0.00332,0.00093,True
MAO_B,tpsa,0.00152,0.0004,True
MAO_B,hbd,0.00308,0.00106,True
MAO_B,hba,0.00036,0.00024,False
MAO_B,rotatable_bonds,0.0014,0.00027,True
MAO_B,aromatic_rings,0.0007,0.00029,True
MAO_B,fraction_csp3,0.00205,0.00135,False
MAO_B,ring_count,0.00075,0.00033,True
MAO_B,heavy_atoms,0.00214,0.00093,True
MAO_B,formal_charge,-3e-05,0.0,False
MAO_B,qed,0.0012,0.0005,True
hERG,mw,0.00086,0.00027,True
hERG,clogp,0.00963,0.00162,True
hERG,tpsa,0.0055,0.00126,True
hERG,hbd,0.00179,0.00024,True
hERG,hba,0.00066,0.00067,False
hERG,rotatable_bonds,0.00084,0.00028,True
hERG,aromatic_rings,0.00057,0.00015,True
hERG,fraction_csp3,0.00165,0.00016,True
hERG,ring_count,0.00124,0.00024,True
hERG,heavy_atoms,0.00066,0.00018,True
hERG,formal_charge,2e-05,1e-05,False
hERG,qed,0.00177,0.00038,True
D2,mw,0.02803,0.00322,True
D2,clogp,0.08017,0.00822,True
D2,tpsa,0.01104,0.00127,True
D2,hbd,0.00453,0.00074,True
D2,hba,0.00085,0.00036,True
D2,rotatable_bonds,0.00263,0.00085,True
D2,aromatic_rings,0.00067,0.00027,True
