target,threshold,from_measured_inactives,from_background,binding_constraint,background_fpr,sensitivity,reliable
A1,0.8083,0.8083,0.2306,measured inactives,0.0283,0.736,True
A2A,0.8888,0.8888,0.3193,measured inactives,0.0427,0.824,True
a7nAChR,0.5022,0.5022,0.0527,measured inactives,0.0063,0.571,True
CB1,0.2842,0.2842,0.073,measured inactives,0.0347,0.862,True
COX2,0.7353,0.7353,0.0832,measured inactives,0.0073,0.338,False
CSF1R,0.8466,0.8466,0.0787,measured inactives,0.012,0.901,True
D2,0.9072,0.863,0.9072,background,0.0513,0.654,True
D3,0.9512,0.939,0.9512,background,0.0533,0.86,True
DAT,0.2168,0.2168,0.0701,measured inactives,0.0263,0.864,True
GABA_A,0.661,0.661,0.1716,measured inactives,0.005,0.303,False
GBA1,0.1869,0.1869,0.0903,measured inactives,0.0027,0.795,True
GluN2B,0.9645,0.9645,0.0341,measured inactives,0.009,0.374,False
H3,0.6119,0.6119,0.1771,measured inactives,0.0383,0.953,True
HDAC1,0.7473,0.7473,0.4632,measured inactives,0.038,0.9,True
HDAC6,0.8341,0.663,0.8341,background,0.038,0.93,True
HT1A,0.9183,0.7626,0.9183,background,0.052,0.754,True
HT2A,0.9016,0.798,0.9016,background,0.0523,0.67,True
HT6,0.5723,0.5723,0.1279,measured inactives,0.0347,0.931,True
HT7,0.8472,0.8472,0.7321,measured inactives,0.048,0.83,True
KEAP1,0.7793,0.7793,0.0682,measured inactives,0.002,0.52,True
LRRK2,0.3909,0.3909,0.0828,measured inactives,0.0147,0.919,True
mGluR5,0.8704,0.8704,0.0343,measured inactives,0.0107,0.723,True
MT1,0.9509,0.9509,0.0307,measured inactives,0.0057,0.678,True
mTOR,0.2188,0.2188,0.0286,measured inactives,0.0267,0.941,True
Nav1_5,0.2221,0.1246,0.2221,background,0.0447,0.8,True
NET,0.5999,0.5999,0.1611,measured inactives,0.027,0.732,True
NLRP3,0.3645,0.3645,0.0867,measured inactives,0.0017,0.867,True
OPRK1,0.917,0.917,0.211,measured inactives,0.027,0.801,True
OPRM1,0.6077,0.6077,0.4108,measured inactives,0.044,0.872,True
OX1,0.7468,0.7468,0.015,measured inactives,0.028,0.922,True
OX2,0.6773,0.6773,0.0677,measured inactives,0.0387,0.885,True
P2X7,0.999,0.9994,0.094,measured inactives,0.0113,0.465,False
PDE10A,0.8717,0.8717,0.0477,measured inactives,0.028,0.875,True
PDE4B,0.3472,0.3472,0.0505,measured inactives,0.0153,0.867,True
SERT,0.744,0.744,0.4989,measured inactives,0.0417,0.835,True
Sigma1,0.9526,0.9526,0.8399,measured inactives,0.0273,0.6,True
SIRT1,0.4646,0.3598,0.4646,background,0.0477,0.378,False
TAAR1,0.8305,0.8305,0.8283,measured inactives,0.0453,0.355,False
GluA2,0.6292,0.6292,0.6162,measured inactives,0.0323,0.103,False
Nav1_1,0.5705,0.0985,0.5705,background,0.0497,0.12,False
Nav1_7,0.8426,0.8426,0.0196,measured inactives,0.0247,0.877,True
a4b2nAChR,0.7822,0.7822,0.1522,measured inactives,0.0007,0.754,True
a3b4nAChR,0.2792,0.2792,0.1139,measured inactives,0.0097,0.906,True
Nav1_6,0.9442,0.9442,0.0344,measured inactives,0.0013,0.532,True
Nav1_8,0.5971,0.5971,0.0627,measured inactives,0.0003,0.892,True
Cav3_2,0.3697,0.3697,0.0619,measured inactives,0.0003,0.975,True
CGRP,0.3414,0.3414,0.0055,measured inactives,0.001,0.993,True
DHODH,0.1749,0.1749,0.0319,measured inactives,0.0027,0.948,True
RIPK1,0.05,0.0116,0.0144,background,0.006,0.938,True
NRF2,0.3012,0.2804,0.3012,background,0.0477,0.545,True
NFKB1,0.4165,0.4165,0.314,measured inactives,0.017,0.0,False
NR3C1,0.8636,0.8636,0.8388,measured inactives,0.0323,0.167,False
