section,metric,value,note
determinism,repeated prediction is bit-identical,PASS,
determinism,disease score reproducible,PASS,
calibration,mean expected calibration error,0.095,"across 27 targets, held-out compounds only, 0 is perfect"
calibration,worst expected calibration error,0.223,COX2
calibration,mean Brier score,0.101,lower is better; 0.25 is uninformative
decision,mean sensitivity at deployed threshold,0.866,
decision,false-positive rate on non-CNS compounds,0.125,
decision,precision (PPV) at 50% prevalence,0.874,NPV 0.867; 0.1 false leads per true hit
decision,precision (PPV) at 10% prevalence,0.435,NPV 0.983; 1.3 false leads per true hit
decision,precision (PPV) at 1% prevalence,0.065,NPV 0.998; 14.3 false leads per true hit
leakage,targets checked for scaffold overlap,49,
leakage,targets with any shared scaffold,0,PASS
