endpoint,ece,brier
A1,0.078,0.126
A2A,0.065,0.09
a7nAChR,0.132,0.152
CB1,0.039,0.073
COX2,0.125,0.184
CSF1R,0.056,0.069
D2,0.135,0.166
D3,0.068,0.085
DAT,0.04,0.076
H3,0.03,0.046
HDAC1,0.081,0.092
HDAC6,0.038,0.061
HT1A,0.08,0.1
HT2A,0.093,0.112
HT6,0.056,0.055
HT7,0.09,0.104
LRRK2,0.066,0.071
mGluR5,0.112,0.148
MT1,0.059,0.096
mTOR,0.036,0.05
NET,0.102,0.13
NLRP3,0.063,0.08
OPRK1,0.085,0.105
OPRM1,0.059,0.09
OX1,0.054,0.066
OX2,0.039,0.073
P2X7,0.067,0.072
PDE10A,0.05,0.051
PDE4B,0.074,0.088
SERT,0.054,0.094
Sigma1,0.125,0.126
TAAR1,0.178,0.218
Nav1_7,0.077,0.097
a4b2nAChR,0.097,0.116
Nav1_6,0.107,0.141
Cav3_2,0.043,0.047
DHODH,0.056,0.066
RIPK1,0.086,0.077
