endpoint,task,train_fraction,n_train,n_test,metric,score
BBB,classification,0.1,955,1269,roc_auc,0.8473
BBB,classification,0.25,1877,1269,roc_auc,0.9023
BBB,classification,0.5,3205,1269,roc_auc,0.9166
BBB,classification,0.75,4776,1269,roc_auc,0.922
BBB,classification,1.0,6536,1269,roc_auc,0.9213
MAO_A,classification,0.1,187,541,roc_auc,0.5063
MAO_A,classification,0.25,505,541,roc_auc,0.5918
MAO_A,classification,0.5,940,541,roc_auc,0.7846
MAO_A,classification,0.75,1310,541,roc_auc,0.7792
MAO_A,classification,1.0,1687,541,roc_auc,0.8005
BACE1,classification,0.1,788,1604,roc_auc,0.8845
BACE1,classification,0.25,1880,1604,roc_auc,0.9072
BACE1,classification,0.5,3466,1604,roc_auc,0.9248
BACE1,classification,0.75,5213,1604,roc_auc,0.934
BACE1,classification,1.0,6897,1604,roc_auc,0.9417
A2A,regression,0.1,481,1207,r2,0.3449
A2A,regression,0.25,1292,1207,r2,0.3921
A2A,regression,0.5,3013,1207,r2,0.4523
A2A,regression,0.75,4367,1207,r2,0.4853
A2A,regression,1.0,5578,1207,r2,0.4895
